eval_qs_difference,eval_abs_qs_difference,eval_discount_q,eval_ep_rewmean,eval_time_elapsed,eval_qs,eval_eplenmean,total timesteps,eval mean 100 episode reward,update_time,qs_difference,episodes,n_updates,train_time,time_elapsed,mean 100 episode reward,act_time,qs_abs_difference,ep_rewmean,fps,env_time,qs_mean,discount_q,current_lr,eplenmean,qfs_loss,q_grad_norm
-58.062897806501766,58.062893,104.00307336305546,109.8266261818182,0,-1.0483829,11.909090909090908,1,111.6,,,,,,,,,,,,,,,,,,
,,,,,,,24,,0,-35.85726494917311,4,0,0,0,54.5,0,35.85726494917311,54.527604,27,0,-0.20543051,52.50759214060099,0.0003,6.0,,
,,,,,,,47,,0,-25.896623112801233,8,0,0,0,53.4,0,25.896623112801233,53.402035624999996,50,0,0.54751086,36.862442978117976,0.0003,5.875,,
,,,,,,,72,,0,-26.226349840228693,12,0,0,0,54.7,0,26.226349840228693,54.65703158333334,71,0,0.54778826,36.47566558581409,0.0003,6.0,,
,,,,,,,105,,0,-26.235856484707238,16,0,0,1,59.9,0,26.235856484707238,59.851484,74,0,-0.0006103009,33.23747130732605,0.0003,6.5625,,
,,,,,,,139,,0,-69.38816907136214,20,0,0,1,63.4,0,69.38816907136214,63.421396599999994,95,0,0.33957195,106.52739032717963,0.0003,6.95,,
,,,,,,,163,,0,-26.07482959334302,24,0,0,1,61.9,0,26.07482959334302,61.92961929166666,108,0,0.52674836,36.790835528586,0.0003,6.791666666666667,,
,,,,,,,183,,0,-30.455776239354183,28,0,0,1,59.5,0,30.455776239354183,59.54788957142857,117,0,0.5116118,46.257513944362174,0.0003,6.535714285714286,,
,,,,,,,207,,0,-25.964260172262108,32,0,0,1,58.9,0,25.964260172262108,58.9364201875,121,0,0.5577451,36.63560354792176,0.0003,6.46875,,
,,,,,,,231,,0,-39.73887256079325,36,0,0,1,58.5,0,39.73887256079325,58.46199169444445,130,0,0.3248961,60.49926097999751,0.0003,6.416666666666667,,
,,,,,,,251,,0,-26.614164615443833,40,0,0,1,57.1,0,26.614164615443833,57.138387425,136,0,-0.026502158,38.2309625987333,0.0003,6.275,,
,,,,,,,275,,0,-21.666033766843906,44,0,0,1,56.9,0,21.666033766843906,56.89601179545455,144,0,0.51780146,29.077642931248935,0.0003,6.25,,
,,,,,,,295,,0,-26.744039580588048,48,0,0,1,55.9,0,26.744039580588048,55.9132250625,150,0,-0.37542275,37.92517446209032,0.0003,6.145833333333333,,
