eval_abs_qs_difference,eval_qs,total timesteps,eval_time_elapsed,eval_eplenmean,eval_discount_q,eval mean 100 episode reward,eval_qs_difference,eval_ep_rewmean,qs_abs_difference,time_elapsed,current_lr,train_time,fps,qs_mean,mean 100 episode reward,discount_q,update_time,ep_rewmean,env_time,eplenmean,act_time,n_updates,qs_difference,episodes,q_grad_norm,qfs_loss
22.930744,-1.4285103,1,0,3.909090909090909,34.399839285017066,35.7,-22.930744825163483,34.89980581818182,,,,,,,,,,,,,,,,,,
,,26,,,,,,,39.89412736078291,0,0.0003,0,39,0.016752379,59.2,59.104757383909565,0,59.196020250000004,0,6.5,0,0,-39.89412736078291,4,,
,,49,,,,,,,22.172213698103267,0,0.0003,0,67,-0.15180115,55.7,29.228100987761415,0,55.72200125,0,6.125,0,0,-22.172213698103267,8,,
,,72,,,,,,,26.485874156412564,0,0.0003,0,91,-0.14951089,54.5,36.81785304408094,0,54.535362916666664,0,6.0,0,0,-26.485874156412564,12,,
,,97,,,,,,,31.30920444839282,0,0.0003,0,112,-0.0396211,55.1,44.195871619418014,0,55.1236914375,0,6.0625,0,0,-31.30920444839282,16,,
,,123,,,,,,,31.30586862992776,1,0.0003,0,95,-0.12033895,55.9,43.77963887517158,0,55.94202185,0,6.15,0,0,-31.30586862992776,20,,
,,150,,,,,,,43.84280656099553,1,0.0003,0,111,-0.0036575017,56.8,65.81380097385346,0,56.83427604166666,0,6.25,0,0,-43.84280656099553,24,,
,,176,,,,,,,22.511729731374533,1,0.0003,0,123,-0.18002136,57.2,28.73960874496817,0,57.18280089285714,0,6.285714285714286,0,0,-22.511729731374533,28,,
,,205,,,,,,,39.85221387260685,1,0.0003,0,129,-0.12913221,58.3,57.2008734625779,0,58.320453531249996,0,6.40625,0,0,-39.85221387260685,32,,
,,239,,,,,,,30.83717287412178,1,0.0003,0,143,-0.12285999,60.5,39.93329693244098,0,60.465613194444444,0,6.638888888888889,0,0,-30.83717287412178,36,,
,,270,,,,,,,39.86936760953369,1,0.0003,0,155,-0.118749544,61.5,56.04039061554515,0,61.50589685,0,6.75,0,0,-39.86936760953369,40,,
,,293,,,,,,,30.654254184455898,1,0.0003,0,163,0.025826814,60.7,44.58262897007833,0,60.66495009090909,0,6.659090909090909,0,0,-30.654254184455898,44,,
,,320,,,,,,,35.256632082383504,1,0.0003,0,161,-0.1701123,60.7,50.40141577754595,0,60.736363000000004,0,6.666666666666667,0,0,-35.256632082383504,48,,
