#{"t_start": 1651870988.6232073, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
73.658394,8,5.941505
54.739184,6,5.962342
45.420916,5,5.978764
45.20089,5,5.992732
44.757011,5,6.010559
45.007976,5,6.023508
54.117242,6,6.036444
54.198056,6,6.055516
35.82505,4,6.067888
54.623709,6,6.08277
54.332805,6,6.101064
73.311667,8,6.12598
73.114362,8,6.15112
35.966035,4,6.164597
35.987749,4,6.173068
54.662911,6,6.188524
63.755522,7,6.204547
72.552305,8,6.574188
109.610833,12,6.608771
26.949021,3,6.621299
54.718021,6,6.638362
44.951773,5,6.656573
35.649564,4,6.671814
45.198537,5,6.689637
44.99776,5,6.711224
54.153626,6,6.731292
45.441612,5,6.747795
35.646159,4,6.76418
45.128141,5,6.775248
54.989164,6,6.7946
73.11528,8,6.813723
44.89344,5,6.8335
54.004982,6,6.854409
26.795814,3,6.865777
45.166393,5,6.88222
54.574997,6,7.001486
35.848398,4,7.014781
45.388836,5,7.028949
54.620794,6,7.048798
82.516646,9,7.073265
54.169982,6,7.095824
54.834507,6,7.113683
64.242183,7,7.137282
64.125577,7,7.156745
63.559996,7,7.174658
35.8868,4,7.189989
36.062494,4,7.204365
63.885673,7,7.224801
54.141126,6,7.242929
63.781206,7,7.264821
63.595827,7,7.286716
54.758253,6,7.446898
45.327755,5,7.465116
82.710829,9,7.49047
63.992712,7,7.510025
92.095901,10,7.539513
35.555075,4,7.564214
73.305127,8,7.584894
63.345824,7,7.607338
54.683397,6,7.621806
82.032735,9,7.645713
45.086106,5,7.663077
101.487562,11,7.688313
54.53836,6,7.710552
45.039302,5,7.726012
54.375672,6,7.906737
35.961254,4,7.918592
44.97506,5,7.934052
45.14946,5,7.952725
44.949251,5,7.965037
73.198561,8,7.981615
54.76132,6,8.000631
54.684358,6,8.013412
44.77255,5,8.031075
45.423341,5,8.04599
63.796441,7,8.064966
63.919113,7,8.084889
54.368962,6,8.09979
36.174661,4,8.116618
45.029603,5,8.127554
44.814157,5,8.140335
54.373435,6,8.155525
36.095578,4,8.168406
54.212627,6,8.389345
45.171325,5,8.404674
36.056974,4,8.415209
44.722208,5,8.426197
35.697102,4,8.433829
36.143469,4,8.445148
73.450996,8,8.470561
36.214833,4,8.483638
63.733362,7,8.499663
35.879319,4,8.514383
44.98055,5,8.531134
63.994476,7,8.549189
63.743329,7,8.570494
35.630944,4,8.583168
45.174491,5,8.598729
44.849952,5,8.611742
36.00726,4,8.619352
72.60997,8,8.642812
45.273874,5,8.65947
54.262231,6,8.915545
45.47486,5,8.931819
72.702371,8,8.956332
44.801526,5,8.969286
54.09626,6,8.980333
35.78564,4,8.994541
54.773226,6,9.006092
64.260537,7,9.023882
54.519477,6,9.037475
44.898786,5,9.051137
44.913817,5,9.064396
45.268614,5,9.080925
45.103617,5,9.096322
54.304904,6,9.111009
54.562235,6,9.122727
54.7522,6,9.141648
64.015005,7,9.161272
64.175336,7,9.45129
63.397229,7,9.469029
82.204912,9,9.492144
54.327666,6,9.509956
63.945364,7,9.526383
45.133725,5,9.537701
45.097743,5,9.550464
91.698531,10,9.572103
82.288093,9,9.582578
45.4853,5,9.59098
54.219248,6,9.604615
54.444233,6,9.620272
54.94792,6,9.629065
63.784817,7,9.639569
54.452082,6,9.657238
45.357897,5,9.665112
72.805177,8,9.989846
44.99021,5,10.002353
54.230431,6,10.020287
45.345021,5,10.033967
35.984783,4,10.042462
45.119562,5,10.056269
36.014196,4,10.068191
54.966719,6,10.086482
44.976416,5,10.097388
54.581935,6,10.113964
92.194329,10,10.142778
45.200625,5,10.157147
45.487697,5,10.166335
54.396764,6,10.182962
54.463106,6,10.194161
54.350203,6,10.212411
45.398002,5,10.228703
82.325275,9,10.612432
45.463875,5,10.621826
35.898459,4,10.628566
54.386311,6,10.640197
35.80938,4,10.652447
64.141776,7,10.666529
45.029173,5,10.683134
91.590706,10,10.704715
72.664086,8,10.724759
54.621432,6,10.740128
54.210116,6,10.752459
54.383316,6,10.767485
35.83499,4,10.778049
45.316313,5,10.792126
63.444982,7,10.8094
72.896878,8,10.83417
36.035494,4,11.246611
54.732851,6,11.263291
100.826788,11,11.291693
63.563003,7,11.309352
35.996565,4,11.319211
35.30033,4,11.333409
64.043774,7,11.353208
44.865901,5,11.366859
45.277016,5,11.385576
54.136734,6,11.401596
54.609752,6,11.417758
54.455196,6,11.440841
73.116012,8,11.460629
54.486336,6,11.475176
82.647768,9,11.501137
45.142576,5,11.519127
45.394491,5,11.898624
35.953081,4,11.909251
73.377786,8,11.925045
35.962674,4,11.937951
72.665423,8,11.954573
45.472354,5,11.967586
54.854285,6,11.981269
110.591795,12,12.004425
45.574766,5,12.01786
54.252848,6,12.036264
44.804989,5,12.04917
45.19221,5,12.060452
82.006684,9,12.080668
44.947431,5,12.09596
35.773626,4,12.107323
44.678499,5,12.119491
45.015557,5,12.132617
54.010614,6,12.530558
35.960515,4,12.541957
45.375182,5,12.551756
63.484636,7,12.567909
54.59239,6,12.581819
73.206038,8,12.597963
63.597499,7,12.613144
73.259773,8,12.631772
63.299518,7,12.648835
36.115398,4,12.657977
44.874923,5,12.671096
54.602309,6,12.685696
44.991095,5,12.695797
53.888088,6,12.709082
54.527276,6,12.722061
45.346528,5,12.734721
72.717351,8,12.756965
35.415625,4,13.257058
44.964311,5,13.274152
45.308596,5,13.292166
45.394991,5,13.311479
35.558795,4,13.327098
45.337312,5,13.341206
45.170853,5,13.359821
45.015594,5,13.37842
63.303925,7,13.398764
72.638194,8,13.421063
82.362864,9,13.449359
35.770502,4,13.464194
64.139545,7,13.483433
72.828908,8,13.500311
45.267646,5,13.51217
54.181758,6,13.531544
54.097198,6,13.548831
91.673694,10,14.104079
63.712313,7,14.122581
72.888678,8,14.143677
54.387541,6,14.154015
44.956799,5,14.165485
54.712383,6,14.186397
82.838833,9,14.207438
156.606927,17,14.235308
35.817528,4,14.24691
45.280759,5,14.255544
45.192646,5,14.267822
35.642979,4,14.281729
36.255722,4,14.290323
45.497373,5,14.301824
54.126105,6,14.313601
54.548759,6,14.934792
53.971252,6,14.951834
54.840919,6,14.971929
72.8582,8,14.995223
54.508501,6,15.00928
63.82584,7,15.028376
54.55223,6,15.047519
54.12736,6,15.070464
64.006268,7,15.08945
110.756153,12,15.121193
36.041913,4,15.138177
82.282185,9,15.161691
44.919571,5,15.179673
54.385846,6,15.190238
45.310756,5,15.205787
45.122394,5,15.921993
91.956754,10,15.94651
45.526492,5,15.968361
54.666319,6,15.982196
72.784265,8,16.004991
63.700917,7,16.020703
82.426189,9,16.044601
35.758397,4,16.059949
45.078337,5,16.076312
54.233018,6,16.093796
64.045694,7,16.106004
63.369923,7,16.129078
54.284347,6,16.146009
45.325312,5,16.162876
54.485952,6,16.183236
54.257276,6,16.199704
44.88209,5,16.972867
72.712405,8,16.994913
64.020184,7,17.015707
35.849758,4,17.032598
72.480498,8,17.053271
63.76921,7,17.075796
54.181061,6,17.093557
36.060707,4,17.107217
82.452498,9,17.130986
63.300616,7,17.153657
45.137903,5,17.169062
44.944739,5,17.18545
82.098612,9,17.213663
54.314845,6,17.236996
