eval_time_elapsed,eval mean 100 episode reward,eval_ep_rewmean,eval_eplenmean,total timesteps,eval_abs_qs_difference,eval_discount_q,eval_qs,eval_qs_difference,update_time,qs_mean,fps,env_time,qs_abs_difference,mean 100 episode reward,n_updates,ep_rewmean,current_lr,qs_difference,time_elapsed,episodes,discount_q,act_time,eplenmean,train_time,qfs_loss,q_grad_norm
0,47.2,47.04346090909091,5.181818181818182,1,28.14811,46.07731172419892,-0.73605937,-28.14811034949066,,,,,,,,,,,,,,,,,,
,,,,24,,,,,0,-0.17942908,35,0,26.72206066997357,54.8,0,54.754846,0.0003,-26.72206066997357,0,4,36.61325492181276,0,6.0,0,,
,,,,46,,,,,0,-0.11376407,63,0,30.757922097937183,52.1,0,52.137458625,0.0003,-30.757922097937183,0,8,45.032145116746264,0,5.75,0,,
,,,,70,,,,,0,0.18492408,88,0,39.78753826591797,52.9,0,52.932741666666665,0.0003,-39.78753826591797,0,12,60.302019440056924,0,5.833333333333333,0,,
,,,,92,,,,,0,0.16480355,108,0,30.927324575981526,52.2,0,52.1827473125,0.0003,-30.927324575981526,0,16,45.40883101610252,0,5.75,0,,
,,,,122,,,,,0,-0.18219244,95,0,17.909609361172304,55.4,0,55.389581899999996,0.0003,-17.909609361172304,1,20,20.34238253232373,0,6.1,0,,
,,,,142,,,,,0,0.06529733,105,0,26.51495105477958,53.7,0,53.67956387500001,0.0003,-26.51495105477958,1,24,38.11146545853979,0,5.916666666666667,0,,
,,,,162,,,,,0,-0.24242428,113,0,22.094454949203755,52.4,0,52.448167500000004,0.0003,-22.094454949203755,1,28,29.906015827467584,0,5.785714285714286,0,,
,,,,186,,,,,0,0.1883786,124,0,26.040892185124342,52.7,0,52.70858484375,0.0003,-26.040892185124342,1,32,36.36975900486113,0,5.8125,0,,
,,,,206,,,,,0,0.15876202,124,0,30.82527888989843,51.9,0,51.86713613888889,0.0003,-30.82527888989843,1,36,46.25935797621888,0,5.722222222222222,0,,
,,,,230,,,,,0,0.12814751,132,0,44.114365793125415,52.1,0,52.139789375,0.0003,-44.114365793125415,1,40,68.22679578517393,0,5.75,0,,
,,,,256,,,,,0,0.15154198,141,0,35.43547009393707,52.8,0,52.79463236363635,0.0003,-35.43547009393707,1,44,51.43482662089927,0,5.818181818181818,0,,
,,,,278,,,,,0,0.21002515,147,0,35.272628598310604,52.5,0,52.54914139583334,0.0003,-35.272628598310604,1,48,53.342632740588165,0,5.791666666666667,0,,
,,,,304,,,,,0,0.21827243,144,0,30.906487893207483,53.1,0,53.05067690384616,0.0003,-30.906487893207483,2,52,43.696692355863966,0,5.846153846153846,0,,
,,,,335,,,,,0,0.2489109,151,0,48.5322996021695,54.3,0,54.335042785714286,0.0003,-48.5322996021695,2,56,71.33602695592808,0,5.982142857142857,0,,
,,,,360,,,,,0,0.089646675,158,0,31.045144766752514,54.5,0,54.49419698333334,0.0003,-31.045144766752514,2,60,44.075102252006836,0,6.0,0,,
,,,,391,,,,,0,-0.1254189,165,0,31.032036149307945,55.5,0,55.51244659375,0.0003,-31.032036149307945,2,64,41.39263798989454,0,6.109375,0,,
,,,,411,,,,,0,0.09769555,158,0,26.281607675012605,54.9,0,54.899233382352946,0.0003,-26.281607675012605,2,68,37.926049311460275,0,6.044117647058823,0,,
,,,,435,,,,,0,0.22461271,163,1,30.868782308362167,54.9,0,54.87786752777778,0.0003,-30.868782308362167,2,72,44.588083969453706,0,6.041666666666667,0,,
,,,,458,,,,,0,0.22446314,168,1,35.11458263404245,54.7,0,54.73530463157895,0.0003,-35.11458263404245,2,76,52.74110746250455,0,6.026315789473684,0,,
,,,,480,,,,,0,-0.21212435,172,1,26.66444506193655,54.5,0,54.49219363750001,0.0003,-26.66444506193655,2,80,37.21465364594472,0,6.0,0,,
,,,,501,,,,,0,-0.09995451,164,1,30.946598738769314,54.2,0,54.153229619047636,0.0003,-30.946598738769314,3,84,45.48911876816276,0,5.964285714285714,0,,
,,,,519,,,,,0,0.11385217,168,1,21.801779758727776,53.5,0,53.52862382954545,0.0003,-21.801779758727776,3,88,30.55570048098442,0,5.8977272727272725,0,,
,,,,542,,,,,0,0.18366835,171,1,35.11216422189192,53.5,0,53.478929967391295,0.0003,-35.11216422189192,3,92,52.68945686132777,0,5.891304347826087,0,,
,,,,565,,,,,0,0.15169252,175,1,35.201703887130584,53.4,0,53.423533656249994,0.0003,-35.201703887130584,3,96,52.694564148895296,0,5.885416666666667,0,,
,,,,583,,,,,0,0.17205763,178,1,21.926280852222597,52.9,0,52.903218779999996,0.0003,-21.926280852222597,3,100,30.821457218631647,0,5.83,0,,
,,,,607,,,,,1,0.13439927,169,1,26.550141673000127,52.9,0,52.889234290000005,0.0003,-26.550141673000127,3,104,36.83596581195164,0,5.83,0,,
,,,,630,,,,,1,-0.24617648,172,1,22.173818740392544,53.0,0,52.98228941,0.0003,-22.173818740392544,3,108,29.13165217294617,0,5.84,0,,
,,,,654,,,,,1,-0.22087817,176,1,26.55756036047586,53.0,0,52.985877359999996,0.0003,-26.55756036047586,3,112,36.36973853380871,0,5.84,0,,
,,,,675,,,,,1,0.17554873,179,1,30.553605341239514,52.9,0,52.88447630999999,0.0003,-30.553605341239514,3,116,45.57540874555865,0,5.83,0,,
,,,,701,,,,,1,0.29419872,170,1,35.28680261289316,52.5,0,52.53084726,0.0003,-35.28680261289316,4,120,51.4767027012398,0,5.79,0,,
,,,,730,,,,,1,0.1274879,174,1,35.31670052890634,53.4,0,53.364420020000004,0.0003,-35.31670052890634,4,124,49.769332740200994,0,5.88,0,,
,,,,759,,,,,1,0.12508385,179,1,43.94230515957417,54.2,0,54.20420937,0.0003,-43.94230515957417,4,128,64.70720186277254,0,5.97,0,,
,,,,782,,,,,1,0.2935327,182,1,30.92717062348792,54.1,0,54.11391613000001,0.0003,-30.92717062348792,4,132,45.19084692231958,0,5.96,0,,
,,,,808,,,,,1,-0.10488215,174,1,39.66878018003709,54.7,0,54.672494,0.0003,-39.66878018003709,4,136,58.70261902886065,0,6.02,0,,
,,,,828,,,,,1,-0.19233464,176,1,22.25350045264061,54.3,0,54.29425171,0.0003,-22.25350045264061,4,140,30.19005755865353,0,5.98,0,,
,,,,848,,,,,1,0.10899621,178,1,26.255121435858,53.7,0,53.731298150000015,0.0003,-26.255121435858,4,144,37.92788755750761,0,5.92,0,,
,,,,874,,,,,1,-0.19747531,181,1,26.933635024194967,54.1,0,54.111994380000006,0.0003,-26.933635024194967,4,148,36.11131808046849,0,5.96,0,,
,,,,897,,,,,1,-0.17240693,183,1,26.823927833584595,53.8,0,53.835311010000005,0.0003,-26.823927833584595,4,152,37.14465098343162,0,5.93,0,,
,,,,921,,,,,2,-0.124694385,173,1,30.919880664500386,53.2,0,53.174778240000016,0.0003,-30.919880664500386,5,156,44.28705539804097,0,5.86,0,,
,,,,947,,,,,2,-0.057415105,176,1,48.540519267718466,53.3,0,53.27159436,0.0003,-48.540519267718466,5,160,74.6035221866565,0,5.87,0,,
,,,,973,,,,,2,0.14744031,179,1,30.713941960987786,52.8,0,52.79893623,0.0003,-30.713941960987786,5,164,43.3999872124578,0,5.82,0,,
,,,,997,,,,,2,0.02924183,181,1,39.52111638535942,53.2,0,53.17035498,0.0003,-39.52111638535942,5,168,59.97431985008531,0,5.86,0,,
,,,,1025,,,,,2,0.07782829,171,1,35.11857787823697,53.5,0,53.54135042,0.0003,-35.11857787823697,5,172,49.97350413239161,0,5.9,0,,
,,,,1045,,,,,2,-0.10564522,173,1,26.321100871460924,53.3,0,53.25664922,0.0003,-26.321100871460924,6,176,37.838335369848025,0,5.87,0,,
,,,,1068,,,,,2,0.085556,175,2,30.893866395715502,53.3,0,53.34651281000001,0.0003,-30.893866395715502,6,180,44.783639234304815,0,5.88,0,,
,,,,1096,,,,,2,-0.1725064,177,2,26.629739491468502,54.0,0,54.00548176,0.0003,-26.629739491468502,6,184,35.12722336743557,0,5.95,0,,
,,,,1117,,,,,2,0.116755284,169,2,21.99592371236107,54.3,0,54.295885989999995,0.0003,-21.99592371236107,6,188,29.867577747410653,0,5.98,0,,
,,,,1148,,,,,2,0.022877732,172,2,57.249573279072756,55.0,0,55.03629796000001,0.0003,-57.249573279072756,6,192,86.5550173265913,0,6.06,0,,
,,,,1169,,,,,2,0.10773599,174,2,26.404180923343695,54.8,0,54.84856935,0.0003,-26.404180923343695,6,196,37.72784811821837,0,6.04,0,,
,,,,1192,,,,,2,0.056251097,175,2,26.1277434635797,55.3,0,55.30600528,0.0003,-26.1277434635797,6,200,36.55785552511515,0,6.09,0,,
,,,,1212,,,,,3,-0.112911984,168,2,26.713927083330542,54.9,0,54.93341460999999,0.0003,-26.713927083330542,7,204,38.264023185541994,0,6.05,0,,
,,,,1240,,,,,3,-0.08678388,170,2,35.24646062650093,55.4,0,55.408362270000005,0.0003,-35.24646062650093,7,208,50.0038218462484,0,6.1,0,,
,,,,1264,,,,,3,0.0774635,172,2,26.253122962330224,55.4,0,55.39933813,0.0003,-26.253122962330224,7,212,36.350079175077184,0,6.1,0,,
,,,,1287,,,,,3,0.19484907,174,2,30.718120423896575,55.6,0,55.58351628999999,0.0003,-30.718120423896575,7,216,44.84840735227971,0,6.12,0,,
,,,,1309,,,,,3,-0.24437824,165,2,26.63341540985956,55.2,0,55.192906679999986,0.0003,-26.63341540985956,7,220,37.1617548752019,0,6.08,0,,
,,,,1328,,,,,3,0.32679352,166,2,26.24088044707664,54.3,0,54.270151909999996,0.0003,-26.24088044707664,7,224,38.61875938891139,0,5.98,0,,
,,,,1353,,,,,3,0.11743451,167,2,39.284983609411476,53.9,0,53.88925665000001,0.0003,-39.284983609411476,8,228,59.164395108900706,0,5.94,0,,
,,,,1381,,,,,3,0.21024153,169,2,39.27751686176258,54.3,0,54.34930783000001,0.0003,-39.27751686176258,8,232,57.55907454450067,0,5.99,0,,
,,,,1408,,,,,4,0.17183472,160,2,48.21435798524327,54.4,0,54.437511060000006,0.0003,-48.21435798524327,8,236,73.93639926924132,0,6.0,0,,
,,,,1434,,,,,4,0.076283686,162,2,26.31068435762411,55.0,0,54.991459920000004,0.0003,-26.31068435762411,8,240,35.69137370590744,0,6.06,0,,
,,,,1470,,,,,4,-0.20478871,165,2,22.20263180320528,56.5,0,56.48044769999999,0.0003,-22.20263180320528,8,244,25.584932729402627,0,6.22,0,,
,,,,1488,,,,,4,0.17572683,166,2,22.096376040348268,55.7,0,55.72952290000001,0.0003,-22.096376040348268,8,248,31.033389003909754,0,6.14,0,,
,,,,1511,,,,,4,0.22775061,157,2,30.332820995103717,55.7,0,55.72487704,0.0003,-30.332820995103717,9,252,44.392979780049544,0,6.14,0,,
,,,,1538,,,,,4,-0.06931714,158,2,35.38819647747742,56.0,0,56.00447244000001,0.0003,-35.38819647747742,9,256,50.688352067656616,0,6.17,0,,
,,,,1569,,,,,4,0.20645933,160,2,57.25033735063516,56.5,0,56.47318220000002,0.0003,-57.25033735063516,9,260,86.67371526799482,0,6.22,0,,
,,,,1593,,,,,4,0.13928232,161,2,30.712890692083704,56.3,0,56.29068785000001,0.0003,-30.712890692083704,9,264,44.28378133588349,0,6.2,0,,
,,,,1618,,,,,5,0.14939526,152,2,26.530973330288457,56.4,0,56.39492018,0.0003,-26.530973330288457,10,268,36.51043477628374,0,6.21,0,,
,,,,1648,,,,,5,-0.035783995,153,2,44.116135749399966,56.6,0,56.57911572,0.0003,-44.116135749399966,10,272,64.17212574994616,0,6.23,0,,
,,,,1670,,,,,5,0.23929016,155,2,35.24403489924562,56.8,0,56.76820448,0.0003,-35.24403489924562,10,276,53.48160880596819,0,6.25,0,,
,,,,1694,,,,,5,0.13375984,156,3,30.808189259422416,56.9,0,56.85807284,0.0003,-30.808189259422416,10,280,44.36362369301099,0,6.26,0,,
,,,,1720,,,,,6,0.20707485,147,3,35.324204210047576,56.7,0,56.66286547000001,0.0003,-35.324204210047576,11,284,51.35013102556458,0,6.24,0,,
,,,,1745,,,,,6,-0.14004959,148,3,30.903484015222073,57.0,0,57.01879042,0.0003,-30.903484015222073,11,288,43.67449059811618,0,6.28,0,,
,,,,1770,,,,,6,0.098177895,149,3,26.39168911646715,56.5,0,56.45246908999999,0.0003,-26.39168911646715,11,292,36.197263959237404,0,6.22,0,,
,,,,1796,,,,,6,0.17815553,150,3,30.735912464313984,56.9,0,56.91224998999999,0.0003,-30.735912464313984,11,296,43.448094285649525,0,6.27,0,,
,,,,1816,,,,,7,0.2647925,142,3,26.42360709527269,56.7,0,56.65415795999999,0.0003,-26.42360709527269,12,300,38.37919706189653,0,6.24,0,,
,,,,1852,,,,,7,0.21331625,144,3,35.1065821802374,58.1,0,58.14234491,0.0003,-35.1065821802374,12,304,46.28402652052867,0,6.4,0,,
,,,,1876,,,,,7,-0.16442442,145,3,26.869529722877395,57.8,0,57.77673722,0.0003,-26.869529722877395,12,308,36.79325800947315,0,6.36,0,,
,,,,1897,,,,,7,-0.062059116,146,3,31.100945718333254,57.5,0,57.4938636,0.0003,-31.100945718333254,12,312,45.89978996532932,0,6.33,0,,
,,,,1922,,,,,7,-0.1155851,139,3,26.49486813046545,57.7,0,57.68565069000001,0.0003,-26.49486813046545,13,316,36.164493977512876,0,6.35,0,,
,,,,1948,,,,,7,0.10311956,140,3,30.59709435943638,58.1,0,58.05925292999999,0.0003,-30.59709435943638,13,320,43.233795582638905,0,6.39,0,,
,,,,1974,,,,,7,0.08422842,141,3,26.43229133289168,58.7,0,58.715871899999996,0.0003,-26.43229133289168,13,324,35.85244664680504,0,6.46,0,,
,,,,1995,,,,,7,-0.1993437,142,3,26.421038803594247,58.4,0,58.35045776000001,0.0003,-26.421038803594247,13,328,37.47384223638805,0,6.42,0,,
,,,,2030,,,,,8,0.08617047,136,3,35.393291351626,59.0,0,59.00572001999999,0.0003,-35.393291351626,14,332,46.79432566110873,0,6.49,0,,
,,,,2055,,,,,8,0.06438993,137,3,35.51742069263553,58.8,0,58.828776500000004,0.0003,-35.51742069263553,14,336,51.87188407579512,0,6.47,0,,
,,,,2079,,,,,8,-0.008319989,138,3,43.9541937959664,58.6,0,58.64897032000001,0.0003,-43.9541937959664,15,340,67.9616668329091,0,6.45,0,,
,,,,2101,,,,,9,-0.24718519,131,3,26.514148012957463,57.3,0,57.346370449999995,0.0003,-26.514148012957463,15,344,37.056779919406175,0,6.31,0,,
,,,,2132,,,,,9,0.3094958,132,3,57.04402918118196,58.5,0,58.546858560000004,0.0003,-57.04402918118196,16,348,86.65055501749916,0,6.44,0,,
,,,,2155,,,,,9,0.24313378,133,3,39.58251071794529,58.6,0,58.56073069,0.0003,-39.58251071794529,16,352,60.85800159267446,0,6.44,0,,
,,,,2179,,,,,9,-0.11832453,134,3,35.62519371966947,58.3,0,58.283951550000005,0.0003,-35.62519371966947,16,356,52.37279667458896,0,6.41,0,,
,,,,2209,,,,,10,0.20484352,128,3,44.34481611299012,58.2,0,58.19377984,0.0003,-44.34481611299012,17,360,64.57446402910463,0,6.4,0,,
,,,,2227,,,,,10,-0.27481914,129,3,21.9211141780957,57.6,0,57.632502890000005,0.0003,-21.9211141780957,17,364,30.310026136525327,0,6.34,0,,
,,,,2245,,,,,10,-0.21920782,130,3,22.139078071301288,57.0,0,56.969068369999995,0.0003,-22.139078071301288,17,368,30.62727189186041,0,6.27,0,,
