eval_eplenmean,eval_ep_rewmean,eval_time_elapsed,eval_qs,eval_discount_q,eval_abs_qs_difference,total timesteps,eval_qs_difference,eval mean 100 episode reward,time_elapsed,qs_abs_difference,env_time,update_time,qs_difference,ep_rewmean,qs_mean,n_updates,current_lr,train_time,discount_q,fps,eplenmean,episodes,act_time,mean 100 episode reward,qfs_loss,q_grad_norm
4.0,35.957671,0,-0.6688192,35.43120635003251,22.688234,1,-22.688234643912555,36.0,,,,,,,,,,,,,,,,,,
,,,,,,24,,,0,25.43772654837248,0,0,-25.43772654837248,54.35237425,0.6923083,0,0.0003,0,36.235468267556335,39,6.0,4,0,54.4,,
,,,,,,51,,,0,21.93825371488229,0,0,-21.93825371488229,57.83383875,0.25961596,0,0.0003,0,28.293675947870305,76,6.375,8,0,57.8,,
,,,,,,69,,,0,21.192351514695194,0,0,-21.192351514695194,52.0696855,0.6912925,0,0.0003,0,30.551553906520994,98,5.75,12,0,52.1,,
,,,,,,90,,,0,38.81441087459454,0,0,-38.81441087459454,50.9402065625,0.72334,0,0.0003,0,61.791131048773046,120,5.625,16,0,50.9,,
,,,,,,111,,,1,25.853122911422425,0,0,-25.853122911422425,50.24893715,0.78079784,0,0.0003,0,37.81083419550725,100,5.55,20,0,50.2,,
,,,,,,147,,,1,39.24472864759023,0,0,-39.24472864759023,55.64794733333334,0.31953818,0,0.0003,0,53.13915303437628,122,6.125,24,0,55.6,,
,,,,,,169,,,1,26.005757984209623,0,0,-26.005757984209623,54.824467964285724,0.634572,0,0.0003,0,37.5738390789338,134,6.035714285714286,28,0,54.8,,
,,,,,,197,,,1,34.36252719096992,0,0,-34.36252719096992,55.930875500000006,0.8006077,0,0.0003,0,49.950551037851795,148,6.15625,32,0,55.9,,
,,,,,,220,,,1,39.56343833843157,0,0,-39.56343833843157,55.51368647222223,0.37048227,0,0.0003,0,60.908645681964444,149,6.111111111111111,36,0,55.5,,
,,,,,,241,,,1,25.89946079320373,0,0,-25.89946079320373,54.71149185,0.77948606,0,0.0003,0,37.984532337755866,157,6.025,40,0,54.7,,
,,,,,,265,,,1,25.97341156180172,0,0,-25.97341156180172,54.70549886363637,0.7966646,0,0.0003,0,36.90904488428159,165,6.0227272727272725,44,0,54.7,,
,,,,,,288,,,1,25.767801547249956,0,0,-25.767801547249956,54.48578481250001,0.7387621,0,0.0003,0,36.95379798096455,173,6.0,48,0,54.5,,
,,,,,,311,,,1,26.393246673753612,0,0,-26.393246673753612,54.31060486538461,0.14939739,0,0.0003,0,36.999312990912934,169,5.980769230769231,52,0,54.3,,
,,,,,,334,,,1,30.01413078453331,0,0,-30.01413078453331,54.163522928571425,0.7682621,0,0.0003,0,44.67757899827816,175,5.964285714285714,56,0,54.2,,
,,,,,,362,,,1,34.738623885806014,0,0,-34.738623885806014,54.78501125,0.2984157,0,0.0003,0,49.85387347536565,182,6.033333333333333,60,0,54.8,,
,,,,,,387,,,2,39.264801502923916,0,0,-39.264801502923916,54.9158748125,0.72550875,0,0.0003,0,59.865842979823206,190,6.046875,64,0,54.9,,
,,,,,,408,,,2,26.471348026904014,0,0,-26.471348026904014,54.48125163235294,0.17352788,0,0.0003,0,37.87634222151773,180,6.0,68,0,54.5,,
,,,,,,430,,,2,29.965876825818423,0,0,-29.965876825818423,54.223712444444445,0.82199407,0,0.0003,0,45.07961397369372,185,5.972222222222222,72,0,54.2,,
,,,,,,455,,,2,21.890428504749746,0,0,-21.890428504749746,54.35527089473684,0.16468889,0,0.0003,0,28.664375949896144,190,5.9868421052631575,76,0,54.4,,
,,,,,,476,,,2,30.584030393184975,0,0,-30.584030393184975,54.0092535875,0.36735788,0,0.0003,0,45.85506194021986,194,5.95,80,0,54.0,,
,,,,,,495,,,2,30.6278908205979,0,0,-30.6278908205979,53.48063747619047,0.28962952,0,0.0003,0,46.68364338998569,197,5.892857142857143,84,0,53.5,,
,,,,,,519,,,2,43.72560447657703,1,0,-43.72560447657703,53.52879344318182,0.3910643,0,0.0003,0,68.17499193857584,186,5.8977272727272725,88,0,53.5,,
,,,,,,540,,,2,25.68630227095958,1,0,-25.68630227095958,53.268806652173915,0.72811425,0,0.0003,0,37.74936023754972,190,5.869565217391305,92,0,53.3,,
,,,,,,569,,,2,26.454658378733882,1,0,-26.454658378733882,53.80020285416666,0.12749498,0,0.0003,0,34.85121042288813,195,5.927083333333333,96,0,53.8,,
,,,,,,593,,,2,26.18987058983841,1,0,-26.18987058983841,53.822988880000004,0.15856664,0,0.0003,0,36.4221800440734,200,5.93,100,0,53.8,,
,,,,,,614,,,3,26.391452736988658,1,1,-26.391452736988658,53.553022119999994,0.30260032,0,0.0003,0,38.031926319055245,188,5.9,104,0,53.6,,
,,,,,,642,,,3,30.323333107009447,1,1,-30.323333107009447,53.65458042,0.84196705,0,0.0003,0,42.84798863873263,192,5.91,108,0,53.7,,
,,,,,,665,,,3,26.115006748907575,1,1,-26.115006748907575,54.1210305,0.10067747,0,0.0003,0,36.61421308306336,196,5.96,112,0,54.1,,
,,,,,,691,,,3,30.277745874404932,1,1,-30.277745874404932,54.592861469999995,0.7522158,0,0.0003,0,43.49694491985207,199,6.01,116,0,54.6,,
,,,,,,712,,,3,34.386215503096444,1,1,-34.386215503096444,54.5906143,0.8015285,0,0.0003,0,53.62882301179367,187,6.01,120,0,54.6,,
,,,,,,743,,,3,52.926987795840176,1,1,-52.926987795840176,54.12742523,0.4433837,0,0.0003,0,79.18105250246178,191,5.96,124,0,54.1,,
,,,,,,769,,,3,25.957127639285744,1,1,-25.957127639285744,54.51320745000001,0.83513373,0,0.0003,0,36.20883350349874,194,6.0,128,0,54.5,,
,,,,,,793,,,4,25.919386302568437,1,1,-25.919386302568437,54.138416940000006,0.7613801,0,0.0003,0,36.72501507628636,197,5.96,132,0,54.1,,
,,,,,,816,,,4,29.781244512373423,1,1,-29.781244512373423,54.14084891,0.8028903,0,0.0003,0,44.327711709809975,184,5.96,136,0,54.1,,
,,,,,,840,,,4,25.68412683047772,1,1,-25.68412683047772,54.41698709,0.7562108,0,0.0003,0,36.53661756795561,186,5.99,140,0,54.4,,
,,,,,,863,,,4,21.35851403136646,1,1,-21.35851403136646,54.321260360000004,0.7203359,0,0.0003,0,29.25793730025641,188,5.98,144,0,54.3,,
,,,,,,897,,,4,47.51623497220082,1,1,-47.51623497220082,55.34238487,0.7248987,0,0.0003,0,68.75879003255206,192,6.09,148,0,55.3,,
,,,,,,922,,,5,34.998175683928494,1,2,-34.998175683928494,55.52738849999998,0.2408093,0,0.0003,0,51.51151437084764,179,6.11,152,0,55.5,,
,,,,,,945,,,5,25.583764937855467,1,2,-25.583764937855467,55.52804188,0.76037395,0,0.0003,0,36.789251711145255,181,6.11,156,0,55.5,,
,,,,,,975,,,5,25.422977207376977,1,2,-25.422977207376977,55.72852398999999,0.71765196,0,0.0003,0,34.19012995515256,184,6.13,160,0,55.7,,
