eval_qs,eval_qs_difference,eval_discount_q,eval_abs_qs_difference,eval_eplenmean,eval_time_elapsed,eval_ep_rewmean,eval mean 100 episode reward,total timesteps,current_lr,update_time,fps,time_elapsed,env_time,mean 100 episode reward,qs_abs_difference,n_updates,qs_mean,eplenmean,episodes,train_time,qs_difference,act_time,ep_rewmean,discount_q,qfs_loss,q_grad_norm
-1.6756955,-21.74426412175509,31.743560886242733,21.744265,3.6363636363636362,0,32.16453463636364,32.7,1,,,,,,,,,,,,,,,,,,
,,,,,,,,31,0.0003,0,45,0,0,70.7,22.203648031870724,0,-0.36380726,7.75,4,0,-22.203648031870724,0,70.685148,26.764963301232434,,
,,,,,,,,53,0.0003,0,71,0,0,60.3,31.497760407264675,0,-0.2556019,6.625,8,0,-31.497760407264675,0,60.2624105,45.65557362022123,,
,,,,,,,,81,0.0003,0,99,0,0,61.4,27.024630770858302,0,-0.24316935,6.75,12,0,-27.024630770858302,0,61.423104249999994,35.48014384827374,,
,,,,,,,,109,0.0003,0,91,1,0,62.0,40.269070153402296,0,-0.2853015,6.8125,16,0,-40.269070153402296,0,62.02757625,58.009938484320415,,
,,,,,,,,132,0.0003,0,105,1,0,60.0,44.18911076400699,0,-0.24704215,6.6,20,0,-44.18911076400699,0,60.02363095,68.68496605053704,,
,,,,,,,,155,0.0003,0,118,1,0,58.7,44.646018569568696,0,-0.33716792,6.458333333333333,24,0,-44.646018569568696,0,58.71156358333332,69.05510739268308,,
,,,,,,,,179,0.0003,0,130,1,0,58.1,35.429374660994746,0,-0.33305076,6.392857142857143,28,0,-35.429374660994746,0,58.05432046428571,51.906478987963325,,
,,,,,,,,199,0.0003,0,139,1,0,56.5,31.22548732616927,0,-0.47719026,6.21875,32,0,-31.22548732616927,0,56.451826499999996,46.03957491668715,,
,,,,,,,,220,0.0003,0,140,1,0,55.5,31.057510749511476,0,-0.3418759,6.111111111111111,36,0,-31.057510749511476,0,55.45862933333333,45.541216354425984,,
,,,,,,,,244,0.0003,0,149,1,0,55.4,40.34924151306893,0,-0.37237895,6.1,40,0,-40.34924151306893,0,55.36891372499999,60.3790733714664,,
,,,,,,,,266,0.0003,0,156,1,0,54.9,22.55819387976291,0,-0.32409012,6.045454545454546,44,0,-22.55819387976291,0,54.86633311363635,29.79376993221589,,
,,,,,,,,293,0.0003,0,164,1,0,55.4,39.81081363419473,0,-0.28372216,6.104166666666667,48,0,-39.81081363419473,0,55.41548379166667,58.105912633328266,,
,,,,,,,,314,0.0003,0,158,1,0,54.8,22.68410857787049,0,-0.446414,6.038461538461538,52,0,-22.68410857787049,0,54.81685876923076,30.009744537984844,,
,,,,,,,,339,0.0003,0,164,2,0,55.0,31.41192209261823,0,-0.3591222,6.053571428571429,56,0,-31.41192209261823,0,54.95998507142856,44.1089786386453,,
,,,,,,,,362,0.0003,0,169,2,0,54.8,30.908122170695574,0,-0.31934348,6.033333333333333,60,0,-30.908122170695574,0,54.76423803333332,44.40621206472998,,
,,,,,,,,387,0.0003,0,174,2,0,54.9,22.575831113086707,0,-0.47750288,6.046875,64,0,-22.575831113086707,0,54.89873828125,28.702267990026893,,
,,,,,,,,415,0.0003,0,168,2,0,55.4,44.20591994112905,0,-0.3025673,6.102941176470588,68,0,-44.20591994112905,0,55.427743132352944,65.25174508146365,,
,,,,,,,,440,0.0003,0,173,2,0,55.5,49.031624139239966,0,-0.44601536,6.111111111111111,72,0,-49.031624139239966,0,55.50831765277778,75.50755777261662,,
,,,,,,,,469,0.0003,0,179,2,1,56.1,27.206851468436707,0,-0.5003293,6.171052631578948,76,0,-27.206851468436707,0,56.072828934210534,35.10567509663312,,
,,,,,,,,491,0.0003,0,182,2,1,55.8,31.48980289269241,0,-0.23098959,6.1375,80,0,-31.48980289269241,0,55.764083375,45.517651786474545,,
,,,,,,,,512,0.0003,0,173,2,1,55.4,31.470582140076548,0,-0.37748018,6.095238095238095,84,0,-31.470582140076548,0,55.37853642857143,45.94106066701487,,
,,,,,,,,530,0.0003,0,175,3,1,54.7,22.570205679953094,0,-0.39170626,6.0227272727272725,88,0,-22.570205679953094,0,54.709343147727274,30.990661031799384,,
