eval_qs,eval mean 100 episode reward,eval_ep_rewmean,total timesteps,eval_eplenmean,eval_time_elapsed,eval_qs_difference,eval_discount_q,eval_abs_qs_difference,eplenmean,act_time,env_time,ep_rewmean,current_lr,qs_mean,train_time,episodes,mean 100 episode reward,time_elapsed,discount_q,update_time,qs_difference,qs_abs_difference,n_updates,fps,q_grad_norm,qfs_loss
-1.9404699,8.6,8.594963272727272,1,31.636363636363637,0,-1.2633048674975214,8.90006472823898,3.328585,,,,,,,,,,,,,,,,,,
,,,75,,,,,,18.75,0,0,14.35653725,0.0003,-0.21528555,0,4,14.4,1,5.780802723990558,0,-5.223057630603256,5.223057630603256,0,65,,
,,,136,,,,,,17.0,0,0,14.01228,0.0003,-0.34107733,0,8,14.0,1,8.860124873795275,0,-7.387583722895425,7.387583722895425,0,94,,
,,,219,,,,,,18.25,0,0,14.41266125,0.0003,-0.15338276,0,12,14.4,1,5.151976249700816,0,-5.3873465148758095,5.3873465148758095,0,141,,
,,,295,,,,,,18.4375,0,0,14.3491315,0.0003,-0.120127626,0,16,14.3,1,7.3580573967673555,0,-5.198541147364998,5.198541147364998,0,180,,
,,,384,,,,,,19.2,0,0,15.73224055,0.0003,-0.2694023,0,20,15.7,1,4.82715278606064,0,-2.889034159568111,2.976973771515012,0,218,,
,,,461,,,,,,19.208333333333332,0,0,16.050099875,0.0003,-0.23188332,0,24,16.1,1,8.393982528128044,0,-8.51915779491764,8.51915779491764,0,245,,
,,,582,,,,,,20.785714285714285,0,0,19.697914892857142,0.0003,-0.4480106,0,28,19.7,2,3.1567390574792897,0,-4.0302384381056395,4.0302384381056395,0,284,,
,,,674,,,,,,21.0625,0,0,19.189149218750003,0.0003,-0.34312847,0,32,19.2,2,6.031629346268044,0,-7.240342950794709,7.240342950794709,0,306,,
,,,816,,,,,,22.666666666666668,0,0,21.843000277777787,0.0003,-0.24149162,0,36,21.8,2,5.025491575028073,0,-6.607986476340143,6.607986476340143,0,329,,
,,,915,,,,,,22.875,0,0,21.9247414,0.0003,-0.6000359,0,40,21.9,2,3.864189876640349,0,-5.176280684454711,5.176280684454711,0,345,,
,,,975,,,,,,22.15909090909091,0,1,21.081675863636363,0.0003,-0.3263158,0,44,21.1,2,7.752257339805434,0,-6.853480267858321,6.853480267858321,0,356,,
,,,1097,,,,,,22.854166666666668,0,1,21.204308125,0.0003,-0.45111465,0,48,21.2,2,4.58713298500565,0,-4.6100796260049135,4.6100796260049135,0,368,,
,,,1175,,,,,,22.596153846153847,0,1,20.38833373076923,0.0003,-0.22959986,0,52,20.4,3,4.634126611953614,0,-2.51857032609673,2.5559719614505,0,372,,
,,,1347,,,,,,24.053571428571427,0,1,23.55823794642857,0.0003,-0.5303788,0,56,23.6,3,1.5900939980770157,0,-3.3604721723465163,3.3604721723465163,0,381,,
,,,1440,,,,,,24.0,0,1,22.97944541666666,0.0003,-0.43354005,0,60,23.0,3,7.638381573572335,1,-9.7657982288002,9.7657982288002,0,384,,
,,,1520,,,,,,23.75,0,1,22.895138578125,0.0003,-0.20361164,0,64,22.9,3,7.9232571466083055,1,-8.826706694432492,8.826706694432492,0,384,,
,,,1586,,,,,,23.323529411764707,0,1,22.250897102941178,0.0003,-0.24692218,0,68,22.3,4,4.337904093798558,1,-3.4246167010610598,3.4246167010610598,0,394,,
,,,1651,,,,,,22.930555555555557,0,1,21.715481166666663,0.0003,-0.47017995,0,72,21.7,4,12.339879642376948,1,-11.76280089994292,11.76280089994292,0,390,,
,,,1723,,,,,,22.67105263157895,0,1,21.11612776315789,0.0003,-0.29858592,0,76,21.1,4,6.733214999988036,1,-6.773733494112888,6.773733494112888,0,388,,
,,,1839,,,,,,22.9875,0,1,20.99631525,0.0003,-0.2519567,0,80,21.0,4,11.070399351619116,1,-11.674488238218888,11.674488238218888,0,390,,
,,,1955,,,,,,23.273809523809526,0,1,21.11957016666667,0.0003,-0.18960007,0,84,21.1,5,7.190361433657805,1,-6.6704105252917385,6.6704105252917385,0,386,,
,,,2080,,,,,,23.636363636363637,0,2,21.184922261363635,0.0003,-0.13323113,0,88,21.2,5,3.202827113708102,2,-4.205095527352067,4.205095527352067,0,380,,
,,,2187,,,,,,23.77173913043478,0,2,21.190364413043476,0.0003,-0.31989494,0,92,21.2,5,6.749963976834968,2,-9.568935692916106,9.568935692916106,0,373,,
,,,2321,,,,,,24.177083333333332,0,2,22.141032052083332,0.0003,-0.27420202,0,96,22.1,6,2.1818011626885596,2,-4.124645495747581,4.124645495747581,0,355,,
,,,2401,,,,,,24.01,0,2,21.862211200000004,0.0003,-0.48066175,0,100,21.9,6,6.0728334496020695,2,-5.345018084645428,5.345018084645428,0,353,,
,,,2484,,,,,,24.09,0,2,22.01977464,0.0003,-0.40754968,0,104,22.0,6,3.376266423177591,2,-2.389420473479343,2.389420473479343,0,361,,
,,,2573,,,,,,24.37,0,2,22.147733909999996,0.0003,-0.38932747,0,108,22.1,7,6.2657051446038965,3,-6.346635997081785,6.346635997081785,0,359,,
,,,2635,,,,,,24.16,0,2,21.940626930000004,0.0003,-0.30313617,0,112,21.9,7,3.5849443223883504,3,-3.0490213208118764,3.0490213208118764,0,355,,
,,,2725,,,,,,24.3,0,2,21.995325180000005,0.0003,-0.43742454,0,116,22.0,7,8.415805584456928,3,-7.917802840873887,7.917802840873887,0,353,,
,,,2806,,,,,,24.22,0,2,21.607490199999997,0.0003,-0.34246698,0,120,21.6,7,6.387506918210778,3,-6.592877606960925,6.592877606960925,0,350,,
,,,2892,,,,,,24.31,0,2,21.599736469999996,0.0003,-0.23242946,0,124,21.6,8,4.106698320661675,3,-4.648633783730598,4.648633783730598,0,357,,
,,,2996,,,,,,24.14,0,2,20.770217810000005,0.0003,-0.54149383,0,128,20.8,8,6.425546503337908,3,-7.510642260881079,7.510642260881079,0,356,,
,,,3058,,,,,,23.84,0,2,20.680748389999998,0.0003,-0.48183626,0,132,20.7,8,12.127072520850705,4,-11.61604891540722,11.61604891540722,0,351,,
,,,3136,,,,,,23.2,0,2,19.81641638,0.0003,-0.19216403,0,136,19.8,9,7.825597880973681,4,-7.575935564052992,7.575935564052992,0,347,,
,,,3205,,,,,,22.9,0,2,19.40872894,0.0003,-0.29220867,0,140,19.4,9,10.333617184998458,4,-9.59289872198448,9.59289872198448,0,342,,
,,,3281,,,,,,23.06,0,3,19.640776,0.0003,-0.4281824,0,144,19.6,9,20.638464509199903,4,-18.794962886940112,18.794962886940112,0,347,,
,,,3339,,,,,,22.42,0,3,19.223246429999996,0.0003,-0.31707364,0,148,19.2,9,5.381045792307988,4,-3.991847328839708,3.991847328839708,0,342,,
,,,3438,,,,,,22.63,0,3,19.45629894,0.0003,-0.38017175,0,152,19.5,10,4.277947128273526,5,-3.033857921627056,3.0379564213857955,0,340,,
,,,3521,,,,,,21.74,0,3,17.437889260000002,0.0003,-0.32371843,0,156,17.4,10,7.38866864379588,5,-4.772335379112198,4.772335379112198,0,336,,
,,,3597,,,,,,21.57,0,3,17.3617923,0.0003,-0.2614822,0,160,17.4,10,5.7856717605699535,5,-1.3490760410689755,2.635849329725992,0,340,,
,,,3666,,,,,,21.46,0,3,17.039981,0.0003,-0.41103172,0,164,17.0,11,11.116061756661091,5,-8.36734321674501,8.36734321674501,0,331,,
,,,3750,,,,,,21.64,0,3,17.393540630000004,0.0003,-0.22371583,0,168,17.4,11,6.226055363053097,6,-7.297238424067088,7.297238424067088,0,322,,
,,,3827,,,,,,21.76,0,3,17.611163110000003,0.0003,-0.5226864,0,172,17.6,12,5.409951457332995,6,-5.180022126322692,5.180022126322692,0,314,,
