#{"t_start": 1651814445.821028, "env_id": "Hopper-v3"}
r,l,t
22.475254,21,7.115138
19.390778,29,7.157699
9.223452,12,7.183383
28.392126,24,7.224211
10.820502,14,7.257996
35.912303,30,7.6944
8.917524,27,7.745762
30.449443,39,7.816323
10.472981,13,7.894519
20.96645,22,7.934858
18.394018,24,7.980576
9.103019,15,8.00996
11.521548,20,8.045249
9.675188,14,8.122242
8.164145,14,8.14588
34.832183,52,8.22389
12.872791,14,8.258599
8.974665,18,8.351845
23.022857,28,8.400751
13.926939,22,8.426462
17.175284,17,8.44619
35.744332,36,8.523012
27.001138,25,8.552172
28.547141,26,8.582763
23.354085,28,8.629372
25.524702,32,8.717986
44.00857,41,8.760432
37.841196,28,8.792223
66.729193,56,8.90747
21.488774,29,8.944734
7.238359,10,8.959254
13.701553,14,8.973603
12.066192,18,9.062416
16.646728,17,9.080054
14.701249,29,9.109272
17.00157,17,9.130942
18.109278,23,9.155971
46.414659,56,9.285148
4.239369,12,9.308167
8.274492,12,9.321646
10.201475,18,9.34249
11.952827,14,9.440038
19.575297,43,9.480571
9.815117,17,9.503778
8.006246,14,9.522212
12.485639,29,9.642105
7.738673,10,9.657401
24.132116,21,9.678923
10.194979,17,9.699433
7.128954,16,9.717503
28.384171,29,9.840709
20.353118,22,9.866432
6.918213,14,9.884988
6.660016,26,9.913099
41.241182,38,10.058768
22.971187,22,10.084604
8.717183,12,10.103146
12.808119,15,10.119379
17.730955,21,10.141886
17.683353,19,10.162708
20.236684,24,10.304068
8.773796,12,10.319109
23.24024,27,10.347828
15.021285,24,10.374156
10.263235,16,10.395877
55.58988,40,10.562519
19.342651,20,10.588425
40.711231,39,10.626909
9.750401,12,10.784812
10.487498,17,10.803689
8.209417,12,10.817693
7.077804,10,10.829736
67.05727,41,10.871268
21.578393,26,11.044918
7.978954,11,11.062293
111.433946,67,11.121974
45.784739,37,11.322253
11.314971,16,11.343418
8.820753,22,11.368717
25.03976,29,11.399491
8.726562,32,11.594091
4.93701,8,11.607301
23.115268,23,11.630263
5.97787,9,11.644275
12.47521,15,11.663891
15.079745,18,11.851205
13.040996,20,11.874411
8.851254,19,11.894618
40.885201,47,11.945364
7.905963,12,11.966105
15.291299,17,12.170687
13.098813,16,12.201622
8.868196,21,12.239833
42.43758,33,12.299206
6.105099,10,12.327395
5.618644,11,12.608155
7.53318,11,12.63046
23.7494,23,12.669024
41.498876,51,12.756171
16.915135,18,13.075349
41.844049,35,13.135686
10.604524,23,13.178395
60.590324,46,13.535508
4.409975,7,13.556349
44.002018,44,13.633533
18.033933,33,13.694936
13.480827,27,14.038389
14.907622,18,14.079897
8.012224,12,14.110494
9.525763,18,14.139664
13.709784,16,14.157014
6.291008,9,14.169011
12.78064,21,14.390899
11.851179,18,14.410909
10.236192,18,14.43029
9.32193,13,14.445773
6.852549,9,14.459193
18.921357,20,14.479488
49.665655,37,14.729243
75.664979,48,14.778402
17.831782,23,15.029541
49.408937,32,15.062253
16.947119,24,15.09023
32.107144,32,15.124746
9.315783,14,15.368522
6.02167,22,15.391558
36.031278,39,15.429596
13.965917,16,15.450969
10.473277,16,15.697598
16.368484,18,15.717915
11.10233,18,15.73858
13.312644,16,15.75665
22.593605,26,15.78666
9.439952,16,15.806942
65.638118,59,16.106078
13.757993,26,16.139712
50.035036,35,16.4278
23.73884,21,16.453768
8.293824,15,16.472529
12.38755,26,16.498945
25.198601,24,16.791288
16.566053,20,16.814
7.562761,9,16.827439
12.562973,19,16.846771
8.913878,11,16.863328
6.540597,12,16.876226
8.867469,18,16.895606
9.94846,14,17.189582
5.917999,12,17.206298
8.514505,16,17.223477
37.165553,37,17.261504
16.688255,16,17.281272
18.450676,26,17.601286
24.831402,29,17.634162
205.785101,102,18.065362
19.592203,32,18.136957
7.750087,10,18.161107
34.229152,44,18.67059
10.628932,13,18.702499
10.058402,13,18.726984
13.941998,20,18.760187
12.793403,28,19.27433
10.221058,21,19.310157
9.26526,11,19.334739
12.048737,26,19.3805
12.057013,17,19.411718
9.461859,11,19.435942
32.464089,33,19.947048
9.05329,17,19.968196
13.379126,15,19.983482
17.501136,17,20.001245
20.969778,20,20.022089
24.848263,25,20.359382
24.949669,26,20.38778
8.370199,10,20.402371
14.488434,22,20.42376
37.273472,33,20.788741
8.720358,15,20.807892
7.977728,10,20.820356
24.98059,26,20.846441
17.742135,23,20.874862
31.353005,40,21.244281
8.707957,13,21.264922
23.486116,23,21.289009
10.422043,15,21.309617
11.028743,26,21.337109
13.964967,18,21.702678
16.031348,25,21.728651
11.251134,19,21.751352
8.856907,15,21.769809
17.051101,27,22.158826
13.044134,32,22.194601
20.601084,19,22.218745
8.579206,18,22.240447
10.32738,13,22.255581
8.736137,15,22.272677
16.53791,18,22.661588
21.443049,27,22.690215
7.520953,11,22.706099
5.707022,18,22.724777
52.533962,58,23.162206
10.85013,17,23.190073
8.399148,10,23.202095
18.478154,30,23.233621
11.768878,16,23.635878
7.472757,11,23.649983
19.799231,25,23.676722
13.060467,22,23.702321
12.587635,24,23.730194
10.995498,12,23.747079
9.395586,11,24.337172
26.857749,25,24.381578
43.17687,43,24.455261
15.083488,21,24.501073
10.704136,13,25.106033
24.605961,23,25.144574
14.571742,21,25.186686
134.517476,78,25.8201
16.559751,32,25.859252
35.926826,40,26.293208
29.938074,28,26.328294
10.406606,14,26.346014
9.324719,12,26.359746
7.299664,11,26.371849
15.190994,24,26.399462
13.917029,20,26.821718
19.150863,19,26.842661
8.487215,16,26.860189
13.840716,30,26.892346
21.442101,24,27.331798
22.329648,26,27.361206
12.595589,21,27.386719
72.378355,65,27.861229
91.003571,58,27.924079
11.600441,14,27.946832
16.179014,18,28.412714
10.276458,14,28.431654
10.650041,13,28.447438
9.260674,13,28.461753
22.6283,29,28.489765
13.921759,19,28.513955
29.718204,28,28.991361
11.295652,15,29.01075
17.643719,17,29.033098
26.288095,23,29.057935
21.857986,40,29.582857
14.954672,15,29.61878
9.690176,26,29.661664
9.371276,11,29.686465
10.498537,16,29.716216
13.82742,20,30.434853
17.473464,19,30.466552
19.987707,19,30.502376
8.442435,15,30.530612
13.791839,17,30.559212
43.662216,40,31.320438
6.89923,32,31.381268
8.103895,12,31.404868
21.575532,25,31.446974
8.648456,10,31.463079
11.541691,14,31.936705
8.780755,12,31.95237
8.444008,14,31.967629
14.146379,17,31.986878
