eval_qs,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,eval_qs_difference,total timesteps,eval_abs_qs_difference,eval_time_elapsed,eval_eplenmean,discount_q,mean 100 episode reward,train_time,n_updates,update_time,qs_difference,qs_abs_difference,time_elapsed,fps,eplenmean,env_time,episodes,current_lr,ep_rewmean,qs_mean,act_time,qfs_loss,q_grad_norm
-1.3183887,8.7,8.748868636363637,8.342477316641954,-4.0531281387506235,1,4.0531282,0,17.90909090909091,,,,,,,,,,,,,,,,,,
,,,,,86,,,,13.489467165493513,19.9,0,0,0,-15.200961246076972,15.200961246076972,1,65,21.5,0,4,0.0003,19.8704025,-0.6620411,0,,
,,,,,196,,,,12.668226438638417,20.7,0,0,0,-12.881339731578288,12.881339731578288,1,102,24.5,0,8,0.0003,20.697672750000002,-0.44871917,0,,
,,,,,270,,,,4.776812930486109,18.7,0,0,0,-4.087371099100343,4.087371099100343,2,128,22.5,0,12,0.0003,18.709820833333335,-0.44401804,0,,
,,,,,370,,,,18.024333278680885,18.0,0,0,0,-11.895892726327414,12.305024587168951,2,159,23.125,0,16,0.0003,18.044432125,-0.501572,0,,
,,,,,452,,,,7.074612950577254,17.4,0,0,0,-5.710585109467834,5.710585109467834,2,180,22.6,0,20,0.0003,17.3754083,-0.5903094,0,,
,,,,,556,,,,11.472268885878876,19.0,0,0,0,-14.614792402267268,14.614792402267268,2,207,23.166666666666668,1,24,0.0003,18.999002541666666,-0.48593888,0,,
,,,,,685,,,,11.882999696148401,21.0,0,0,0,-19.877689999165597,19.877689999165597,2,238,24.464285714285715,1,28,0.0003,20.953736214285716,-0.6746468,0,,
,,,,,794,,,,4.941948589219116,21.7,0,0,0,-7.82504416692548,7.82504416692548,3,259,24.8125,1,32,0.0003,21.74570290625,-0.7517977,0,,
,,,,,875,,,,8.259595073183437,21.0,0,0,0,-9.191854538237072,9.191854538237072,3,272,24.305555555555557,1,36,0.0003,21.007728666666665,-0.6976779,0,,
,,,,,978,,,,3.1658713079346947,20.8,0,0,0,-4.292430361115362,4.292430361115362,3,287,24.45,1,40,0.0003,20.83290075,-0.52285236,0,,
,,,,,1070,,,,4.383919467361471,20.1,0,0,0,-3.9000591677022185,3.9000591677022185,3,298,24.318181818181817,1,44,0.0003,20.110471499999996,-0.41526318,0,,
,,,,,1144,,,,12.719853417891049,19.5,0,0,0,-13.47491609511599,13.47491609511599,3,304,23.833333333333332,1,48,0.0003,19.525487916666666,-0.70874316,0,,
,,,,,1228,,,,9.749329265884974,19.3,0,0,1,-11.34992249949754,11.34992249949754,3,311,23.615384615384617,1,52,0.0003,19.293935423076924,-0.64552456,0,,
,,,,,1328,,,,9.458529309794814,19.3,0,0,1,-11.752730047746446,11.752730047746446,4,318,23.714285714285715,1,56,0.0003,19.304915,-0.5543464,0,,
,,,,,1395,,,,9.956350705520592,19.0,0,0,1,-9.691205573369201,9.691205573369201,4,328,23.25,1,60,0.0003,18.966914166666665,-0.6621657,0,,
,,,,,1482,,,,7.432059520009165,18.8,0,0,1,-5.4110984208933814,5.4110984208933814,4,332,23.15625,1,64,0.0003,18.832607109375,-0.5676083,0,,
