eval_qs_difference,total timesteps,eval mean 100 episode reward,eval_discount_q,eval_time_elapsed,eval_eplenmean,eval_abs_qs_difference,eval_ep_rewmean,eval_qs,ep_rewmean,qs_difference,train_time,time_elapsed,current_lr,act_time,episodes,env_time,fps,mean 100 episode reward,discount_q,qs_abs_difference,n_updates,update_time,eplenmean,qs_mean,q_grad_norm,qfs_loss
-3.4060421425390683,1,9.0,8.573407374943606,0,21.727272727272727,3.4060423,9.027943909090908,-0.9187244,,,,,,,,,,,,,,,,,,
,64,,,,,,,,14.08198275,-2.890735934883713,0,0,0.0003,0,4,0,77,14.1,3.2218316294704814,2.890735934883713,0,0,16.0,0.1183406,,
,128,,,,,,,,13.477156625,-3.6260022623914643,0,1,0.0003,0,8,0,113,13.5,5.686887301557707,3.6260022623914643,0,0,16.0,0.04862442,,
,237,,,,,,,,18.882664583333334,-40.6456490442194,0,1,0.0003,0,12,0,188,18.9,34.09890350360069,40.6456490442194,0,0,19.75,-0.16936202,,
,315,,,,,,,,17.0410283125,-6.276628152940227,0,1,0.0003,0,16,0,229,17.0,8.699325422159875,6.276628152940227,0,0,19.6875,-0.26523292,,
,381,,,,,,,,15.546823,-4.492640380546775,0,1,0.0003,0,20,0,264,15.5,5.45242679020239,4.492640380546775,0,0,19.05,0.14695626,,
,460,,,,,,,,15.603630958333335,-4.444798376439932,0,1,0.0003,0,24,0,295,15.6,4.8779837728132645,4.444798376439932,0,0,19.166666666666668,0.11018925,,
,608,,,,,,,,18.769392785714285,-15.216809967062506,0,1,0.0003,0,28,0,336,18.8,8.889966255913233,15.216809967062506,0,0,21.714285714285715,0.05637309,,
,717,,,,,,,,19.26914396875,-14.494093727769512,0,1,0.0003,0,32,0,362,19.3,14.874857213069232,14.494093727769512,0,0,22.40625,-0.24509665,,
,843,,,,,,,,19.38573477777778,-13.947087047635646,0,2,0.0003,0,36,0,387,19.4,18.842488282071475,14.694417590725479,0,0,23.416666666666668,-0.2877329,,
,937,,,,,,,,19.306097549999997,-13.615664588115369,0,2,0.0003,0,40,0,399,19.3,16.589694983755574,13.615664588115369,0,0,23.425,-0.20790753,,
