eval_discount_q,eval_eplenmean,eval_abs_qs_difference,total timesteps,eval_qs_difference,eval_time_elapsed,eval mean 100 episode reward,eval_qs,eval_ep_rewmean,discount_q,qs_abs_difference,eplenmean,fps,time_elapsed,episodes,env_time,act_time,mean 100 episode reward,ep_rewmean,train_time,n_updates,update_time,qs_difference,qs_mean,current_lr,q_grad_norm,qfs_loss
0.8942855401247622,20.0,2.5985327,1,2.003051992565253,0,0.2,-1.6216812,0.1603959090909091,,,,,,,,,,,,,,,,,,
,,,115,,,,,,2.9018806133078248,4.435884129085074,28.75,89,1,4,0,0,18.6,18.561705500000002,0,0,0,-4.435884129085074,-0.15669936,0.0003,,
,,,186,,,,,,6.7185493484751415,5.222578411689058,23.25,134,1,8,0,0,16.3,16.326069375000003,0,0,0,-5.222578411689058,-0.4561832,0.0003,,
,,,236,,,,,,5.411075216144156,4.340554333088361,19.666666666666668,158,1,12,0,0,14.4,14.405722833333334,0,0,0,-4.340554333088361,-0.41183507,0.0003,,
,,,300,,,,,,5.574808028081866,3.610136348193188,18.75,185,1,16,0,0,13.5,13.513709625,0,0,0,-3.5015836984986404,-0.30852762,0.0003,,
,,,381,,,,,,6.2000096316977595,6.4694039211935745,19.05,219,1,20,0,0,13.6,13.5746146,0,0,0,-6.4694039211935745,-0.0875335,0.0003,,
,,,514,,,,,,1.9022371605822859,3.4494356914207693,21.416666666666668,260,1,24,0,0,16.6,16.603430083333333,0,0,0,-3.4494356914207693,-0.14254215,0.0003,,
,,,605,,,,,,10.851845115134708,12.102627914774036,21.607142857142858,285,2,28,0,0,17.5,17.491430178571427,0,0,0,-12.102627914774036,-0.21950965,0.0003,,
,,,691,,,,,,7.82106194597841,6.493209737011465,21.59375,313,2,32,0,0,18.1,18.07280409375,0,0,0,-6.493209737011465,-0.19180122,0.0003,,
,,,753,,,,,,4.455705562923759,4.058566843443634,20.916666666666668,324,2,36,0,0,17.1,17.120411861111112,0,0,0,-4.058566843443634,-0.3929129,0.0003,,
,,,836,,,,,,24.83156485142445,20.25651627094773,20.9,338,2,40,0,0,17.3,17.253935849999998,0,0,0,-20.25651627094773,-0.21768598,0.0003,,
,,,904,,,,,,5.879089934810443,5.306376868703156,20.545454545454547,347,2,44,0,0,16.6,16.582528045454545,0,0,0,-5.306376868703156,-0.13393731,0.0003,,
,,,986,,,,,,3.2853396681271714,3.6339119308930323,20.541666666666668,366,2,48,1,0,16.5,16.454733541666666,0,0,0,-3.6339119308930323,-0.4229905,0.0003,,
,,,1058,,,,,,5.602958440250582,2.97474166269987,20.346153846153847,372,2,52,1,0,16.2,16.167204557692305,0,0,0,-2.9454810461147978,-0.4432383,0.0003,,
,,,1141,,,,,,8.447298345465928,7.671908023030456,20.375,379,3,56,1,0,16.2,16.229934589285715,0,0,0,-7.671908023030456,-0.35988942,0.0003,,
,,,1224,,,,,,6.781879739618045,7.589535741461396,20.4,384,3,60,1,0,16.4,16.391627983333336,0,0,0,-7.589535741461396,-0.2079316,0.0003,,
,,,1304,,,,,,7.431022368508717,6.087782084242248,20.375,387,3,64,1,0,16.2,16.242972234375,0,0,1,-6.087782084242248,-0.17610201,0.0003,,
,,,1453,,,,,,1.443595838536508,3.180053439807972,21.36764705882353,402,3,68,1,0,19.0,18.989984558823526,0,0,1,-3.180053439807972,-0.16920535,0.0003,,
,,,1538,,,,,,6.123582269827368,5.646138903400618,21.36111111111111,403,3,72,1,0,18.8,18.79170636111111,0,0,1,-5.646138903400618,-0.36089152,0.0003,,
,,,1604,,,,,,7.910538099747835,7.676036417961283,21.105263157894736,400,4,76,1,0,18.5,18.50468340789474,0,0,1,-7.676036417961283,-0.080296814,0.0003,,
,,,1656,,,,,,6.917953559673812,5.973956396039301,20.7,407,4,80,1,0,18.1,18.0604537,0,0,1,-5.973956396039301,-0.40036336,0.0003,,
,,,1753,,,,,,4.329249402997661,4.309076110029439,20.86904761904762,408,4,84,1,0,18.1,18.127594380952377,0,0,1,-4.309076110029439,-0.4477919,0.0003,,
,,,1917,,,,,,15.728290914468213,35.66099757720207,21.78409090909091,404,4,88,1,0,19.9,19.940960034090907,0,0,1,-35.66099757720207,-0.07492495,0.0003,,
,,,1992,,,,,,6.160982348169898,6.06210692419254,21.652173913043477,413,4,92,1,0,19.7,19.686299608695652,0,0,1,-6.06210692419254,-0.14900622,0.0003,,
,,,2045,,,,,,5.0480484471022145,3.864955219084922,21.302083333333332,405,5,96,1,0,19.3,19.302588833333335,0,0,1,-3.864955219084922,-0.27214354,0.0003,,
,,,2135,,,,,,10.328879468526042,9.503082277364364,21.35,396,5,100,1,0,19.2,19.229497900000002,0,0,2,-9.503082277364364,-0.3394133,0.0003,,
