#{"t_start": 1658913510.992427, "env_id": "Humanoid-v3"}
r,l,t
234.086129,46,2.177169
83.572032,17,2.189326
96.500042,19,2.200371
89.23444,18,2.211782
118.976766,24,2.368427
166.763743,33,2.390863
209.711207,40,2.41655
113.051219,22,2.440326
107.084477,21,2.454204
135.814657,27,2.470805
83.711462,17,2.482278
192.226172,38,2.518604
104.035982,21,2.53332
105.772744,21,2.5468
121.044254,24,2.561848
100.266439,20,2.591951
94.512633,19,2.604183
95.573969,19,2.616447
113.532246,22,2.629815
83.188375,17,2.640063
133.243845,27,2.7038
114.272445,22,2.717641
132.0599,27,2.733406
95.40004,19,2.744609
107.769656,22,2.780856
180.793594,34,2.801498
109.578189,22,2.816138
117.411835,23,2.830485
104.05389,21,2.894015
145.904838,28,2.929105
117.286029,23,2.945105
190.99744,36,2.967003
95.462646,19,3.020565
162.094998,32,3.040039
83.443697,17,3.051633
100.385766,20,3.063958
95.39842,19,3.075941
159.220708,30,3.141973
110.953238,22,3.159943
94.522082,19,3.173261
112.722385,22,3.186362
95.818071,19,3.26471
83.279767,17,3.283808
100.383286,20,3.301452
109.979142,22,3.314726
242.051975,47,3.39097
151.977367,30,3.411112
83.4584,17,3.422612
135.676348,27,3.43827
83.679446,17,3.595889
133.947539,27,3.626099
109.457111,22,3.640449
185.926075,36,3.663188
187.474221,36,3.755462
145.40143,28,3.7767
117.546509,23,3.794077
154.121314,30,3.864158
89.080357,18,3.876556
176.347931,35,3.898382
94.359451,19,3.914344
169.088864,34,4.013006
90.009503,18,4.035879
88.24848,18,4.045756
88.506822,18,4.055706
236.845367,46,4.329989
94.106098,19,4.344581
88.764257,18,4.355717
94.430412,19,4.367164
157.464175,31,4.386676
130.041842,26,4.491829
83.702634,17,4.501841
122.829595,24,4.51456
127.903391,25,4.528922
98.81132,20,4.651644
113.196728,22,4.66477
141.761737,27,4.679485
88.765127,18,4.690143
166.151712,33,4.805886
106.631128,21,4.820008
149.074959,31,4.837035
119.810624,23,4.851779
162.058972,34,5.060252
182.217447,37,5.082378
89.051031,18,5.094596
135.360459,27,5.356609
88.344292,18,5.371168
154.036236,30,5.390223
164.177502,32,5.410724
123.668044,25,5.55889
102.560886,20,5.572935
89.551072,18,5.584589
169.445209,34,5.606839
112.399303,22,5.701187
107.288634,21,5.713941
96.407458,19,5.725063
83.501397,17,5.734585
162.942906,32,5.751581
146.630226,29,6.009954
83.633515,17,6.032329
117.570593,23,6.055235
102.043917,20,6.074331
130.694073,26,6.51621
170.113612,34,6.539268
150.55134,29,6.563789
128.717198,25,6.585595
88.487194,18,6.937606
123.23332,24,6.953162
181.5721,38,6.981399
127.707784,26,7.021382
147.276688,29,7.506792
83.404551,17,7.517777
115.060388,23,7.531139
161.062812,31,7.550533
159.966844,33,7.848382
116.113706,23,7.863756
130.87697,28,7.881563
113.244697,22,8.23805
94.179314,19,8.280723
128.036251,26,8.296978
89.367787,18,8.31169
83.330308,17,8.339359
100.42669,20,8.74855
89.523795,18,8.762766
124.932247,25,8.777613
142.750002,29,8.795172
101.132333,20,8.806983
94.513393,19,9.198376
166.958921,34,9.227773
118.313377,24,9.242354
156.617627,31,9.749641
83.353274,17,9.763826
127.030734,26,9.779192
88.257786,18,9.790475
83.560952,17,9.800582
97.056572,19,10.263595
89.645606,18,10.309534
