total timesteps,eval_qs,eval_time_elapsed,eval_qs_difference,eval_abs_qs_difference,eval_ep_rewmean,eval_eplenmean,eval mean 100 episode reward,eval_discount_q,update_time,fps,time_elapsed,env_time,episodes,ep_rewmean,act_time,mean 100 episode reward,n_updates,qs_abs_difference,qs_mean,discount_q,current_lr,train_time,eplenmean,qs_difference
1,-1.6129628,0,-49.25513577275221,49.25514,99.62040254545455,21.272727272727273,99.3,90.38640540566368,,,,,,,,,,,,,,,,
102,,,,,,,,,0,146,0,0,4,127.6380925,0,127.6,0,79.39054454971756,0.33626693,73.30428967306992,0.0003,0,25.5,-79.39054454971756
194,,,,,,,,,0,259,0,0,8,122.522926625,0,122.5,0,50.372853703376904,0.19883564,44.55914951178612,0.0003,0,24.25,-50.372853703376904
287,,,,,,,,,0,354,0,0,12,120.99610266666667,0,121.0,0,43.802873429096365,0.25036752,38.1899448118527,0.0003,0,23.916666666666668,-43.802873429096365
387,,,,,,,,,0,436,0,0,16,122.5138441875,0,122.5,0,42.48484322713197,0.19432712,33.790567782152834,0.0003,0,24.1875,-42.48484322713197
499,,,,,,,,,0,513,0,0,20,126.43179660000001,0,126.4,0,93.35506356508202,0.23296095,83.75867044221167,0.0003,0,24.95,-93.35506356508202
614,,,,,,,,,0,558,1,0,24,129.91467670833333,0,129.9,0,102.35032191390303,0.29840478,87.10926778857143,0.0003,0,25.583333333333332,-102.35032191390303
689,,,,,,,,,0,602,1,0,28,124.66661717857143,0,124.7,0,44.48326667590481,0.18615015,46.09787809218619,0.0003,0,24.607142857142858,-44.48326667590481
790,,,,,,,,,0,634,1,0,32,125.08605040625001,0,125.1,0,73.19758043504268,0.2594227,64.10662428486256,0.0003,0,24.6875,-73.19758043504268
875,,,,,,,,,0,649,1,0,36,123.0309326388889,0,123.0,0,41.729424284593655,0.2653201,39.001321202925524,0.0003,0,24.305555555555557,-41.729424284593655
