eval_time_elapsed,eval_qs,eval_abs_qs_difference,total timesteps,eval mean 100 episode reward,eval_discount_q,eval_ep_rewmean,eval_qs_difference,eval_eplenmean,act_time,eplenmean,train_time,ep_rewmean,qs_difference,discount_q,mean 100 episode reward,n_updates,current_lr,qs_abs_difference,fps,time_elapsed,env_time,episodes,update_time,qs_mean,qfs_loss,q_grad_norm
0,-1.2187791,3.6854568,1,4.1,3.9153062349207604,4.0,-3.685456576597996,4.0,,,,,,,,,,,,,,,,,,
,,,21,,,,,,0,5.25,0,5.25,-2.371298255157471,2.478589322882905,5.2,0,0.0003,2.371298255157471,35,0,0,4,0,-0.38459826,,
,,,38,,,,,,0,4.75,0,4.75,-2.671274564297994,2.580261938505142,4.8,0,0.0003,2.671274564297994,62,0,0,8,0,-0.6845746,,
,,,59,,,,,,0,4.916666666666667,0,4.916666666666667,-2.172168037923177,2.478589322882905,4.9,0,0.0003,2.172168037923177,89,0,0,12,0,-0.18546803,,
,,,90,,,,,,0,5.625,0,5.625,-4.656594265885639,6.131091398925789,5.6,0,0.0003,4.656594265885639,121,0,0,16,0,-0.26003492,,
,,,109,,,,,,0,5.45,0,5.45,-5.156034374463215,7.8213451173217745,5.5,0,0.0003,5.156034374463215,99,1,0,20,0,-0.28706214,,
,,,135,,,,,,0,5.625,0,5.625,-5.22256034867067,7.290004757877157,5.6,0,0.0003,5.22256034867067,117,1,0,24,0,-0.3535881,,
,,,152,,,,,,0,5.428571428571429,0,5.428571428571429,-2.680150050383568,3.45778296150411,5.4,0,0.0003,2.680150050383568,127,1,0,28,0,-0.2050253,,
,,,169,,,,,,0,5.28125,0,5.28125,-2.1766850815534595,2.580261938505142,5.3,0,0.0003,2.1766850815534595,137,1,0,32,0,-0.18998508,,
,,,198,,,,,,0,5.5,0,5.5,-5.135513964687111,7.073484326563447,5.5,0,0.0003,5.135513964687111,152,1,0,36,0,-0.26654175,,
,,,219,,,,,,0,5.475,0,5.475,-3.118902677339031,4.172990287361707,5.5,0,0.0003,3.118902677339031,153,1,0,40,0,-0.15860386,,
,,,240,,,,,,0,5.454545454545454,0,5.454545454545454,-4.519334067292499,6.7793154777709415,5.5,0,0.0003,4.519334067292499,162,1,0,44,0,-0.12277471,,
,,,270,,,,,,0,5.625,0,5.625,-6.09707062969379,8.64682504473063,5.6,0,0.0003,6.09707062969379,173,1,0,48,0,-0.29264182,,
,,,288,,,,,,0,5.538461538461538,0,5.538461538461538,-2.3919903031309446,2.554459319120091,5.5,0,0.0003,2.3919903031309446,179,1,0,52,0,-0.40529028,,
,,,318,,,,,,0,5.678571428571429,0,5.678571428571429,-3.6325567067383866,4.597776741893853,5.7,0,0.0003,3.6325567067383866,173,1,0,56,0,-0.1903102,,
,,,347,,,,,,0,5.783333333333333,0,5.783333333333333,-4.556277972348022,6.255577388966216,5.8,0,0.0003,4.556277972348022,181,1,0,60,0,-0.1597186,,
,,,371,,,,,,0,5.796875,0,5.796875,-2.322519480319818,2.40497274140396,5.8,0,0.0003,2.322519480319818,187,1,0,64,0,-0.33581948,,
,,,400,,,,,,0,5.882352941176471,0,5.882352941176471,-6.07360659885361,8.73416671184912,5.9,0,0.0003,6.07360659885361,177,2,0,68,0,-0.26917776,,
,,,421,,,,,,0,5.847222222222222,0,5.847222222222222,-3.1092031494197387,4.172990287361707,5.8,0,0.0003,3.1092031494197387,181,2,0,72,0,-0.14890435,,
,,,439,,,,,,0,5.776315789473684,0,5.776315789473684,-3.266260929447128,4.300726154888037,5.8,0,0.0003,3.266260929447128,185,2,0,76,0,-0.30596215,,
,,,462,,,,,,0,5.775,0,5.775,-3.2659388915118712,4.089947780643209,5.8,0,0.0003,3.2659388915118712,189,2,0,80,0,-0.3056401,,
,,,487,,,,,,0,5.7976190476190474,0,5.7976190476190474,-2.180903575452169,2.38092301398992,5.8,0,0.0003,2.180903575452169,194,2,0,84,0,-0.19420357,,
,,,513,,,,,,0,5.829545454545454,0,5.829545454545454,-2.7825613335636854,3.1587443733890668,5.8,0,0.0003,2.7825613335636854,182,2,0,88,0,-0.3074366,,
,,,542,,,,,,0,5.891304347826087,0,5.891304347826087,-4.78122588124125,6.255577388966216,5.9,0,0.0003,4.78122588124125,187,2,1,92,0,-0.3846665,,
,,,569,,,,,,0,5.927083333333333,0,5.927083333333333,-3.2674819633779064,3.9287875191942216,5.9,0,0.0003,3.2674819633779064,191,2,1,96,0,-0.30718318,,
,,,583,,,,,,0,5.83,0,5.83,-2.4544393287420276,2.6592441489738134,5.8,0,0.0003,2.4544393287420276,193,3,1,100,0,-0.4677393,,
,,,605,,,,,,0,5.84,0,5.84,-2.9270376057294607,3.2883171911041633,5.8,0,0.0003,2.9270376057294607,179,3,1,104,1,-0.45191285,,
,,,625,,,,,,0,5.87,0,5.87,-3.2026391998347776,4.215141704405765,5.9,0,0.0003,3.2026391998347776,182,3,1,108,1,-0.2423404,,
,,,655,,,,,,0,5.96,0,5.96,-3.6390368069926047,4.597776741893853,6.0,0,0.0003,3.6390368069926047,186,3,1,112,1,-0.1967903,,
,,,673,,,,,,0,5.83,0,5.83,-2.706357411753893,3.423205131889069,5.8,0,0.0003,2.706357411753893,188,3,1,116,1,-0.23123266,,
,,,702,,,,,,0,5.93,0,5.93,-2.5114764587402347,2.2871051473558914,5.9,0,0.0003,2.5114764587402347,176,3,1,120,1,-0.52477646,,
,,,725,,,,,,0,5.9,0,5.9,-3.069989411574318,4.089947780643209,5.9,0,0.0003,3.069989411574318,179,4,1,124,1,-0.10969061,,
,,,740,,,,,,0,5.88,0,5.88,-3.7399646168668212,5.345889284235237,5.9,0,0.0003,3.7399646168668212,181,4,1,128,1,-0.29771808,,
,,,762,,,,,,0,5.93,0,5.93,-7.075454618298419,11.188665794459492,5.9,0,0.0003,7.075454618298419,183,4,1,132,1,-0.34790638,,
,,,793,,,,,,0,5.95,0,5.95,-2.679205003839493,3.0039344692706127,6.0,0,0.0003,2.679205003839493,186,4,1,136,1,-0.20408025,,
,,,826,,,,,,0,6.07,0,6.07,-7.894786143791084,11.678322885181247,6.1,0,0.0003,7.894786143791084,178,4,1,140,1,-0.2562721,,
,,,847,,,,,,0,6.07,0,6.07,-3.7329468305626654,5.033048642002996,6.1,0,0.0003,3.7329468305626654,181,4,1,144,1,-0.29070032,,
,,,877,,,,,,0,6.07,0,6.07,-3.25928963873954,3.812098601086634,6.1,0,0.0003,3.25928963873954,185,4,1,148,1,-0.29899085,,
,,,894,,,,,,0,6.06,0,6.06,-2.5393994864145917,2.580261938505142,6.1,0,0.0003,2.5393994864145917,187,4,1,152,1,-0.5526995,,
,,,921,,,,,,0,6.03,0,6.03,-5.103664083673877,7.2171047102983845,6.0,0,0.0003,5.103664083673877,177,5,1,156,2,-0.23469186,,
,,,943,,,,,,0,5.96,0,5.96,-2.1541071153004965,2.453803429654076,6.0,0,0.0003,2.1541071153004965,179,5,1,160,2,-0.16740711,,
,,,961,,,,,,0,5.9,0,5.9,-4.692061916626978,6.986831355871687,5.9,0,0.0003,4.692061916626978,181,5,1,164,2,-0.29550254,,
,,,977,,,,,,0,5.77,0,5.77,-2.807583272170782,3.4927100621253633,5.8,0,0.0003,2.807583272170782,182,5,1,168,2,-0.33245853,,
,,,1003,,,,,,0,5.82,0,5.82,-3.2097283408460155,3.9684722416103253,5.8,0,0.0003,3.2097283408460155,173,5,1,172,2,-0.24942951,,
,,,1017,,,,,,0,5.78,0,5.78,-2.464611397814751,2.6592441489738134,5.8,0,0.0003,2.464611397814751,175,5,1,176,2,-0.47791138,,
,,,1036,,,,,,0,5.74,0,5.74,-2.9480100830016136,3.388973080570178,5.7,0,0.0003,2.9480100830016136,176,5,1,180,2,-0.4728853,,
,,,1059,,,,,,0,5.72,0,5.72,-4.573296420909452,6.644407099763299,5.7,0,0.0003,4.573296420909452,179,5,1,184,2,-0.17673707,,
,,,1081,,,,,,0,5.68,0,5.68,-3.235071964603378,4.13126038448809,5.7,0,0.0003,3.235071964603378,181,5,1,188,2,-0.27477315,,
,,,1099,,,,,,0,5.57,0,5.57,-2.1817148741404218,2.554459319120091,5.6,0,0.0003,2.1817148741404218,183,5,1,192,2,-0.19501488,,
,,,1123,,,,,,0,5.54,0,5.54,-3.2655307338056105,4.049048302836777,5.5,0,0.0003,3.2655307338056105,172,6,1,196,3,-0.30523196,,
,,,1146,,,,,,0,5.63,0,5.63,-3.1255383044895666,4.089947780643209,5.6,0,0.0003,3.1255383044895666,174,6,1,200,3,-0.1652395,,
,,,1163,,,,,,0,5.58,0,5.58,-3.995618087582243,6.143888162487761,5.6,0,0.0003,3.995618087582243,176,6,1,204,3,-0.07462604,,
,,,1188,,,,,,0,5.63,0,5.63,-4.229079456943439,5.669240205094083,5.6,0,0.0003,4.229079456943439,178,6,1,208,3,-0.3080874,,
,,,1214,,,,,,0,5.59,0,5.59,-5.985174781289515,9.001520883613319,5.6,0,0.0003,5.985174781289515,169,7,1,212,3,-0.18074594,,
,,,1235,,,,,,0,5.62,0,5.62,-2.1380205170631412,2.478589322882905,5.6,0,0.0003,2.1380205170631412,171,7,1,216,3,-0.15132052,,
,,,1256,,,,,,0,5.54,0,5.54,-2.4604620477875074,2.478589322882905,5.5,0,0.0003,2.4604620477875074,172,7,2,220,3,-0.47376204,,
,,,1281,,,,,,0,5.56,0,5.56,-2.741379722666502,3.1906508822111785,5.6,0,0.0003,2.741379722666502,174,7,2,224,3,-0.266255,,
,,,1298,,,,,,0,5.58,0,5.58,-2.175328489772479,2.580261938505142,5.6,0,0.0003,2.175328489772479,175,7,2,228,3,-0.18862848,,
,,,1330,,,,,,0,5.68,0,5.68,-3.3155167952594295,3.7362378389250104,5.7,0,0.0003,3.3155167952594295,164,8,2,232,4,-0.355218,,
,,,1347,,,,,,0,5.54,0,5.54,-3.367167459469749,4.344167833220239,5.5,0,0.0003,3.367167459469749,165,8,2,236,4,-0.40686864,,
,,,1365,,,,,,0,5.39,0,5.39,-3.6505787000774483,5.187111026604166,5.4,0,0.0003,3.6505787000774483,166,8,2,240,4,-0.2083322,,
,,,1388,,,,,,0,5.41,0,5.41,-3.2331572011527556,4.089947780643209,5.4,0,0.0003,3.2331572011527556,168,8,2,244,4,-0.2728584,,
,,,1409,,,,,,0,5.32,0,5.32,-2.699614200454712,3.321532516266832,5.3,0,0.0003,2.699614200454712,157,8,2,248,4,-0.22448945,,
,,,1431,,,,,,0,5.37,0,5.37,-3.2446787685570255,4.13126038448809,5.4,0,0.0003,3.2446787685570255,158,9,2,252,4,-0.28437996,,
,,,1446,,,,,,0,5.25,0,5.25,-2.1673831210851673,2.632651707484075,5.2,0,0.0003,2.1673831210851673,159,9,2,256,4,-0.18068312,,
,,,1464,,,,,,0,5.21,0,5.21,-3.7843722428599142,5.187111026604166,5.2,0,0.0003,3.7843722428599142,160,9,2,260,4,-0.34212574,,
,,,1486,,,,,,0,5.25,0,5.25,-3.087434761267616,4.13126038448809,5.2,0,0.0003,3.087434761267616,161,9,2,264,4,-0.12713596,,
,,,1510,,,,,,0,5.33,0,5.33,-3.7320404425977807,4.883562064286864,5.3,0,0.0003,3.7320404425977807,151,9,2,268,5,-0.28979394,,
,,,1534,,,,,,0,5.31,0,5.31,-3.3499906987366215,4.049048302836777,5.3,0,0.0003,3.3499906987366215,153,10,2,272,5,-0.3896919,,
,,,1573,,,,,,0,5.56,0,5.56,-10.141157001781187,15.043957477530334,5.6,0,0.0003,10.141157001781187,155,10,2,276,5,-0.2772229,,
,,,1602,,,,,,0,5.66,0,5.66,-4.085154837473115,5.445849520744957,5.7,0,0.0003,4.085154837473115,147,10,2,280,6,-0.1641628,,
,,,1619,,,,,,0,5.6,0,5.6,-2.8165076875058412,3.45778296150411,5.6,0,0.0003,2.8165076875058412,148,10,2,284,6,-0.34138292,,
,,,1661,,,,,,0,5.8,0,5.8,-3.7309491734424376,4.075399747542985,5.8,0,0.0003,3.7309491734424376,151,10,2,288,6,-0.28870264,,
,,,1683,,,,,,0,5.84,0,5.84,-3.043629113298416,3.2883171911041633,5.8,0,0.0003,3.043629113298416,152,11,2,292,6,-0.5685044,,
,,,1705,,,,,,0,5.82,0,5.82,-3.576129034233008,4.982718155582965,5.8,0,0.0003,3.576129034233008,145,11,2,296,6,-0.13388252,,
,,,1723,,,,,,0,5.77,0,5.77,-3.5993043632029633,5.187111026604166,5.8,0,0.0003,3.5993043632029633,146,11,2,300,6,-0.15705784,,
,,,1751,,,,,,0,5.88,0,5.88,-3.2763549402770535,3.8894996440022798,5.9,0,0.0003,3.2763549402770535,147,11,2,304,6,-0.31605613,,
,,,1776,,,,,,0,5.88,0,5.88,-2.996573313784361,3.1906508822111785,5.9,0,0.0003,2.996573313784361,149,11,2,308,6,-0.52144855,,
,,,1800,,,,,,0,5.86,0,5.86,-4.729393944777536,6.577963028765667,5.9,0,0.0003,4.729393944777536,142,12,2,312,7,-0.3328346,,
,,,1817,,,,,,0,5.82,0,5.82,-3.8395705496985855,5.239506087478956,5.8,0,0.0003,3.8395705496985855,143,12,2,316,7,-0.39732406,,
,,,1834,,,,,,0,5.78,0,5.78,-3.7257903082389774,5.239506087478956,5.8,0,0.0003,3.7257903082389774,144,12,2,320,7,-0.2835438,,
