#{"t_start": 1651858231.376429, "env_id": "InvertedPendulum-v2"}
r,l,t
7.0,7,5.90398
5.0,5,5.918038
8.0,8,5.93671
5.0,5,5.949557
7.0,7,5.970124
7.0,7,5.98675
6.0,6,6.005411
6.0,6,6.020038
3.0,3,6.028139
4.0,4,6.039732
5.0,5,6.051988
3.0,3,6.061903
7.0,7,6.077917
5.0,5,6.091296
6.0,6,6.099908
4.0,4,6.106357
6.0,6,6.115526
5.0,5,6.123635
3.0,3,6.441877
16.0,16,6.461578
3.0,3,6.479175
4.0,4,6.487735
3.0,3,6.494867
5.0,5,6.504756
3.0,3,6.518595
3.0,3,6.52701
8.0,8,6.540537
3.0,3,6.551538
8.0,8,6.568483
4.0,4,6.578674
3.0,3,6.586048
6.0,6,6.599641
4.0,4,6.612091
4.0,4,6.622031
5.0,5,6.638347
3.0,3,6.646456
3.0,3,6.655188
4.0,4,6.664933
6.0,6,6.679861
4.0,4,6.782732
11.0,11,6.79689
3.0,3,6.80412
5.0,5,6.814239
4.0,4,6.821344
4.0,4,6.832193
5.0,5,6.844443
8.0,8,6.860783
11.0,11,6.883565
3.0,3,6.891636
3.0,3,6.900382
3.0,3,6.909858
5.0,5,6.922083
12.0,12,6.944624
10.0,10,6.969042
3.0,3,6.983698
7.0,7,7.126422
3.0,3,7.137724
7.0,7,7.150153
3.0,3,7.161409
4.0,4,7.173071
16.0,16,7.205133
10.0,10,7.230003
3.0,3,7.236655
6.0,6,7.245209
5.0,5,7.254702
6.0,6,7.269436
5.0,5,7.285157
3.0,3,7.29401
8.0,8,7.311317
14.0,14,7.335645
3.0,3,7.348821
3.0,3,7.358419
4.0,4,7.539877
6.0,6,7.552125
4.0,4,7.563686
4.0,4,7.578583
5.0,5,7.590921
14.0,14,7.622527
7.0,7,7.643212
3.0,3,7.650302
3.0,3,7.657062
3.0,3,7.665353
6.0,6,7.678421
4.0,4,7.690233
3.0,3,7.699585
4.0,4,7.709209
6.0,6,7.72175
10.0,10,7.745077
4.0,4,7.758671
10.0,10,7.780309
3.0,3,8.01966
3.0,3,8.029298
7.0,7,8.048778
6.0,6,8.066884
7.0,7,8.086351
4.0,4,8.097024
3.0,3,8.10999
4.0,4,8.124401
