eval mean 100 episode reward,eval_qs_difference,eval_ep_rewmean,eval_discount_q,total timesteps,eval_eplenmean,eval_qs,eval_abs_qs_difference,eval_time_elapsed,eplenmean,ep_rewmean,qs_difference,current_lr,time_elapsed,qs_abs_difference,update_time,fps,act_time,mean 100 episode reward,env_time,episodes,discount_q,train_time,qs_mean,n_updates,q_grad_norm,qfs_loss
3.7,-2.766193295875007,3.727272727272727,3.66615677883709,1,3.727272727272727,-0.42750394,2.7661932,0,,,,,,,,,,,,,,,,,,
,,,,25,,,,,6.25,6.25,-2.3955004647788547,0.0003,0,2.3955004647788547,0,37,0,6.2,0,4,4.008557819808409,0,0.56479836,0,,
,,,,51,,,,,6.375,6.375,-3.4229997720042014,0.0003,0,3.4229997720042014,0,70,0,6.4,0,8,4.786379179207556,0,0.01924674,0,,
,,,,66,,,,,5.5,5.5,-1.9497655509730183,0.0003,0,1.9497655509730183,0,87,0,5.5,0,12,2.632651707484075,0,0.03693445,0,,
,,,,88,,,,,5.5,5.5,-2.506509853240609,0.0003,0,2.506509853240609,0,110,0,5.5,0,16,3.2883171911041633,0,-0.031385105,0,,
,,,,118,,,,,5.9,5.9,-7.825936396630937,0.0003,1,7.825936396630937,0,101,0,5.9,0,20,12.904543938069788,0,0.26355946,0,,
,,,,133,,,,,5.541666666666667,5.541666666666667,-2.565894878697111,0.0003,1,2.565894878697111,0,110,0,5.5,0,24,4.432372036751596,0,0.3944039,0,,
,,,,150,,,,,5.357142857142857,5.357142857142857,-1.9284259544134141,0.0003,1,1.9284259544134141,0,120,0,5.4,0,28,2.580261938505142,0,0.058274046,0,,
,,,,171,,,,,5.34375,5.34375,-3.299356269411161,0.0003,1,3.299356269411161,0,132,0,5.3,0,32,5.033048642002996,0,0.14289026,0,,
,,,,187,,,,,5.194444444444445,5.194444444444445,-1.9145430305421354,0.0003,1,1.9145430305421354,0,139,0,5.2,0,36,2.6063251904092346,0,0.07215697,0,,
,,,,204,,,,,5.1,5.1,-1.8888426755485535,0.0003,1,1.8888426755485535,0,138,0,5.1,0,40,3.45778296150411,0,0.5862821,0,,
,,,,227,,,,,5.159090909090909,5.159090909090909,-2.4742188059655428,0.0003,1,2.4742188059655428,0,150,0,5.2,0,44,3.255434019193122,0,0.0009059422,0,,
,,,,255,,,,,5.3125,5.3125,-5.4947721152842925,0.0003,1,5.4947721152842925,0,161,0,5.3,0,48,8.822390618029416,0,0.30965674,0,,
,,,,269,,,,,5.173076923076923,5.173076923076923,-2.35000964556308,0.0003,1,2.35000964556308,0,166,0,5.2,0,52,4.477143471466259,0,0.61028916,0,,
,,,,301,,,,,5.375,5.375,-3.4580412163233705,0.0003,1,3.4580412163233705,0,165,0,5.4,0,56,5.284102344129312,0,0.46295086,0,,
,,,,318,,,,,5.3,5.3,-2.454327776741743,0.0003,1,2.454327776741743,0,170,0,5.3,0,60,3.45778296150411,0,0.020796973,0,,
,,,,353,,,,,5.515625,5.515625,-3.2554962362566733,0.0003,1,3.2554962362566733,0,182,0,5.5,0,64,4.372439933202694,0,0.18675028,0,,
,,,,372,,,,,5.470588235294118,5.470588235294118,-1.9966385641515256,0.0003,1,1.9966385641515256,0,187,0,5.5,0,68,2.5289147259288898,0,-0.009938564,0,,
,,,,400,,,,,5.555555555555555,5.555555555555555,-1.922571008783579,0.0003,2,1.922571008783579,0,180,0,5.6,0,72,2.310207219551405,0,0.06412899,0,,
