eval_ep_rewmean,eval_discount_q,eval_eplenmean,total timesteps,eval mean 100 episode reward,eval_qs_difference,eval_abs_qs_difference,eval_time_elapsed,eval_qs,discount_q,mean 100 episode reward,n_updates,eplenmean,fps,env_time,act_time,train_time,update_time,qs_mean,episodes,qs_abs_difference,time_elapsed,current_lr,qs_difference,ep_rewmean,q_grad_norm,qfs_loss
3.8181818181818183,3.7329557116715524,3.8181818181818183,1,3.9,-3.820038931482911,3.8200388,0,-1.4441735,,,,,,,,,,,,,,,,,,
,,,30,,,,,,10.324281999564645,7.5,0,7.5,39,0,0,0,0,-0.29843187,4,7.025980169759676,0,0.0003,-7.025980169759676,7.5,,
,,,65,,,,,,5.889501934753431,8.1,0,8.125,79,0,0,0,0,-0.50056803,8,4.897127358876157,0,0.0003,-4.897127358876157,8.125,,
,,,93,,,,,,2.310207219551405,7.8,0,7.75,105,0,0,0,0,-0.13239025,12,2.11909024579525,0,0.0003,-2.11909024579525,7.75,,
,,,118,,,,,,3.1906508822111785,7.4,0,7.375,96,0,0,0,0,-0.6951786,16,3.1703033556160927,1,0.0003,-3.1703033556160927,7.375,,
,,,153,,,,,,6.659545080558585,7.7,0,7.65,116,0,0,0,0,-0.4705869,20,5.3395591229806225,1,0.0003,-5.3395591229806225,7.65,,
,,,166,,,,,,2.68610520098365,6.9,0,6.916666666666667,123,0,0,0,0,-0.13739438,24,2.12409438354969,1,0.0003,-2.12409438354969,6.916666666666667,,
,,,187,,,,,,5.901794454771974,6.7,0,6.678571428571429,134,0,0,0,0,-0.1501461,28,4.071138136830666,1,0.0003,-4.071138136830666,6.678571428571429,,
,,,199,,,,,,2.713237576751162,6.2,0,6.21875,139,0,0,0,0,-0.113050304,32,2.099750306836764,1,0.0003,-2.099750306836764,6.21875,,
,,,225,,,,,,2.357113783850021,6.2,0,6.25,143,0,0,0,0,-0.49223265,36,2.4789326157490414,1,0.0003,-2.4789326157490414,6.25,,
,,,241,,,,,,2.6063251904092346,6.0,0,6.025,151,0,0,0,0,-0.5053891,40,2.49208910428683,1,0.0003,-2.49208910428683,6.025,,
,,,258,,,,,,2.580261938505142,5.9,0,5.863636363636363,157,0,0,0,0,-0.54704535,44,2.5337453600088757,1,0.0003,-2.5337453600088757,5.863636363636363,,
,,,293,,,,,,13.106606645051814,6.1,0,6.104166666666667,171,0,0,0,0,-0.45141542,48,8.988922178590757,1,0.0003,-8.988922178590757,6.104166666666667,,
,,,310,,,,,,6.143888162487761,6.0,0,5.961538461538462,165,0,0,0,0,-0.52189523,52,4.442887227127548,1,0.0003,-4.442887227127548,5.961538461538462,,
,,,345,,,,,,8.22304458076495,6.2,0,6.160714285714286,176,0,0,0,0,-0.5585349,56,6.362963720548782,1,0.0003,-6.362963720548782,6.160714285714286,,
,,,366,,,,,,5.901794454771974,6.1,0,6.1,182,0,0,0,0,-0.40537634,60,4.326368372032638,2,0.0003,-4.326368372032638,6.1,,
,,,385,,,,,,6.91696304231297,6.0,0,6.015625,187,0,0,0,0,-0.23842502,64,4.634984361641097,2,0.0003,-4.634984361641097,6.015625,,
