eval_qs_difference,eval_eplenmean,eval mean 100 episode reward,eval_qs,eval_time_elapsed,total timesteps,eval_abs_qs_difference,eval_discount_q,eval_ep_rewmean,act_time,qs_abs_difference,env_time,qs_mean,episodes,update_time,mean 100 episode reward,discount_q,qs_difference,current_lr,n_updates,ep_rewmean,fps,time_elapsed,eplenmean,train_time,qfs_loss,q_grad_norm
-3.2946269191051827,3.8181818181818183,3.8,-0.90830666,0,1,3.2946272,3.763981,3.8181818181818183,,,,,,,,,,,,,,,,,,
,,,,,25,,,,0,1.1871701097806293,0,0.79952985,4,0,6.2,2.38092301398992,-1.1871701097806293,0.0003,0,6.25,39,0,6.25,0,,
,,,,,50,,,,0,2.603004788430446,0,0.8392418,8,0,6.2,4.834726443643996,-2.603004788430446,0.0003,0,6.25,72,0,6.25,0,,
,,,,,74,,,,0,4.954375664079529,0,0.38387856,12,0,6.2,8.306767196175933,-4.954375664079529,0.0003,0,6.166666666666667,98,0,6.166666666666667,0,,
,,,,,88,,,,0,1.1837748504002887,0,0.8029251,16,0,5.5,2.6592441489738134,-1.1837748504002887,0.0003,0,5.5,112,0,5.5,0,,
,,,,,105,,,,0,3.2795491840163007,0,0.16269733,20,0,5.2,5.239506087478956,-3.2795491840163007,0.0003,0,5.25,90,1,5.25,0,,
,,,,,130,,,,0,4.071766015616711,0,0.79720616,24,0,5.4,7.363641169572886,-4.071766015616711,0.0003,0,5.416666666666667,107,1,5.416666666666667,0,,
,,,,,149,,,,0,1.628144968014717,0,0.8469798,28,0,5.3,3.388973080570178,-1.628144968014717,0.0003,0,5.321428571428571,117,1,5.321428571428571,0,,
,,,,,170,,,,0,4.722592250192505,0,0.615662,32,0,5.3,8.561038603745788,-4.722592250192505,0.0003,0,5.3125,128,1,5.3125,0,,
,,,,,197,,,,0,1.6813671772298813,0,0.79375756,36,0,5.5,3.127156929655176,-1.6813671772298813,0.0003,0,5.472222222222222,142,1,5.472222222222222,0,,
,,,,,222,,,,0,2.75891201205245,0,0.6833345,40,0,5.5,4.834726443643996,-2.75891201205245,0.0003,0,5.55,144,1,5.55,0,,
,,,,,243,,,,0,1.6422667686758041,0,0.83285797,44,0,5.5,3.321532516266832,-1.6422667686758041,0.0003,0,5.5227272727272725,153,1,5.5227272727272725,0,,
,,,,,268,,,,0,3.458459362065106,0,0.4625327,48,0,5.6,5.669240205094083,-3.458459362065106,0.0003,0,5.583333333333333,163,1,5.583333333333333,0,,
,,,,,285,,,,0,1.1525505002657572,0,0.83414954,52,0,5.5,2.580261938505142,-1.1525505002657572,0.0003,0,5.480769230769231,168,1,5.480769230769231,0,,
,,,,,307,,,,0,2.330404214274645,0,0.14472054,56,0,5.5,3.2883171911041633,-2.330404214274645,0.0003,0,5.482142857142857,162,1,5.482142857142857,0,,
,,,,,327,,,,0,4.50162092519567,0,0.3673513,60,0,5.5,7.743131666148557,-4.50162092519567,0.0003,0,5.45,170,1,5.45,0,,
,,,,,341,,,,0,1.1803906178792316,0,0.8063094,64,0,5.3,2.6592441489738134,-1.1803906178792316,0.0003,0,5.328125,175,1,5.328125,0,,
,,,,,356,,,,0,1.8963958165367443,0,0.09030419,68,0,5.2,2.632651707484075,-1.8963958165367443,0.0003,0,5.235294117647059,178,1,5.235294117647059,0,,
,,,,,384,,,,0,1.644045624595642,0,0.8310791,72,0,5.3,3.095885360358624,-1.644045624595642,0.0003,0,5.333333333333333,187,2,5.333333333333333,0,,
,,,,,402,,,,0,1.601721126299858,0,0.8734036,76,0,5.3,3.423205131889069,-1.601721126299858,0.0003,0,5.2894736842105265,176,2,5.2894736842105265,0,,
,,,,,440,,,,0,1.894851735862096,0,0.091848254,80,0,5.5,2.0893099989182202,-1.894851735862096,0.0003,0,5.5,186,2,5.5,0,,
,,,,,471,,,,0,4.776518943095547,0,0.56173533,84,0,5.6,7.742449856686092,-4.776518943095547,0.0003,0,5.607142857142857,194,2,5.607142857142857,0,,
,,,,,490,,,,0,2.563561260741665,0,0.39673752,88,0,5.6,4.257718893339156,-2.563561260741665,0.0003,0,5.568181818181818,198,2,5.568181818181818,0,,
,,,,,511,,,,0,1.1886038995107013,0,0.7980961,92,0,5.6,2.478589322882905,-1.1886038995107013,0.0003,0,5.554347826086956,187,2,5.554347826086956,0,,
,,,,,524,,,,0,1.9048149502595269,0,0.08188505,96,0,5.5,2.68610520098365,-1.9048149502595269,0.0003,0,5.458333333333333,189,2,5.458333333333333,0,,
,,,,,565,,,,0,3.249096710444513,0,0.6718954,100,0,5.7,4.8271186288308625,-3.249096710444513,0.0003,0,5.65,198,2,5.65,0,,
,,,,,584,,,,0,2.3940118268994093,1,0.08111292,104,0,5.6,3.388973080570178,-2.3940118268994093,0.0003,0,5.59,201,2,5.59,0,,
,,,,,603,,,,0,2.3593369589117765,1,0.11578779,108,1,5.5,3.388973080570178,-2.3593369589117765,0.0003,0,5.53,188,3,5.53,0,,
,,,,,617,,,,0,1.9066905147155129,1,0.08000949,112,1,5.4,2.6592441489738134,-1.9066905147155129,0.0003,0,5.43,191,3,5.43,0,,
,,,,,639,,,,0,3.4642647139695666,1,0.45672733,116,1,5.5,5.842776510224254,-3.4642647139695666,0.0003,0,5.51,196,3,5.51,0,,
,,,,,661,,,,0,2.6515418723639987,1,0.30875692,120,1,5.6,4.13126038448809,-2.6515418723639987,0.0003,0,5.56,199,3,5.56,0,,
,,,,,684,,,,0,1.1690018590609232,1,0.8176982,124,1,5.5,2.429265395357535,-1.1690018590609232,0.0003,0,5.54,203,3,5.54,0,,
,,,,,710,,,,0,3.930135694034385,1,0.4664237,128,1,5.6,6.44706156449323,-3.930135694034385,0.0003,0,5.61,191,3,5.61,0,,
,,,,,729,,,,0,3.7104532613232606,1,0.6861061,132,1,5.6,6.91696304231297,-3.7104532613232606,0.0003,0,5.59,194,3,5.59,0,,
,,,,,747,,,,0,2.6679497113544883,1,0.7742968,136,1,5.5,5.187111026604166,-2.6679497113544883,0.0003,0,5.5,197,3,5.5,0,,
,,,,,764,,,,0,1.182272296778361,1,0.8044277,140,1,5.4,2.580261938505142,-1.182272296778361,0.0003,0,5.42,199,3,5.42,0,,
,,,,,794,,,,0,1.6225272898492813,1,0.8525975,144,1,5.5,3.0342772416874877,-1.6225272898492813,0.0003,0,5.51,203,3,5.51,0,,
,,,,,811,,,,0,1.7767274563131332,1,0.6983973,148,1,5.4,3.45778296150411,-1.7767274563131332,0.0003,0,5.43,188,4,5.43,0,,
,,,,,841,,,,0,5.6658929341611115,1,0.6016263,152,1,5.6,9.481338806180716,-5.6658929341611115,0.0003,0,5.56,192,4,5.56,0,,
,,,,,862,,,,0,2.102799142938568,1,0.8574997,156,1,5.5,4.172990287361707,-2.102799142938568,0.0003,0,5.55,194,4,5.55,0,,
,,,,,885,,,,0,2.5737513348874588,1,0.38654748,160,1,5.6,4.089947780643209,-2.5737513348874588,0.0003,0,5.58,197,4,5.58,0,,
,,,,,905,,,,0,2.798076212477598,1,0.6441703,164,2,5.6,5.083887517174743,-2.798076212477598,0.0003,0,5.64,182,4,5.64,0,,
,,,,,954,,,,0,1.1648532963116962,1,0.82184666,168,2,6.0,1.8706391670367202,-1.1648532963116962,0.0003,0,5.98,188,5,5.98,0,,
,,,,,969,,,,0,1.7800799270091057,1,0.6950448,172,2,5.8,3.527989961742792,-1.7800799270091057,0.0003,0,5.85,189,5,5.85,0,,
,,,,,984,,,,0,2.8645635202941437,1,0.09573529,176,2,5.8,4.432372036751596,-2.8645635202941437,0.0003,0,5.82,190,5,5.82,0,,
