eval_eplenmean,eval_abs_qs_difference,eval_ep_rewmean,eval_discount_q,eval_time_elapsed,eval_qs_difference,eval_qs,eval mean 100 episode reward,total timesteps,discount_q,update_time,act_time,n_updates,current_lr,eplenmean,train_time,ep_rewmean,qs_abs_difference,time_elapsed,qs_difference,mean 100 episode reward,episodes,fps,env_time,qs_mean,qfs_loss,q_grad_norm
5.181818181818182,3.4654665,5.181818181818182,5.06612976104872,0,-3.4654668410409997,-0.42015904,5.2,1,,,,,,,,,,,,,,,,,,
,,,,,,,,19,5.135239916338124,0,0,0,0.0003,4.75,0,4.75,2.748653392068459,0,-2.739810605915302,4.8,4,29,0,0.7024359,,
,,,,,,,,45,3.1587443733890668,0,0,0,0.0003,5.625,0,5.625,1.7664668221888542,0,-1.7664668221888542,5.6,8,64,0,0.708658,,
,,,,,,,,59,3.563626223982618,0,0,0,0.0003,4.916666666666667,0,4.916666666666667,1.5921236087498665,0,-1.5921236087498665,4.9,12,81,0,0.88300115,,
,,,,,,,,76,2.580261938505142,0,0,0,0.0003,4.75,0,4.75,1.1496350185394286,0,-1.1317147628784179,4.8,16,98,0,0.85498524,,
,,,,,,,,96,4.215141704405765,0,0,0,0.0003,4.8,0,4.8,2.1517903700885315,0,-2.1517903700885315,4.8,20,118,0,0.8085084,,
,,,,,,,,117,5.901794454771974,0,0,0,0.0003,4.875,0,4.875,3.0945071170340213,1,-3.0527940495705552,4.9,24,96,0,0.868198,,
,,,,,,,,133,4.38804831638408,0,0,0,0.0003,4.75,0,4.75,2.3235656276759644,1,-2.3235656276759644,4.8,28,106,0,0.6367332,,
,,,,,,,,147,2.6592441489738134,0,0,0,0.0003,4.59375,0,4.59375,1.1770336644172668,1,-1.1770336644172668,4.6,32,114,0,0.80966634,,
,,,,,,,,182,9.818289453947651,0,0,0,0.0003,5.055555555555555,0,5.055555555555555,5.958901110553153,1,-5.958901110553153,5.1,36,133,0,0.7686472,,
,,,,,,,,199,2.580261938505142,0,0,0,0.0003,4.975,0,4.975,1.4612987256368,1,-1.4612987256368,5.0,40,141,0,0.5254013,,
,,,,,,,,227,5.500858101762584,0,0,0,0.0003,5.159090909090909,0,5.159090909090909,3.116264149224072,1,-3.0709185703492112,5.2,44,144,0,0.85007346,,
,,,,,,,,244,2.580261938505142,0,0,0,0.0003,5.083333333333333,0,5.083333333333333,1.4564696169217426,1,-1.4564696169217426,5.1,48,151,0,0.53023034,,
,,,,,,,,262,2.554459319120091,0,0,0,0.0003,5.038461538461538,0,5.038461538461538,1.3278698242028553,1,-1.3102910634199778,5.0,52,157,0,0.67640895,,
,,,,,,,,277,2.632651707484075,0,0,0,0.0003,4.946428571428571,0,4.946428571428571,1.4551388240178424,1,-1.4551388240178424,4.9,56,162,0,0.53156114,,
,,,,,,,,301,8.306767196175933,0,0,0,0.0003,5.016666666666667,0,5.016666666666667,4.539891458237511,1,-4.508943486893516,5.0,60,158,0,0.8293108,,
,,,,,,,,324,2.429265395357535,0,0,0,0.0003,5.0625,0,5.0625,1.461488188934326,1,-1.461488188934326,5.1,64,165,0,0.5252118,,
,,,,,,,,346,4.13126038448809,0,0,0,0.0003,5.088235294117647,0,5.088235294117647,2.4830681637343903,2,-2.4830681637343903,5.1,68,172,0,0.47723064,,
,,,,,,,,363,4.344167833220239,0,0,0,0.0003,5.041666666666667,0,5.041666666666667,2.1648256555614016,2,-2.1648256555614016,5.0,72,176,0,0.7954731,,
,,,,,,,,384,5.901794454771974,0,0,0,0.0003,5.052631578947368,0,5.052631578947368,3.223694909573618,2,-3.190989943164752,5.1,76,182,0,0.7300021,,
,,,,,,,,407,2.429265395357535,0,0,0,0.0003,5.0875,0,5.0875,1.4104283964951831,2,-1.4104283964951831,5.1,80,173,0,0.5762716,,
,,,,,,,,430,3.255434019193122,0,0,0,0.0003,5.119047619047619,0,5.119047619047619,1.720976467889309,2,-1.7159178216872215,5.1,84,178,0,0.75920695,,
,,,,,,,,450,5.083887517174743,0,0,0,0.0003,5.113636363636363,0,5.113636363636363,2.5759892613410096,2,-2.5759892613410096,5.1,88,183,0,0.86625725,,
,,,,,,,,490,3.44759364298889,0,0,0,0.0003,5.326086956521739,0,5.326086956521739,2.145853538852646,2,-2.145853538852646,5.3,92,191,0,0.8144453,,
,,,,,,,,509,8.734862364805416,0,0,0,0.0003,5.302083333333333,0,5.302083333333333,4.672843754971367,2,-4.672843754971367,5.3,96,180,0,0.6654105,,
,,,,,,,,525,2.6063251904092346,0,0,0,0.0003,5.25,0,5.25,1.1355975087801615,2,-1.1355975087801615,5.2,100,182,0,0.85110253,,
,,,,,,,,544,5.135239916338124,0,0,0,0.0003,5.25,0,5.25,2.6251987765947122,2,-2.582088922532314,5.2,104,187,0,0.86015767,,
,,,,,,,,571,3.127156929655176,0,0,0,0.0003,5.26,0,5.26,1.7318286334095,2,-1.728459778886795,5.3,108,192,0,0.746665,,
,,,,,,,,586,3.527989961742792,0,0,0,0.0003,5.27,0,5.27,1.7059664611635208,3,-1.698031056385994,5.3,112,194,1,0.7770937,,
,,,,,,,,602,4.38804831638408,1,0,0,0.0003,5.26,0,5.26,2.2318059996184845,3,-2.176906211715653,5.3,116,182,1,0.7833926,,
,,,,,,,,624,4.982718155582965,1,0,0,0.0003,5.28,0,5.28,2.9301057458638287,3,-2.9301057458638287,5.3,120,185,1,0.51214075,,
,,,,,,,,655,11.063982372952925,1,0,0,0.0003,5.38,0,5.38,6.44445227390954,3,-6.420777870991405,5.4,124,190,1,0.76376116,,
,,,,,,,,678,4.932890974027137,1,0,0,0.0003,5.45,0,5.45,2.8616582602976894,3,-2.8616582602976894,5.5,128,194,1,0.5805882,,
,,,,,,,,712,2.1750142382105255,1,0,0,0.0003,5.65,0,5.65,1.495316805076599,3,-1.495316805076599,5.7,132,184,1,0.49138317,,
,,,,,,,,730,3.423205131889069,1,0,0,0.0003,5.48,0,5.48,1.9831165631232262,3,-1.9831165631232262,5.5,136,187,1,0.4920082,,
,,,,,,,,754,7.438021383406954,1,0,0,0.0003,5.55,0,5.55,4.19150301820138,3,-4.19150301820138,5.5,140,190,1,0.67746925,,
,,,,,,,,780,8.141462528972033,1,0,0,0.0003,5.53,0,5.53,4.5505405164602815,4,-4.523623201930862,5.5,144,193,1,0.814631,,
