eval_abs_qs_difference,total timesteps,eval_qs_difference,eval_qs,eval_discount_q,eval_time_elapsed,eval_ep_rewmean,eval mean 100 episode reward,eval_eplenmean,time_elapsed,update_time,qs_mean,env_time,fps,n_updates,ep_rewmean,train_time,discount_q,qs_abs_difference,qs_difference,act_time,current_lr,episodes,mean 100 episode reward,eplenmean,qfs_loss,q_grad_norm
2.7141435,1,-0.7850051453322195,-0.78055286,11.449695815291427,23,11.37972190909091,11.5,1000.0,,,,,,,,,,,,,,,,,,
,4000,,,,,,,,34,3,-0.3801732,5,116,0,0.9615387499999997,0,-8.660817476782422e-15,3.811246175129432,-1.075939611179525,0,0.0003,4,1.0,1000.0,,
,8000,,,,,,,,51,12,-0.3485245,11,156,0,0.39470762499999945,0,1.5177299178223366e-13,3.1301471902738847,-0.8405138580466219,1,0.0003,8,0.4,1000.0,,
2.6404893,10001,-0.5602205958579751,-0.77727294,12.488149273288048,22,10.192744272727271,10.8,1000.0,,,,,,,,,,,,,,,,,,
,12000,,,,,,,,96,28,-0.3956401,16,123,0,2.2765615833333332,0,-7.531520609102885e-14,4.166919110682456,-0.5881423791622137,1,0.0003,12,2.3,1000.0,,
,16000,,,,,,,,125,49,-0.3934983,22,127,0,2.3478560625,0,-1.0805117976464986e-13,4.286298060790396,-1.1949452467654778,2,0.0003,16,2.3,1000.0,,
,20000,,,,,,,,159,76,-0.36288851,27,125,0,2.0877728,0,-3.6160586158601964e-14,3.312417574911413,-0.41349500552082036,3,0.0003,20,2.1,1000.0,,
2.5355222,20001,-0.5137282580440774,-0.77648836,13.121323411107124,23,10.362509181818181,10.7,1000.0,,,,,,,,,,,,,,,,,,
,24000,,,,,,,,222,109,-0.40803516,32,107,0,1.7649182916666666,0,5.025527008863086e-13,3.8519472682526974,0.0006865352369277389,3,0.0003,24,1.8,1000.0,,
,28000,,,,,,,,354,148,20.869055,38,78,6200,5.35428975,83,1.9931444074952756e-12,18.74599588527705,18.742243622417,6,0.0003,28,5.4,1000.0,0.24612644,4.3484974
23.417528,30001,23.417527940334768,24.235899,15.947930995995002,23,23.972158454545454,13.8,1000.0,,,,,,,,,,,,,,,,,,
,32000,,,,,,,,537,193,27.220934,44,59,14200,8.94901478125,188,2.1270123131238476e-12,23.960774359379613,23.960774359379613,9,0.0003,32,8.9,1000.0,0.0481309,3.142683
,36000,,,,,,,,703,244,21.244637,50,51,22200,11.711905999999999,293,2.098748796113207e-12,20.12119931446198,20.12119931446198,13,0.0003,36,11.7,1000.0,0.028283631,2.3006454
,40000,,,,,,,,875,301,15.447343,56,45,30200,13.832335899999999,398,2.1091296537286286e-12,14.532572131614769,14.532572131614769,16,0.0003,40,13.8,1000.0,0.02073071,2.0502021
18.499748,40001,18.499748004717684,19.468082,25.51925435655427,22,34.947402454545454,18.0,1000.0,,,,,,,,,,,,,,,,,,
,44000,,,,,,,,1076,363,13.610769,62,40,38200,15.68349659090909,503,2.1245490623118137e-12,12.955129136454522,12.955129136454522,20,0.0003,44,15.7,1000.0,0.014766712,1.5061598
,48000,,,,,,,,1260,432,11.687265,68,38,46200,17.858813291666667,607,2.3894809702186903e-12,9.84260001556109,9.84260001556109,23,0.0003,48,17.9,1000.0,0.016375832,1.7063782
15.3190975,50001,15.315343098315152,16.998674,25.2644149725057,23,41.845060363636364,21.8,1000.0,,,,,,,,,,,,,,,,,,
,52000,,,,,,,,1472,506,18.405724,74,35,54200,19.552909307692307,712,2.1223145998016296e-12,17.25438188339193,17.25438188339193,27,0.0003,52,19.6,1000.0,0.018481871,1.8630557
,56000,,,,,,,,1668,587,19.56423,79,33,62200,20.133063910714288,817,1.879314934744384e-12,20.993625349747326,20.993625349747326,30,0.0003,56,20.1,1000.0,0.016150141,1.6351085
,60000,,,,,,,,1870,673,12.782924,85,32,70200,21.32184253333333,922,2.249803163640421e-12,11.089451957345712,11.089451957345712,34,0.0003,60,21.3,1000.0,0.014442147,1.5447834
10.55183,60001,10.551829087747569,12.3475685,27.884422132169508,22,45.56297572727273,25.2,1000.0,,,,,,,,,,,,,,,,,,
,64000,,,,,,,,2101,766,4.471899,91,30,78200,23.013864640625002,1027,2.3559720464177074e-12,2.038869727516806,2.01744583776104,37,0.0003,64,23.0,1000.0,0.0150817875,1.5305591
,68000,,,,,,,,2315,864,7.0358577,97,29,86200,24.376473867647057,1132,2.4192062696552593e-12,4.870427506081711,4.81462317613367,41,0.0003,68,24.4,1000.0,0.015840983,1.5575533
3.6251335,70001,3.535770604737311,6.2565465,28.840756932745272,22,55.76010709090909,29.1,1000.0,,,,,,,,,,,,,,,,,,
,72000,,,,,,,,2557,968,7.5064707,103,28,94200,26.532632694444445,1237,2.155616917556073e-12,5.977558351707261,5.977558351707261,44,0.0003,72,26.5,1000.0,0.015518422,1.4338843
,76000,,,,,,,,2783,1078,7.687742,109,27,102200,28.43976789473685,1342,2.3317235466001198e-12,2.6545441934913323,2.6534120483219863,48,0.0003,76,28.4,1000.0,0.016013969,1.6268833
,80000,,,,,,,,3014,1194,8.584924,114,26,110200,30.494930375000003,1447,2.545147724741605e-12,0.8432553681481154,0.786426287190748,51,0.0003,80,30.5,1000.0,0.017157331,1.5421182
2.159735,80001,2.072323318587576,10.380723,29.937567136341205,22,112.72219254545456,37.7,1000.0,,,,,,,,,,,,,,,,,,
,84000,,,,,,,,3274,1316,9.835172,120,25,118200,34.48909235714285,1552,2.501368769744827e-12,0.9952806054830935,0.8843758669602985,54,0.0003,84,34.5,1000.0,0.017770642,1.5682286
,88000,,,,,,,,3517,1444,9.078891,126,25,126200,37.93016639772728,1657,2.4877870704971064e-12,1.33880213731909,0.5329632401273765,58,0.0003,88,37.9,1000.0,0.020910075,1.8902153
1.3289784,90001,0.3657259116866472,10.367039,31.619108045364737,22,131.31604254545456,50.3,1000.0,,,,,,,,,,,,,,,,,,
,92000,,,,,,,,3789,1578,11.103282,132,24,134200,41.71763091304348,1762,2.4830702109628674e-12,1.4733843126304593,1.3619770248847423,61,0.0003,92,41.7,1000.0,0.015889779,1.4595686
,96000,,,,,,,,4044,1718,11.313137,138,23,142200,45.36065690625001,1867,2.267920242228066e-12,1.0136306630292016,0.9602265437992596,65,0.0003,96,45.4,1000.0,0.01344077,1.2247366
,100000,,,,,,,,4306,1864,10.812039,144,23,150200,48.79555075000001,1972,2.4275648721615328e-12,1.068179923096886,1.0499690949880978,68,0.0003,100,48.8,1000.0,0.01268887,1.1741258
1.3996059,100001,0.8869983460870556,11.356268,32.536650696644486,22,136.90397727272727,64.1,1000.0,,,,,,,,,,,,,,,,,,
,104000,,,,,,,,4592,2012,11.717076,149,22,158200,54.180581390000015,2077,2.4708223753957263e-12,1.1000439011200596,1.0718709936966833,72,0.0003,104,54.2,1000.0,0.012241364,1.2454326
,108000,,,,,,,,4855,2160,11.351693,155,22,166200,59.54555856000001,2182,2.560132979173235e-12,0.9718372824984002,0.932995509618873,75,0.0003,108,59.5,1000.0,0.010285385,0.9957393
2.024752,110001,1.7858325247615168,11.132858,32.19860809273051,22,125.346877,76.8,1000.0,,,,,,,,,,,,,,,,,,
,112000,,,,,,,,5141,2308,11.433331,161,21,174200,64.67249778,2287,2.630717028319679e-12,1.0319331316815776,0.9061122002641896,79,0.0003,112,64.7,1000.0,0.010340916,1.2042918
,116000,,,,,,,,5405,2456,11.4372425,167,21,182200,69.96780179999999,2392,2.5545382162328104e-12,1.030092600357007,1.0217228984415183,82,0.0003,116,70.0,1000.0,0.01084842,1.2832167
,120000,,,,,,,,5669,2604,11.225256,173,21,190200,75.3219613,2497,2.615511402476513e-12,1.3573788553037462,1.3219717422614832,85,0.0003,120,75.3,1000.0,0.008010761,1.0863403
1.0804505,120001,0.5417728278544577,11.005338,32.53188231384228,22,136.84221318181818,89.4,1000.0,,,,,,,,,,,,,,,,,,
,124000,,,,,,,,5955,2752,11.364996,179,20,198200,80.76769363,2602,2.6801521322689143e-12,0.93468507228129,0.9077283679954979,89,0.0003,124,80.8,1000.0,0.008984777,1.1443415
,128000,,,,,,,,6219,2901,11.594621,185,20,206200,85.29177106000002,2707,2.6773722395838376e-12,0.9326181139976694,0.8311340357150876,92,0.0003,128,85.3,1000.0,0.007120979,1.0336785
1.2348653,130001,0.7035900799758289,11.454168,32.64749045802182,22,139.82679618181817,101.2,1000.0,,,,,,,,,,,,,,,,,,
