#{"t_start": 1651792983.93687, "env_id": "Swimmer-v3"}
r,l,t
-3.770675,1000,29.721733
-6.384803,1000,32.245955
35.125576,1000,35.094593
6.994805,1000,38.208761
-16.841928,1000,41.785622
-6.441331,1000,45.739515
-4.423665,1000,50.227377
3.047443,1000,54.918593
0.700825,1000,59.989739
8.612324,1000,65.33171
-8.713203,1000,94.381551
6.679109,1000,100.47359
-8.144007,1000,107.055959
-3.215537,1000,113.987378
3.376658,1000,121.24882
3.552362,1000,128.976938
0.438594,1000,137.113687
9.224737,1000,145.502279
11.905555,1000,154.34342
-15.581118,1000,163.513047
-8.726208,1000,195.917116
3.303426,1000,205.818193
-6.429564,1000,216.283665
-9.211006,1000,227.061636
10.325202,1000,237.899157
21.214511,1000,278.447111
31.301418,1000,317.147265
2.223452,1000,356.44676
14.903954,1000,396.190138
38.407305,1000,436.002992
29.663545,1000,499.291836
21.968081,1000,539.745173
46.733882,1000,580.81434
27.971731,1000,622.274721
27.677902,1000,664.051095
33.774472,1000,706.512973
36.408928,1000,748.963596
34.68851,1000,791.407932
45.350891,1000,834.729635
27.532305,1000,878.363661
28.481254,1000,945.563744
34.8068,1000,989.781224
42.353259,1000,1034.524085
33.048785,1000,1079.664378
30.890913,1000,1125.008379
46.282448,1000,1170.679721
38.634403,1000,1216.891374
46.776277,1000,1263.507171
33.244172,1000,1310.494161
45.886185,1000,1357.920876
43.372507,1000,1428.864567
37.342107,1000,1477.187187
46.359736,1000,1525.483681
44.332562,1000,1574.515647
44.2249,1000,1623.568441
41.195791,1000,1673.132716
40.46397,1000,1723.376422
39.271399,1000,1773.642493
39.958159,1000,1824.316504
42.982351,1000,1875.503067
40.72328,1000,1950.049169
32.639547,1000,2002.00474
37.965501,1000,2054.452754
38.846448,1000,2106.997292
44.548991,1000,2160.095551
49.533915,1000,2213.441041
43.440228,1000,2266.953889
44.347957,1000,2320.897232
39.56247,1000,2375.120637
43.652054,1000,2429.90873
43.447341,1000,2508.288555
50.915766,1000,2563.888785
56.001239,1000,2619.968418
48.419133,1000,2676.526143
61.381499,1000,2733.202759
58.781242,1000,2790.181746
60.568087,1000,2847.876633
59.585476,1000,2905.477529
64.787786,1000,2963.220472
63.306943,1000,3021.773334
59.024181,1000,3103.505967
38.551651,1000,3162.987126
55.638992,1000,3222.788756
60.630349,1000,3282.873881
84.472119,1000,3343.805174
87.787506,1000,3404.656523
113.775719,1000,3465.310056
135.082216,1000,3526.669307
153.572091,1000,3588.405116
143.908054,1000,3650.841005
145.110879,1000,3736.631036
148.449085,1000,3799.67439
146.212503,1000,3863.158932
135.214969,1000,3926.628199
122.58284,1000,3990.990021
138.967845,1000,4055.625013
116.47613,1000,4120.526551
133.03024,1000,4185.73055
138.485836,1000,4251.778055
140.832079,1000,4317.769386
149.523738,1000,4406.661842
128.660286,1000,4472.887211
142.464739,1000,4539.4458
149.677637,1000,4605.609899
151.714881,1000,4671.892982
150.109829,1000,4738.308325
134.104107,1000,4804.46686
141.513218,1000,4870.556668
139.582043,1000,4937.320719
148.065091,1000,5003.409059
150.586349,1000,5092.556206
147.511819,1000,5158.59914
154.044192,1000,5225.075982
142.782714,1000,5291.337583
144.369605,1000,5357.655145
159.331362,1000,5424.269137
149.027768,1000,5490.766489
155.2372,1000,5557.013703
157.72032,1000,5623.420581
149.602719,1000,5689.878891
156.57393,1000,5778.976561
157.60045,1000,5845.44411
162.075166,1000,5911.944675
154.641465,1000,5978.631103
160.304561,1000,6044.820581
152.771782,1000,6111.58472
150.941658,1000,6177.639144
157.670058,1000,6244.112025
160.28476,1000,6310.513445
138.660158,1000,6376.903589
154.796965,1000,6465.901237
156.840257,1000,6532.506478
141.455716,1000,6598.550575
153.061857,1000,6665.203691
159.486955,1000,6731.875208
159.563622,1000,6798.082711
142.224474,1000,6864.482705
158.354293,1000,6931.06786
158.391079,1000,6997.533378
155.326303,1000,7063.862871
157.864293,1000,7152.643754
159.470999,1000,7218.940214
160.562507,1000,7285.417533
