eval_time_elapsed,eval_qs,eval_qs_difference,eval_ep_rewmean,eval_abs_qs_difference,eval_discount_q,total timesteps,eval_eplenmean,eval mean 100 episode reward,qs_abs_difference,eplenmean,fps,n_updates,episodes,current_lr,qs_difference,train_time,act_time,env_time,qs_mean,mean 100 episode reward,discount_q,time_elapsed,ep_rewmean,update_time,q_grad_norm,qfs_loss
23,-0.78880805,-3.8002631634556736,31.454086454545457,8.572509,1.353065955253669,1,1000.0,30.9,,,,,,,,,,,,,,,,,,
,,,,,,4000,,,4.378235618198793,1000.0,117,0,4,0.0003,0.20033680679237567,0,0,5,-0.029372413,8.0,7.551843362416383e-13,34,7.99122575,3,,
,,,,,,8000,,,3.1770760571457104,1000.0,156,0,8,0.0003,-0.997332359708672,0,1,11,-0.12588915,0.9,-4.605756385257351e-13,50,0.91317775,13,,
23,-0.7712093,-4.017205879225509,34.537873272727275,8.432313,2.0988957485439963,10001,1000.0,33.2,,,,,,,,,,,,,,,,,,
,,,,,,12000,,,3.2964665491660146,1000.0,124,0,12,0.0003,-0.9097081130067008,0,1,16,-0.14522958,1.2,-7.848381494258218e-14,96,1.2153730833333334,28,,
,,,,,,16000,,,4.064161040312352,1000.0,127,0,16,0.0003,-0.3235834330749179,0,2,22,-0.10766485,0.6,1.1322822065602086e-13,125,0.6346220624999999,50,,
,,,,,,20000,,,2.875157953240708,1000.0,124,0,20,0.0003,1.0201434802275227,0,3,28,-0.3151422,0.8,-1.8109845279506345e-13,160,0.8070860499999999,77,,
22,-0.7681361,-3.995979934256806,35.48791263636363,8.715565,3.2418934673482367,20001,1000.0,33.7,,,,,,,,,,,,,,,,,,
,,,,,,24000,,,4.907963511205977,1000.0,107,0,24,0.0003,0.6967222109548813,0,3,33,-0.11030963,-0.2,-9.270757986337339e-14,223,-0.20506795833333324,110,,
,,,,,,28000,,,25.42085023580455,1000.0,78,6200,28,0.0003,25.42085023580455,83,6,39,25.079866,2.1,4.578361884491303e-13,355,2.1479625714285717,150,4.7759724,0.20988238
23,25.229456,24.648278714035936,26.507238909090912,24.648277,20.904502829951845,30001,1000.0,32.1,,,,,,,,,,,,,,,,,,
,,,,,,32000,,,27.388284349682543,1000.0,59,14200,32,0.0003,27.388284349682543,187,10,45,27.349741,5.2,1.8167481379071722e-12,539,5.158932406250001,195,4.072837,0.055200335
,,,,,,36000,,,23.59275450725486,1000.0,50,22200,36,0.0003,23.59275450725486,292,13,51,24.641668,8.4,1.8924795932123847e-12,706,8.367884,247,3.084916,0.039105415
,,,,,,40000,,,28.569467314801884,1000.0,45,30200,40,0.0003,28.569467314801884,396,16,57,28.979347,11.1,1.9045206279495286e-12,878,11.13061145,304,2.5008368,0.02670112
23,23.003166,21.491318219940986,41.06535854545455,21.49132,26.20898944250934,40001,1000.0,33.6,,,,,,,,,,,,,,,,,,
,,,,,,44000,,,21.514913925399465,1000.0,40,38200,44,0.0003,21.514913925399465,501,20,63,22.245708,13.3,2.0920465814593664e-12,1079,13.270785363636362,368,2.1302578,0.022155311
,,,,,,48000,,,18.0522231565892,1000.0,37,46200,48,0.0003,18.0522231565892,605,23,69,20.223125,15.6,2.037304169282636e-12,1263,15.552054104166666,437,1.7422538,0.0154058505
23,15.842503,13.671000785938302,48.343520363636365,13.671001,26.897474301891,50001,1000.0,36.0,,,,,,,,,,,,,,,,,,
,,,,,,52000,,,13.53487196357573,1000.0,35,54200,52,0.0003,13.53487196357573,710,27,75,14.770371,17.4,2.0307884452729605e-12,1477,17.429684,513,1.3214328,0.010423453
,,,,,,56000,,,9.333658224130227,1000.0,33,62200,56,0.0003,9.333658224130227,814,30,81,10.753624,19.3,2.1940683776259842e-12,1673,19.329581375,594,1.7520995,0.013516431
,,,,,,60000,,,6.730845455789909,1000.0,31,70200,60,0.0003,6.730845455789909,919,34,87,8.237295,20.8,2.2689801725605636e-12,1876,20.75220726666667,681,1.0504886,0.00926426
22,7.907643,6.552555410014258,41.406677090909085,6.5525556,28.13717129624821,60001,1000.0,36.9,,,,,,,,,,,,,,,,,,
,,,,,,64000,,,6.661266760070621,1000.0,30,78200,64,0.0003,6.661266760070621,1023,37,93,7.835607,21.8,2.2027575257213455e-12,2107,21.801675187500003,774,1.2833664,0.010224232
,,,,,,68000,,,3.818029139754143,1000.0,29,86200,68,0.0003,3.818029139754143,1128,40,99,5.3299003,23.2,2.3755610198117223e-12,2321,23.193798573529413,874,1.0858021,0.009213406
23,4.4405,2.670885627930637,46.32480409090909,2.7194788,28.91783927078118,70001,1000.0,38.1,,,,,,,,,,,,,,,,,,
,,,,,,72000,,,2.179084513190263,1000.0,28,94200,72,0.0003,2.13879128143876,1232,44,105,4.332066,24.4,2.3555494824645704e-12,2564,24.371610194444443,979,1.2416333,0.010710474
,,,,,,76000,,,1.6362208903847109,1000.0,27,102200,76,0.0003,1.6357780589786695,1337,47,110,4.694057,26.0,2.2917849106140413e-12,2791,26.04393482894737,1091,1.4165121,0.01211736
,,,,,,80000,,,2.3355131320725713,1000.0,26,110200,80,0.0003,2.335483432435836,1441,51,116,5.9296865,27.8,2.2240402731689344e-12,3023,27.844841737499998,1207,1.5820056,0.017857831
22,9.222587,6.800366701184268,51.82467645454546,6.8003664,27.88128220401973,80001,1000.0,39.5,,,,,,,,,,,,,,,,,,
,,,,,,84000,,,6.809061055335047,1000.0,25,118200,84,0.0003,6.809061055335047,1546,54,122,9.9410715,29.1,2.382144210362836e-12,3284,29.06467276190476,1331,2.0657625,0.023135608
