eval_eplenmean,eval_ep_rewmean,eval_discount_q,eval_abs_qs_difference,total timesteps,eval_time_elapsed,eval_qs,eval mean 100 episode reward,eval_qs_difference,current_lr,act_time,time_elapsed,qs_difference,qs_abs_difference,eplenmean,mean 100 episode reward,qs_mean,fps,episodes,discount_q,train_time,ep_rewmean,n_updates,env_time,update_time,q_grad_norm,qfs_loss
1000.0,-18.866712818181814,1.3459908347230696,1.4802887,1,23,-0.7159974,-19.4,1.303926974568115,,,,,,,,,,,,,,,,,,
,,,,4000,,,,,0.0003,0,34,1.430840621735807,4.698066935612604,1000.0,1.6,0.4614588,115,4,7.213776367056123e-14,0,1.5686385000000005,0,5,3,,
,,,,8000,,,,,0.0003,1,51,0.2604410923429504,3.4911170272611765,1000.0,-0.2,0.33508754,156,8,-2.249894052457642e-13,0,-0.15226687499999958,0,11,12,,
1000.0,-18.53018690909091,1.4502966436108993,1.4726847,10001,23,-0.71723014,-18.8,1.279367914423689,,,,,,,,,,,,,,,,,,
,,,,12000,,,,,0.0003,1,96,0.9768959678937359,4.434860024018764,1000.0,-0.9,0.19493653,124,12,3.183186445857377e-13,0,-0.8627992499999997,0,17,28,,
,,,,16000,,,,,0.0003,2,125,0.2381264464109105,4.225614306091506,1000.0,-0.2,0.27061102,127,16,-1.456879592871135e-13,0,-0.239173125,0,22,49,,
,,,,20000,,,,,0.0003,3,159,0.8653262715233664,3.371132013371458,1000.0,0.1,0.34227097,125,20,-3.3326554862325845e-13,0,0.08155125000000005,0,27,76,,
1000.0,-16.97086027272727,2.2432368270886225,1.4281176,20001,23,-0.71943265,-18.2,1.1997338359814806,,,,,,,,,,,,,,,,,,
,,,,24000,,,,,0.0003,3,222,0.5331022768116954,3.6982094079744536,1000.0,-0.3,0.37979683,107,24,8.291937220243393e-14,0,-0.30601391666666683,0,33,109,,
,,,,28000,,,,,0.0003,6,354,26.857405021352715,26.85749667435961,1000.0,2.4,26.863523,79,28,1.856764214186521e-12,82,2.4317415714285713,6200,39,148,4.016021,0.30672985
1000.0,23.65448245454546,14.87247436316221,31.710236,30001,23,32.603306,-8.3,31.71023565514897,,,,,,,,,,,,,,,,,,
,,,,32000,,,,,0.0003,10,536,27.041188285455988,27.041188285455988,1000.0,5.9,28.72853,59,32,2.2909472434557405e-12,187,5.91697821875,14200,45,193,2.3337028,0.03322765
,,,,36000,,,,,0.0003,13,702,24.128410556119405,24.128410556119405,1000.0,9.6,25.620214,51,36,2.117255199905043e-12,292,9.560039555555555,22200,51,243,2.25146,0.0243585
,,,,40000,,,,,0.0003,16,873,26.092614807964143,26.092614807964143,1000.0,11.2,26.685482,45,40,1.7579873879691168e-12,396,11.198943175,30200,57,299,2.0757167,0.020833464
1000.0,31.889577909090907,22.543555983717,24.469316,40001,22,25.42646,-0.4,24.46931486732374,,,,,,,,,,,,,,,,,,
,,,,44000,,,,,0.0003,20,1073,19.282147805285692,19.282147805285692,1000.0,13.1,19.997746,40,44,1.927881638829659e-12,501,13.125903136363634,38200,63,361,2.1343787,0.023157138
,,,,48000,,,,,0.0003,23,1256,17.632918742224064,17.632918742224064,1000.0,14.7,17.03982,38,48,2.0055205419435113e-12,605,14.705631375000001,46200,68,429,1.5714318,0.016820198
1000.0,39.487882,25.528550344408657,14.24609,50001,23,15.66755,6.3,14.246089237036363,,,,,,,,,,,,,,,,,,
,,,,52000,,,,,0.0003,27,1468,11.630121551015245,11.630121551015245,1000.0,16.5,14.032967,35,52,2.2156422267425457e-12,710,16.548735942307694,54200,74,503,1.487509,0.013912444
,,,,56000,,,,,0.0003,30,1663,7.600645493845121,7.600645493845121,1000.0,18.0,9.4694,33,56,2.428067472750545e-12,815,17.95138867857143,62200,80,583,1.5303885,0.015415755
,,,,60000,,,,,0.0003,34,1864,10.068833287567026,10.068833287567026,1000.0,19.7,11.451185,32,60,2.2540364207703476e-12,919,19.740381266666667,70200,86,669,1.3965459,0.013407604
1000.0,48.399311454545455,28.56201396667461,6.8451614,60001,23,8.855739,12.2,6.843446525001587,,,,,,,,,,,,,,,,,,
