eval_qs,eval_ep_rewmean,total timesteps,eval_eplenmean,eval_abs_qs_difference,eval mean 100 episode reward,eval_qs_difference,eval_time_elapsed,eval_discount_q,time_elapsed,qs_mean,ep_rewmean,env_time,episodes,current_lr,fps,act_time,eplenmean,qs_difference,qs_abs_difference,n_updates,train_time,update_time,discount_q,mean 100 episode reward,qfs_loss,q_grad_norm
-0.5924604,-26.06050127272727,1,1000.0,1.0568025,-26.3,0.8025699756367682,23,-12.232522310111621,,,,,,,,,,,,,,,,,,
,,4000,,,,,,,34,0.169858,-2.71556275,5,4,0.0003,116,0,1000.0,-0.7583394849501534,3.739607561315102,0,0,3,-2.9578577602961197e-14,-2.7,,
,,8000,,,,,,,50,0.12407866,-5.3757220000000006,11,8,0.0003,156,1,1000.0,-0.5089416447798346,3.463859276985034,0,0,12,-1.4491449327386126e-13,-5.4,,
-0.5914398,-24.443579636363634,10001,1000.0,0.9927151,-25.3,0.6894375384846202,23,-11.752329883052537,,,,,,,,,,,,,,,,,,
,,12000,,,,,,,96,0.1743307,-3.093849083333333,16,12,0.0003,124,1,1000.0,1.1828382393268553,5.075676008590648,0,0,28,3.2457097987693416e-13,-3.1,,
,,16000,,,,,,,125,0.11661733,-2.7039651875,22,16,0.0003,127,2,1000.0,1.228775819790391,5.783539707356142,0,0,49,-2.1159731863006969e-13,-2.7,,
,,20000,,,,,,,159,0.15118538,-2.0810335500000003,27,20,0.0003,125,3,1000.0,0.6454362751501751,4.733911316881481,0,0,77,-2.541673972927699e-13,-2.1,,
-0.5879938,-24.812118181818178,20001,1000.0,1.0238891,-25.1,0.6846104430716123,22,-12.208157284932492,,,,,,,,,,,,,,,,,,
,,24000,,,,,,,222,0.016133659,-2.1179085,33,24,0.0003,107,3,1000.0,-1.1893166459972504,4.363205959109798,0,0,110,-8.700059239421992e-14,-2.1,,
,,28000,,,,,,,354,21.11405,1.0711247857142856,39,28,0.0003,78,6,1000.0,20.09135347901263,20.099318143753912,6200,83,149,1.8862963941545966e-12,1.1,0.25848076,5.9719157
20.541853,36.958180272727276,30001,1000.0,19.229183,-10.6,19.22918420657845,22,24.072185337711115,,,,,,,,,,,,,,,,,,
,,32000,,,,,,,537,24.809898,5.187080999999999,45,32,0.0003,59,10,1000.0,23.79063090094208,23.79063090094208,14200,187,194,1.7866879197545167e-12,5.2,0.04676591,3.1527448
,,36000,,,,,,,703,21.287285,8.306195472222221,50,36,0.0003,51,13,1000.0,19.95912924518549,19.95912924518549,22200,292,245,2.020208701930182e-12,8.3,0.028035775,2.6244173
,,40000,,,,,,,875,27.8624,10.17574745,56,40,0.0003,45,16,1000.0,27.55193057523239,27.55193057523239,30200,397,301,1.490113610024005e-12,10.2,0.022713684,2.2619815
26.092985,25.74851345454545,40001,1000.0,25.446777,-3.1,25.44677662576088,22,19.481230096730773,,,,,,,,,,,,,,,,,,
,,44000,,,,,,,1075,18.423485,12.337423909090909,62,44,0.0003,40,20,1000.0,17.617164529228305,17.617164529228305,38200,501,363,2.0104858854576946e-12,12.3,0.017726457,1.9348686
,,48000,,,,,,,1259,16.050297,13.820836,68,48,0.0003,38,23,1000.0,15.075793390351452,15.075793390351452,46200,606,432,2.1368698933100547e-12,13.8,0.014671118,1.6778995
14.304679,26.187107,50001,1000.0,14.294132,1.9,14.294132427319779,22,26.34508762354634,,,,,,,,,,,,,,,,,,
,,52000,,,,,,,1471,16.294056,15.273548980769231,74,52,0.0003,35,27,1000.0,14.996919305018201,14.996919305018201,54200,711,506,1.8672444926917185e-12,15.3,0.012249696,1.5277057
,,56000,,,,,,,1666,8.831582,16.999983982142858,80,56,0.0003,33,30,1000.0,7.356841950201159,7.356841950201159,62200,815,586,1.9641417330917945e-12,17.0,0.010851529,1.410346
,,60000,,,,,,,1867,9.070176,18.410780266666666,86,60,0.0003,32,33,1000.0,7.8764388490274415,7.876489988299643,70200,920,672,2.200760455254164e-12,18.4,0.0117737735,1.4208324
6.7674236,44.91470309090909,60001,1000.0,5.240173,7.9,5.155862347864557,22,29.08999217054977,,,,,,,,,,,,,,,,,,
,,64000,,,,,,,2097,5.6572413,20.29432903125,92,64,0.0003,30,37,1000.0,3.5345457860112566,3.5436175757334234,78200,1025,765,2.3146847300375177e-12,20.3,0.01150637,1.2628747
,,68000,,,,,,,2310,4.707635,21.94501519117647,98,68,0.0003,29,40,1000.0,2.6840112821183695,2.6840112821183695,86200,1129,863,2.3560321345824775e-12,21.9,0.010882348,1.4358875
3.8331444,46.29253527272727,70001,1000.0,2.1325424,12.7,2.0753209042860727,22,29.004347042808092,,,,,,,,,,,,,,,,,,
,,72000,,,,,,,2553,2.9149644,23.33128276388889,103,72,0.0003,28,44,1000.0,1.2435518793681384,1.3557713973249657,94200,1234,968,2.53163452827651e-12,23.3,0.010371948,1.4467533
,,76000,,,,,,,2786,4.5867276,24.43206214473684,109,76,0.0003,27,47,1000.0,2.3293660961598843,2.3293660961598843,102200,1341,1084,2.2478315806036214e-12,24.4,0.015468244,1.8342226
,,80000,,,,,,,3040,10.053059,25.629090662499998,115,80,0.0003,26,51,1000.0,8.922024336160437,8.922024336160437,110200,1450,1218,2.3009066200552967e-12,25.6,0.016773006,1.7048284
10.769706,44.16204172727273,80001,1000.0,9.137111,16.3,9.120024163764677,25,27.94466434814943,,,,,,,,,,,,,,,,,,
,,84000,,,,,,,3329,3.8512528,26.753747416666663,122,84,0.0003,25,54,1000.0,2.3306174386145195,2.3360274429099017,118200,1559,1360,2.364690125136929e-12,26.8,0.012320405,1.5328733
,,88000,,,,,,,3600,3.5876625,28.011212624999995,128,88,0.0003,24,58,1000.0,1.1658888307726996,1.1660894162055493,126200,1669,1510,2.3356512442553025e-12,28.0,0.011572169,1.2638816
3.2676766,59.93682781818182,90001,1000.0,0.38010722,24.7,0.19212539358981576,25,29.476077620876605,,,,,,,,,,,,,,,,,,
,,92000,,,,,,,3903,3.3455467,29.058350576086948,135,92,0.0003,23,62,1000.0,0.7602575540577463,0.8713457045416355,134200,1779,1667,2.1990583126968104e-12,29.1,0.011803465,1.3025928
,,96000,,,,,,,4188,3.3449438,29.9969500625,141,96,0.0003,22,66,1000.0,0.4879936822442597,0.6562607177999742,142200,1887,1832,2.1892901929404246e-12,30.0,0.01099107,1.3035207
