eval_ep_rewmean,eval_qs_difference,eval_qs,total timesteps,eval mean 100 episode reward,eval_discount_q,eval_eplenmean,eval_abs_qs_difference,eval_time_elapsed,n_updates,qs_difference,qs_mean,mean 100 episode reward,qs_abs_difference,time_elapsed,act_time,train_time,eplenmean,episodes,env_time,update_time,discount_q,ep_rewmean,fps,current_lr,qfs_loss,q_grad_norm
-14.695136272727273,-0.3760491103419144,-1.0625325,1,-14.8,-7.909395633902732,1000.0,1.1524571,26,,,,,,,,,,,,,,,,,,
,,,4000,,,,,,0,-0.6349031065736866,0.14853474,3.1,4.577511041268166,39,0,0,1000.0,4,6,3,1.6505675111611004e-13,3.081437,102,0.0003,,
,,,8000,,,,,,0,0.16128135941762708,0.27475354,0.2,4.975864997768653,58,1,0,1000.0,8,12,15,5.132174280752923e-13,0.23342350000000023,137,0.0003,,
-15.75244072727273,-0.21428341126412578,-1.080831,10001,-15.3,-7.158550853784391,1000.0,1.1242518,26,,,,,,,,,,,,,,,,,,
,,,12000,,,,,,0,0.09050132116909367,0.16365631,0.8,2.8108969932671224,110,2,0,1000.0,12,18,33,2.0377504644341327e-13,0.8479666666666669,108,0.0003,,
,,,16000,,,,,,0,-1.5353713876091661,0.11534296,4.5,3.293552763051308,144,2,0,1000.0,16,24,59,1.3387346951507163e-13,4.450279375,110,0.0003,,
,,,20000,,,,,,0,-0.08861364805638593,0.07035206,3.8,3.027068659582543,185,3,0,1000.0,20,31,92,-2.636746316515913e-13,3.78079135,107,0.0003,,
-16.157655,-0.2356082884715338,-1.064616,20001,-15.6,-7.947049025483502,1000.0,1.1798916,25,,,,,,,,,,,,,,,,,,
,,,24000,,,,,,0,0.47282813577585264,0.14026937,2.1,2.4532796225069498,259,4,0,1000.0,24,37,131,2.1791886193359173e-13,2.0876412083333338,92,0.0003,,
,,,28000,,,,,,6200,22.26377627371907,22.80742,4.0,22.26377627371907,397,7,78,1000.0,28,43,179,1.8135945123317694e-12,4.019651821428572,70,0.0003,0.26786098,5.267885
24.845978545454546,25.058811550681718,25.284681,30001,-6.1,22.815431760673793,1000.0,25.058813,25,,,,,,,,,,,,,,,,,,
,,,32000,,,,,,14200,25.327005399299452,25.075266,7.0,25.327005399299452,587,11,177,1000.0,32,49,234,1.8213391301994694e-12,6.95431040625,54,0.0003,0.048309393,3.4310553
,,,36000,,,,,,22200,17.561442526390092,19.190744,10.0,17.561442526390092,758,15,275,1000.0,36,56,296,2.0083086134468673e-12,9.960742972222224,47,0.0003,0.027915632,2.2382658
,,,40000,,,,,,30200,20.918111145897996,22.93964,12.8,20.918111145897996,933,18,372,1000.0,40,62,364,1.7949508198383116e-12,12.819621675000002,42,0.0003,0.0217617,1.7915996
34.74882563636363,16.487548085183377,17.512506,40001,2.0,24.746706823914337,1000.0,16.487549,25,,,,,,,,,,,,,,,,,,
,,,44000,,,,,,38200,13.209638316700653,14.70406,15.5,13.209638316700653,1147,22,475,1000.0,44,68,438,2.1700045299483116e-12,15.494869181818183,38,0.0003,0.019143103,1.8225478
,,,48000,,,,,,46200,9.736271669889707,11.610306,18.0,9.736271669889707,1347,26,585,1000.0,48,75,516,2.3147742830141643e-12,18.018972291666667,35,0.0003,0.013917472,1.3472605
46.839874818181826,9.595869940938256,11.435788,50001,9.4,28.727965390798417,1000.0,9.596861,25,,,,,,,,,,,,,,,,,,
,,,52000,,,,,,54200,8.13979263036021,9.205154,18.8,8.13979263036021,1580,30,695,1000.0,52,81,602,2.5980841178535514e-12,18.8448445,32,0.0003,0.035284445,1.806047
