eval_abs_qs_difference,total timesteps,eval_time_elapsed,eval_ep_rewmean,eval mean 100 episode reward,eval_discount_q,eval_qs_difference,eval_qs,eval_eplenmean,qs_abs_difference,ep_rewmean,update_time,discount_q,n_updates,eplenmean,qs_difference,act_time,train_time,current_lr,fps,time_elapsed,mean 100 episode reward,qs_mean,episodes,env_time,qfs_loss,q_grad_norm
2.8214033,1,0,-3.401391,-3.4,-3.263421528728429,2.821403324893157,-0.021994444,6.0,,,,,,,,,,,,,,,,,,
,89,,,,,,,,3.7345883644436912,3.0181507499999998,0,2.099355563958457,0,22.25,3.3939130486256706,0,0,0.0003,114,0,3.0,0.7045494,4,0,,
,164,,,,,,,,3.4764502500531513,1.998568125,0,-1.2307181266241831,0,20.5,3.4764502500531513,0,0,0.0003,143,1,2.0,0.93507606,8,0,,
,228,,,,,,,,1.7134555592917524,1.6699088333333336,0,3.0578337849847395,0,19.0,0.763773556428836,0,0,0.0003,181,1,1.7,0.92490584,12,0,,
,330,,,,,,,,0.8008128498142415,1.362556,0,1.6324194757772987,0,20.625,-0.3019771182943152,0,0,0.0003,231,1,1.4,0.7603477,16,0,,
,404,,,,,,,,5.53960746741142,1.7914974999999997,0,8.639389968111683,0,20.2,-5.396708039940242,0,0,0.0003,258,1,1.8,0.97108847,20,0,,
,460,,,,,,,,3.0487437961463417,1.7053551666666669,0,-1.0398286906489882,0,19.166666666666668,3.0487437961463417,0,0,0.0003,281,1,1.7,1.1404185,24,0,,
,515,,,,,,,,3.5297209943596806,1.3729071071428574,0,-1.5521960281934357,0,18.392857142857142,3.5297209943596806,0,0,0.0003,292,1,1.4,1.0549184,28,0,,
,577,,,,,,,,0.6330486434156121,1.1767830625,0,1.6409981944717065,0,18.03125,-0.008507860603980547,0,0,0.0003,314,1,1.2,1.0363605,32,0,,
,627,,,,,,,,2.310403801681825,1.2339276666666668,0,0.24710737933961555,0,17.416666666666668,2.310403801681825,0,0,0.0003,318,1,1.2,1.0972462,36,0,,
,702,,,,,,,,5.076806889232683,0.79404165,0,-2.428110265262813,0,17.55,5.076806889232683,0,0,0.0003,329,2,0.8,0.7440614,40,0,,
,776,,,,,,,,2.0148566556167524,0.9174745909090908,0,-0.2209898967945173,0,17.636363636363637,2.0148566556167524,0,0,0.0003,348,2,0.9,0.97489125,44,0,,
,863,,,,,,,,1.5409806257716154,1.3415484583333332,0,1.477723363826308,0,17.979166666666668,1.0385416632850568,0,0,0.0003,357,2,1.3,0.8692105,48,1,,
,934,,,,,,,,1.3086386752517791,1.3972095769230768,0,1.9285261296568,0,17.96153846153846,-1.1147442998725698,0,0,0.0003,360,2,1.4,0.8409687,52,1,,
,1078,,,,,,,,4.59472879851898,1.9647082142857142,0,-0.1525317858659404,0,19.25,4.59472879851898,0,0,0.0003,376,2,2.0,0.7762484,56,1,,
,1160,,,,,,,,3.839835926533168,2.0636890666666665,1,-1.4477179444836967,0,19.333333333333332,3.839835926533168,0,0,0.0003,362,3,2.1,1.035515,60,1,,
,1225,,,,,,,,3.5757644417255823,1.9156018281249998,1,-1.5048948994389997,0,19.140625,3.5757644417255823,0,0,0.0003,345,3,1.9,1.1190264,64,1,,
,1331,,,,,,,,3.6590655804966423,2.1476976470588234,1,5.266281362861809,0,19.573529411764707,-3.621779842294192,0,0,0.0003,334,3,2.1,0.8804428,68,1,,
,1404,,,,,,,,2.216295979853876,2.263893638888889,1,4.697928289811659,0,19.5,-0.5971340871145987,0,0,0.0003,322,4,2.3,0.84516615,72,1,,
,1481,,,,,,,,4.203244566541746,2.21116975,1,-2.4389851449215034,0,19.486842105263158,4.203244566541746,0,0,0.0003,325,4,2.2,0.7246922,76,1,,
,1552,,,,,,,,4.115889442983874,2.0916550875000004,1,-0.5843343937931638,0,19.4,4.115889442983874,0,0,0.0003,311,4,2.1,0.8155479,80,2,,
,1639,,,,,,,,5.914110681506753,2.225365880952381,2,4.407518855771413,0,19.511904761904763,-5.889363113864883,0,0,0.0003,302,5,2.2,0.8186644,84,2,,
,1744,,,,,,,,9.225673092280456,2.096570795454545,2,-3.5176234519647274,0,19.818181818181817,9.225673092280456,0,0,0.0003,291,5,2.1,0.779193,88,2,,
,1828,,,,,,,,3.8112049970153303,1.9999886630434782,2,-0.9082929263090445,0,19.869565217391305,3.8112049970153303,0,0,0.0003,283,6,2.0,0.9700665,92,2,,
,1903,,,,,,,,4.178430976780761,1.9540218749999998,2,-0.8027441976445834,0,19.822916666666668,4.178430976780761,0,0,0.0003,283,6,2.0,1.0470454,96,2,,
,2033,,,,,,,,6.831693736168033,2.26496896,3,8.13946850533505,0,20.33,-5.579941594246665,0,0,0.0003,287,7,2.3,0.8211194,100,2,,
,2119,,,,,,,,1.1277285784217346,2.33743376,3,0.8504729411089326,0,20.3,0.8855814208599383,0,0,0.0003,288,7,2.3,0.84673476,104,2,,
,2198,,,,,,,,5.889155322761575,2.2501477,3,2.2694910069536354,0,20.34,5.545375326888672,0,0,0.0003,294,7,2.3,0.9030338,108,2,,
,2263,,,,,,,,1.8257051363812296,2.24662235,3,0.35932654133329484,0,20.35,1.792698144578425,0,0,0.0003,292,7,2.2,0.8956252,112,2,,
,2382,,,,,,,,6.383024535143025,2.28202942,3,6.433433937688887,0,20.52,-5.125017166673636,0,0,0.0003,294,8,2.3,0.85864043,116,3,,
,2441,,,,,,,,1.8696952596456988,2.04995228,3,1.1810032597832416,0,20.37,1.7118752021761163,0,0,0.0003,290,8,2.0,0.8945408,120,3,,
,2537,,,,,,,,2.196253445980083,2.0475576199999996,4,0.67295235083045,0,20.77,2.1590608704034584,0,0,0.0003,289,8,2.0,0.76014805,124,3,,
,2594,,,,,,,,2.315605123666631,2.0026721199999997,4,0.5721059900172025,0,20.79,2.315605123666631,0,0,0.0003,293,8,2.0,0.7316936,128,3,,
,2668,,,,,,,,1.8333491855393378,1.9896821500000004,4,0.5773049877467948,0,20.91,1.8333491855393378,0,0,0.0003,289,9,2.0,0.8197882,132,3,,
,2735,,,,,,,,1.6512070508761243,1.8835512299999997,4,0.5376330594974077,0,21.08,1.5720325111501956,0,0,0.0003,286,9,1.9,1.0418556,136,3,,
,2836,,,,,,,,1.272703045553331,2.2580249699999997,4,2.167516384702986,0,21.34,-0.3193052157177189,0,0,0.0003,285,9,2.3,0.96727276,140,3,,
,2955,,,,,,,,7.679660241303827,2.40914283,5,7.380256549071971,0,21.79,-6.733616234665826,0,0,0.0003,285,10,2.4,0.96471065,144,3,,
,3037,,,,,,,,4.810324186377273,2.2974226,5,-0.6486696840906276,0,21.74,4.810324186377273,0,0,0.0003,282,10,2.3,0.6618416,148,3,,
,3115,,,,,,,,10.522107421101008,2.47141023,5,15.861421119731842,0,21.81,-10.219306492973342,0,0,0.0003,277,11,2.5,0.91821986,152,3,,
,3207,,,,,,,,2.3795638710826377,2.24793438,6,0.07459517204853286,0,21.29,2.3795638710826377,0,0,0.0003,268,11,2.2,0.78146625,156,3,,
,3282,,,,,,,,1.375736577374814,2.26893228,6,1.640199942720938,0,21.22,0.8223420295642927,0,0,0.0003,269,12,2.3,0.8721477,160,4,,
,3364,,,,,,,,1.171575090588103,2.1944531500000006,6,0.4119207221432335,0,21.39,1.1312345349701194,0,0,0.0003,255,13,2.2,1.0362734,164,4,,
,3432,,,,,,,,5.972178421178544,1.87714541,7,-2.422092341950626,0,21.01,5.972178421178544,0,0,0.0003,246,13,1.9,0.805791,168,4,,
,3528,,,,,,,,0.4346901775795988,1.8330769199999997,7,1.169877371965034,0,21.24,0.057178733752773464,0,0,0.0003,245,14,1.8,1.026112,172,4,,
,3616,,,,,,,,1.0703309271636705,1.8006134299999998,8,1.5275518820450524,0,21.35,-0.06706013649998234,0,0,0.0003,244,14,1.8,0.93402857,176,4,,
,3720,,,,,,,,3.205899061503756,1.9415890499999997,8,-0.3001027819847989,0,21.68,3.205899061503756,0,0,0.0003,244,15,1.9,1.2128206,180,4,,
,3814,,,,,,,,1.3097470653839458,1.7205857,8,1.2792289176226261,0,21.75,0.9514756651471943,0,0,0.0003,243,15,1.7,0.940225,184,4,,
,3935,,,,,,,,6.785080552017306,1.70225774,9,-0.8845932596177382,0,21.91,6.785080552017306,0,0,0.0003,243,16,1.7,0.75565374,188,4,,
,4038,,,,,,,,6.357960132057214,1.8088044199999995,9,-2.049039171510408,0,22.1,6.357960132057214,0,0,0.0003,242,16,1.8,0.7733412,192,5,,
,4100,,,,,,,,1.5240082614454247,1.7614443199999998,9,3.087601805320958,0,21.97,-0.8421781762935985,0,0,0.0003,239,17,1.8,1.0036821,196,5,,
,4181,,,,,,,,0.7687748228172151,1.3978654999999998,9,1.1022210541669553,0,21.48,0.5473023485585664,0,0,0.0003,242,17,1.4,0.9374959,200,5,,
,4268,,,,,,,,1.6318198875365157,1.26163888,10,2.8045710542737665,0,21.49,-0.652290377209564,0,0,0.0003,240,17,1.3,0.904993,204,5,,
,4330,,,,,,,,3.6691075655233143,1.22445513,10,-0.13310114798900607,0,21.32,3.6691075655233143,0,0,0.0003,237,18,1.2,1.0731769,208,5,,
,4411,,,,,,,,3.590846024892457,1.2702682799999998,11,-1.3324373054873264,0,21.48,3.590846024892457,0,0,0.0003,235,18,1.3,0.7304902,212,5,,
,4522,,,,,,,,2.4305116309571404,1.34158959,11,1.6459842667181583,0,21.4,1.3525076166491252,0,0,0.0003,231,19,1.3,0.8475029,216,5,,
,4611,,,,,,,,3.760987869714897,1.6462273099999998,12,1.2157351813863466,0,21.7,3.372116227339026,0,0,0.0003,225,20,1.6,0.77243227,220,5,,
,4693,,,,,,,,3.8852844758042444,1.5980406600000003,12,1.092299498675877,0,21.56,3.761038793464288,0,0,0.0003,227,20,1.6,0.8183947,224,5,,
,4754,,,,,,,,1.404600065494403,1.63851283,13,1.9142386524402415,0,21.6,-0.10956963133823995,0,0,0.0003,221,21,1.6,0.950837,228,5,,
,4870,,,,,,,,0.8501187943465209,1.9940308199999999,13,1.6470193448467725,0,22.02,-0.7656636072052745,0,0,0.0003,221,21,2.0,0.8266691,232,6,,
,4940,,,,,,,,6.023494033215482,2.12510999,13,1.2499842671830204,0,22.05,5.920649758340573,0,0,0.0003,219,22,2.1,0.892576,236,6,,
,4991,,,,,,,,3.442463109078136,1.9252827799999996,13,-1.4089101764478047,0,21.55,3.442463109078136,0,0,0.0003,221,22,1.9,1.1750908,240,6,,
,5065,,,,,,,,3.0673227143330832,1.7120771300000004,14,6.384724197848165,0,21.1,0.0346935477711906,0,0,0.0003,219,23,1.7,0.8770373,244,6,,
,5114,,,,,,,,3.1176474865570203,1.6208964600000002,14,-0.6824081231236756,0,20.77,3.1176474865570203,0,0,0.0003,215,23,1.6,1.0960441,248,6,,
,5193,,,,,,,,1.8076342395045435,1.40861183,14,0.7722109343030589,0,20.78,1.7158754409980648,0,0,0.0003,217,23,1.4,0.83054835,252,6,,
,5273,,,,,,,,2.3784869602048113,1.4271910399999999,15,1.7232104985192642,0,20.66,1.876832001512118,0,0,0.0003,216,24,1.4,0.8919403,256,6,,
,5355,,,,,,,,3.041262821488184,1.5030745699999999,15,1.205000131834333,0,20.73,2.8864726378173016,0,0,0.0003,215,24,1.5,0.8773619,260,6,,
,5430,,,,,,,,3.355037108418582,1.6451216700000004,16,-0.09231060027279916,0,20.66,3.355037108418582,0,0,0.0003,214,25,1.6,0.7826743,264,6,,
,5547,,,,,,,,2.767767356390516,1.9513298300000002,16,3.889462080026537,0,21.15,0.0987841121015795,0,0,0.0003,213,25,2.0,0.91343147,268,6,,
,5627,,,,,,,,1.629874712746307,1.8241995699999998,17,-0.12459575212966126,0,20.99,1.629874712746307,0,0,0.0003,212,26,1.8,1.0831201,272,6,,
,5719,,,,,,,,3.2033883272550003,1.86197522,17,-0.5697095524663225,0,21.03,3.2033883272550003,0,0,0.0003,209,27,1.9,0.6977689,276,6,,
,5778,,,,,,,,0.6421146411796184,1.7872557400000002,17,1.8975967944897811,0,20.58,0.1334607429528133,0,0,0.0003,211,27,1.8,0.9708429,280,6,,
,5884,,,,,,,,4.436029285440045,2.01856997,18,4.414531073554455,0,20.7,-4.416539947106046,0,0,0.0003,208,28,2.0,0.8549164,284,6,,
,5952,,,,,,,,3.1014962005249664,2.02874303,18,-0.6486448937098155,0,20.17,3.1014962005249664,0,0,0.0003,207,28,2.0,0.853251,288,7,,
,6009,,,,,,,,2.544973203915207,1.8717059200000004,19,-0.06275818085193445,0,19.71,2.544973203915207,0,0,0.0003,205,29,1.9,1.1143712,292,7,,
,6100,,,,,,,,3.310390914137665,1.9877059499999998,19,1.4068256620673805,0,20.0,3.150040704150047,0,0,0.0003,204,29,2.0,0.8938665,296,7,,
,6209,,,,,,,,3.5585269047837347,1.9895502000000003,20,-0.3240900037169744,0,20.28,3.5585269047837347,0,0,0.0003,204,30,2.0,0.6808784,300,7,,
,6292,,,,,,,,3.0282670790142543,1.9523052900000002,20,-2.7312062046362415,0,20.24,3.0282670790142543,0,0,0.0003,206,30,2.0,0.7116601,304,7,,
,6398,,,,,,,,0.8135236825572839,2.093976,20,0.7203336565241736,0,20.68,-0.7531775261764778,0,0,0.0003,205,31,2.1,1.0161625,308,7,,
,6461,,,,,,,,1.5363886937386462,1.9809370399999997,21,2.2765457169725414,0,20.5,0.5415283109691372,0,0,0.0003,204,31,2.0,0.92898655,312,7,,
,6523,,,,,,,,2.7170612441989053,1.9147223,21,4.54300383777671,0,20.01,0.4103686792914067,0,0,0.0003,201,32,1.9,0.8221021,316,7,,
,6626,,,,,,,,6.956409246171028,1.8960192599999999,22,6.387703554969271,0,20.15,-2.3236742694719634,0,0,0.0003,198,33,1.9,0.91529036,320,7,,
,6710,,,,,,,,2.6964215779179432,1.9919230800000003,23,0.4898070467306671,0,20.17,2.6964215779179432,0,0,0.0003,193,34,2.0,0.77929246,324,7,,
,6813,,,,,,,,1.634214734529247,2.20307185,24,2.692116924497384,0,20.59,-1.3876202268675302,0,0,0.0003,189,36,2.2,0.74809474,328,8,,
,6902,,,,,,,,3.9901302399374665,1.96431865,25,-1.0713018643506205,0,20.32,3.9901302399374665,0,0,0.0003,187,36,2.0,0.73352367,332,8,,
,6976,,,,,,,,4.2635889839537,2.0379890499999997,25,-0.9875500062499143,0,20.36,4.2635889839537,0,0,0.0003,189,36,2.0,1.0412819,336,8,,
,7037,,,,,,,,4.684913121505421,1.9608593700000003,26,-2.3723972275398286,0,20.46,4.684913121505421,0,0,0.0003,187,37,2.0,0.7171275,340,8,,
,7126,,,,,,,,4.847634829632386,2.01264005,26,-2.014806442631096,0,20.61,4.847634829632386,0,0,0.0003,185,38,2.0,0.8942787,344,8,,
,7218,,,,,,,,1.1820206378915563,2.1019421599999997,28,0.22438827738994094,0,21.04,1.1276712928483685,0,0,0.0003,181,39,2.1,1.013358,348,8,,
,7302,,,,,,,,8.13444178630322,2.16800261,28,-3.7497433551843455,0,21.09,8.13444178630322,0,0,0.0003,179,40,2.2,0.78395617,352,8,,
,7388,,,,,,,,3.242876099518675,2.0273130899999994,28,-0.808856711176031,0,21.15,3.242876099518675,0,0,0.0003,181,40,2.0,0.8554339,356,8,,
,7449,,,,,,,,3.192321392216211,1.8169503399999996,29,-1.015630477224816,0,20.94,3.192321392216211,0,0,0.0003,179,41,1.8,0.9492303,360,8,,
,7542,,,,,,,,4.802722006587385,2.0182303299999997,30,-1.6962589123318426,0,21.12,4.802722006587385,0,0,0.0003,176,42,2.0,0.96978354,364,8,,
,7602,,,,,,,,4.671096185738853,1.81934503,31,8.488505518486171,0,20.55,-4.362962472027025,0,0,0.0003,172,43,1.8,0.8324442,368,8,,
,7667,,,,,,,,1.5066599268854193,1.89142641,31,1.0013904609255102,0,20.4,1.3127620568907057,0,0,0.0003,173,44,1.9,1.0729785,372,8,,
,7718,,,,,,,,0.8610090205682012,1.7441915100000003,32,1.9449901388540516,0,19.99,-0.8037542862418103,0,0,0.0003,171,44,1.7,1.0129838,376,9,,
,7832,,,,,,,,1.9253474433957758,1.9527045200000004,32,-0.34289798470640653,0,20.54,1.842906912595764,0,0,0.0003,171,45,2.0,0.8494,380,9,,
,7911,,,,,,,,4.758132009823662,1.85371084,33,6.834139244164104,0,20.27,-4.367211831088916,0,0,0.0003,170,46,1.9,0.84115404,384,9,,
,7980,,,,,,,,1.3422206803513501,2.05692646,33,1.2712367097644814,0,20.28,0.9976341219008235,0,0,0.0003,171,46,2.1,0.90455633,388,9,,
,8081,,,,,,,,2.6536737039955716,2.03587087,34,1.1016568588982454,0,20.72,2.4685152326233744,0,0,0.0003,170,47,2.0,0.92151153,392,9,,
,8159,,,,,,,,4.976332385926286,2.03439255,35,-1.5772545498807955,0,20.59,4.976332385926286,0,0,0.0003,169,48,2.0,0.9717847,396,9,,
,8224,,,,,,,,1.1929379566990648,2.13808755,35,1.4831152622499508,0,20.15,0.718881185464157,0,0,0.0003,167,49,2.1,0.94526213,400,9,,
,8321,,,,,,,,1.1135859554963665,2.27185082,37,0.5123645713223628,0,20.29,1.0831094253639324,0,0,0.0003,165,50,2.3,0.9392036,404,9,,
,8392,,,,,,,,2.6048560967182404,2.2021156800000004,37,-0.5995323785806186,0,19.94,2.6048560967182404,0,0,0.0003,165,50,2.2,1.1048702,408,9,,
,8503,,,,,,,,9.458187449643994,2.4762355100000004,38,13.20169298007167,0,20.42,-8.52407383601852,0,0,0.0003,161,52,2.5,0.86149585,412,9,,
,8556,,,,,,,,2.310787221027231,2.3593023200000003,38,-0.012816940258280451,0,20.33,2.310787221027231,0,0,0.0003,162,52,2.4,1.0576799,416,9,,
,8649,,,,,,,,4.413102730642929,2.0767527700000006,39,-1.6687934380622007,0,20.23,4.413102730642929,0,0,0.0003,161,53,2.1,0.9097497,420,9,,
,8715,,,,,,,,3.757479826946843,2.0528624,40,-1.3941835047890416,0,20.05,3.757479826946843,0,0,0.0003,159,54,2.1,0.93813306,424,9,,
,8792,,,,,,,,5.001896369883379,1.7411816500000004,40,-2.144957432001346,0,19.79,5.001896369883379,0,0,0.0003,161,54,1.7,1.090045,428,10,,
,8850,,,,,,,,1.1752012217566123,1.6056609800000001,41,1.410397055558884,0,19.48,0.6757916890846908,0,0,0.0003,159,55,1.6,0.9659004,432,10,,
