eval_ep_rewmean,eval_eplenmean,eval_abs_qs_difference,eval_time_elapsed,total timesteps,eval_qs_difference,eval mean 100 episode reward,eval_qs,eval_discount_q,discount_q,env_time,n_updates,act_time,qs_mean,train_time,ep_rewmean,episodes,eplenmean,qs_difference,time_elapsed,update_time,mean 100 episode reward,current_lr,fps,qs_abs_difference,qfs_loss,q_grad_norm
-4.617633909090909,17.90909090909091,3.1128051,0,1,3.0157325727557023,-4.6,-0.27239138,-4.069691640014578,,,,,,,,,,,,,,,,,,
,,,,69,,,,,1.7439776048518705,0,0,0,0.3742707,0,-0.6302502499999998,4,17.25,-0.8181676146042065,0,0,-0.6,0.0003,76,0.9941289309373101,,
,,,,164,,,,,-4.213480663171099,0,0,0,0.30929297,0,-2.027660625,8,20.5,8.366207177634765,1,0,-2.0,0.0003,127,8.366207177634765,,
,,,,250,,,,,1.8940064815632998,0,0,0,0.39886436,0,-1.6305243333333337,12,20.833333333333332,-0.510851189394264,1,0,-1.6,0.0003,178,0.7854559227904873,,
,,,,308,,,,,-0.08082733406005244,0,0,0,0.35614857,0,-1.378219375,16,19.25,3.259826702183171,1,0,-1.4,0.0003,206,3.259826702183171,,
,,,,407,,,,,7.631504956218802,0,0,0,0.19772539,0,-0.9846822999999999,20,20.35,-4.071732801260951,1,0,-1.0,0.0003,247,4.123073077991415,,
,,,,501,,,,,8.424257230484205,0,0,0,0.30811056,0,-0.268775125,24,20.875,-4.406211769982322,1,0,-0.3,0.0003,278,4.406211769982322,,
,,,,579,,,,,-0.43522244557260104,0,0,0,0.257007,0,-0.12552585714285716,28,20.678571428571427,1.7481698012236264,1,0,-0.1,0.0003,301,1.7481698012236264,,
,,,,665,,,,,-0.8451096634589793,0,0,0,0.45346004,0,0.006379687500000002,32,20.78125,2.6912378412181357,2,0,0.0,0.0003,314,2.6912378412181357,,
,,,,748,,,,,-1.668597844700196,0,0,0,0.27039737,0,-0.07909238888888888,36,20.77777777777778,3.62634043734582,2,0,-0.1,0.0003,321,3.62634043734582,,
,,,,869,,,,,-0.8306503450957436,1,0,0,0.31999734,0,0.6841314749999999,40,21.725,3.433430956982006,2,0,0.7,0.0003,335,3.433430956982006,,
,,,,1018,,,,,-0.10351379573635232,1,0,0,0.30402315,0,1.482108522727273,44,23.136363636363637,2.230740800046176,3,0,1.5,0.0003,337,2.251540530161026,,
,,,,1081,,,,,0.802527322215274,1,0,0,0.4774282,0,1.2501938124999998,48,22.520833333333332,0.44007957276344223,3,0,1.3,0.0003,347,0.6709255258986142,,
,,,,1160,,,,,-0.5414503569280199,1,0,0,0.19462876,0,1.1421712115384615,52,22.307692307692307,0.28343131888377565,3,1,1.1,0.0003,345,1.4607966241269132,,
,,,,1258,,,,,3.507950355516169,1,0,0,0.31742084,0,1.289949982142857,56,22.464285714285715,-1.2788617284343948,3,1,1.3,0.0003,350,2.917973738090153,,
,,,,1323,,,,,0.4198263458333326,1,0,0,0.3846906,0,1.1711892666666663,60,22.05,0.7885902399724607,3,1,1.2,0.0003,352,0.8505444335671011,,
,,,,1397,,,,,-0.6184268529389083,1,0,0,0.30350155,0,1.2304852187499997,64,21.828125,1.770578201805151,3,1,1.2,0.0003,364,1.971017373273578,,
,,,,1482,,,,,1.0651261030786234,1,0,0,0.214804,0,1.1871964705882352,68,21.794117647058822,4.1405330897685335,4,1,1.2,0.0003,367,4.331849797880974,,
,,,,1560,,,,,0.8205671063885138,1,0,0,0.35505798,0,1.0761215555555554,72,21.666666666666668,1.3296615945204386,4,1,1.1,0.0003,367,1.4469013623849405,,
,,,,1628,,,,,-1.1271587021736154,1,0,0,0.4124272,0,0.9010365789473684,76,21.42105263157895,2.81073569502162,4,1,0.9,0.0003,366,2.81073569502162,,
,,,,1726,,,,,3.482817917119517,1,0,0,0.22859417,0,1.0064165374999998,80,21.575,-2.0641552259401115,4,1,1.0,0.0003,368,2.2334602510156807,,
,,,,1792,,,,,-3.861428097993773,1,0,0,0.24393559,0,0.9956973452380952,84,21.333333333333332,4.7488118354330995,4,1,1.0,0.0003,377,4.7488118354330995,,
,,,,1876,,,,,-1.3415671804143818,1,0,0,0.3784094,0,0.991908784090909,88,21.318181818181817,4.024501388332386,4,1,1.0,0.0003,376,4.024501388332386,,
,,,,1938,,,,,1.2165327843296987,2,0,0,0.43178836,0,1.073672554347826,92,21.065217391304348,-0.09196875590712196,5,2,1.1,0.0003,372,0.6602516936000379,,
