#{"t_start": 1651811738.1044273, "env_id": "Walker2d-v3"}
r,l,t
6.789778,22,7.663011
-3.875333,22,7.688327
-5.418609,19,7.709663
2.491146,13,7.724339
1.15099,15,7.742826
-4.617559,14,8.057496
-0.457646,22,8.083292
13.466098,30,8.115495
-2.519229,14,8.146086
10.548065,29,8.17609
10.793917,31,8.237838
0.136337,31,8.271796
4.96459,21,8.302528
-2.548552,16,8.322769
-2.719372,10,8.366937
15.244816,40,8.406694
-5.469026,17,8.431094
-3.158002,13,8.449419
-1.449098,23,8.515663
6.334553,18,8.536644
-2.235795,22,8.561803
-3.336987,34,8.59675
-0.586839,11,8.613735
-1.235976,24,8.693993
-0.071216,28,8.738367
6.288397,18,8.761915
-1.570781,13,8.777812
6.758462,29,8.806934
8.144109,20,8.897705
1.621642,16,8.917815
0.867245,11,8.933765
-1.643735,11,8.946445
21.169735,34,8.982118
1.078616,16,9.071082
-8.350084,22,9.095529
6.16148,28,9.126099
3.834667,17,9.148913
6.813976,30,9.251054
-2.878465,13,9.267955
3.856927,17,9.289356
-2.590055,11,9.305025
7.172987,23,9.329623
2.852146,17,9.349056
0.583651,11,9.363063
-2.917473,8,9.462495
1.014144,22,9.484836
3.973319,16,9.502706
18.933206,39,9.543844
-1.220906,19,9.57099
12.540923,55,9.714322
-3.882992,10,9.733508
-2.853491,13,9.747475
2.94042,16,9.766174
-6.64937,16,9.885969
2.587803,12,9.900053
2.486505,25,9.926631
2.53663,18,9.949114
-1.272267,19,9.971541
7.985505,25,10.106843
9.188712,26,10.135253
-7.998294,24,10.162719
-0.877408,12,10.180906
-4.130772,14,10.196263
0.255091,21,10.339618
3.676194,14,10.36004
12.676102,43,10.401512
5.074598,21,10.430686
3.947295,23,10.584907
0.26271,15,10.605942
-6.286299,18,10.62644
2.37693,13,10.642906
-2.07836,11,10.655809
-2.171471,14,10.673305
-1.816742,18,10.693059
6.541385,19,10.855047
5.147138,26,10.902512
-1.433229,26,10.94873
11.398442,34,11.217994
4.945753,17,11.253399
-3.030893,14,11.275553
1.585064,12,11.303636
0.623682,17,11.33188
0.768697,16,11.360631
1.614274,17,11.394401
4.20547,15,11.642673
4.858168,23,11.679263
-9.563651,19,11.719516
-4.022511,17,11.752222
-5.216489,7,11.770492
5.692739,16,11.795813
-3.537085,13,12.064081
1.805732,21,12.103755
-12.109934,17,12.136744
-4.244559,20,12.183601
6.834594,15,12.211247
0.079827,12,12.234668
3.488215,21,12.524455
-0.996661,20,12.559396
1.710992,12,12.586456
-5.275663,15,12.61081
-3.940841,21,12.650845
3.477327,23,12.878286
5.307101,20,12.899675
-1.09969,10,12.911666
-1.190111,10,12.923733
-0.728134,21,12.942637
-2.436507,15,12.961791
-0.36953,12,12.97674
0.18209,12,13.189094
8.409309,24,13.214457
0.39376,29,13.246714
2.946995,14,13.264621
10.007292,19,13.28655
-6.009215,27,13.520078
6.108294,17,13.541675
-0.98591,18,13.563555
5.263683,17,13.58665
-5.30807,17,13.605443
12.805058,30,13.844315
-12.055033,20,13.86643
1.753802,23,13.894387
-1.111782,30,13.925793
-0.106155,23,14.168965
0.512377,28,14.201587
11.359096,29,14.235391
-4.001694,9,14.250977
-3.39619,20,14.270609
-3.290404,19,14.518624
0.420437,11,14.532908
1.396222,17,14.551883
-2.076396,19,14.572825
-2.775318,12,14.58952
-2.898102,42,14.865237
11.311694,39,14.909843
7.461528,37,14.952912
-5.937985,11,15.207151
1.332806,26,15.237263
1.594972,11,15.25301
-0.503161,12,15.266371
4.681107,15,15.2821
2.917496,15,15.302155
-5.178983,13,15.317378
-3.261443,8,15.573027
2.720264,23,15.598331
-1.614968,14,15.61738
3.781507,30,15.646956
1.912143,12,15.663255
-7.216524,19,15.683468
5.135566,19,15.963232
3.421946,30,15.994667
0.8527,11,16.01036
-3.219734,24,16.033263
3.288074,19,16.325803
-2.64809,14,16.342917
0.038802,18,16.362798
-1.134484,17,16.382939
10.494108,27,16.413062
-0.834316,27,16.737488
1.374812,12,16.756716
0.765348,13,16.771488
7.161105,28,16.802696
-1.210194,32,16.839792
-3.952618,12,17.286503
26.685793,39,17.353203
3.651421,17,17.391237
-0.750317,28,17.439973
-3.072866,11,17.462638
-7.850623,18,17.926493
8.71521,31,17.98106
-4.963198,17,18.012232
-8.333336,11,18.036304
11.92385,39,18.538702
-3.618449,14,18.575272
