eval mean 100 episode reward,eval_time_elapsed,eval_eplenmean,total timesteps,eval_qs,eval_ep_rewmean,eval_qs_difference,eval_discount_q,eval_abs_qs_difference,qs_mean,ep_rewmean,discount_q,update_time,eplenmean,n_updates,act_time,time_elapsed,env_time,mean 100 episode reward,qs_abs_difference,qs_difference,episodes,current_lr,fps,train_time,qfs_loss,q_grad_norm
0.3,1,64.63636363636364,1,-1.523069,0.04387618181818199,1.570135485707157,2.5919022224043,5.5917187,,,,,,,,,,,,,,,,,,
,,,76,,,,,,0.15469098,-0.003254499999999938,1.2644641264267826,0,19.0,0,0,1,0,-0.0,0.9381863215680001,-0.8703193663073565,4,0.0003,42,0,,
,,,157,,,,,,-0.1172152,1.191108125,7.539817490765045,0,19.625,0,0,2,0,1.2,5.063853210651586,-3.4629315217520467,8,0.0003,71,0,,
,,,262,,,,,,-0.37758994,2.37399625,0.8979563782786718,0,21.833333333333332,0,0,2,0,2.4,5.471169514162762,5.215489731622114,12,0.0003,112,0,,
,,,349,,,,,,-0.24124,2.7143398125000004,8.377157552234172,0,21.8125,0,0,2,0,2.7,6.9260451538043455,-5.101283370032009,16,0.0003,141,0,,
,,,420,,,,,,-0.151812,1.9843932000000002,3.664800312560797,0,21.0,0,0,2,0,2.0,2.254815218408342,-1.0079318612476496,20,0.0003,161,0,,
,,,511,,,,,,-0.31253323,1.3455111249999998,-0.12860996800216878,0,21.291666666666668,0,0,2,0,1.3,3.7971115980922483,3.7971115980922483,24,0.0003,184,0,,
,,,599,,,,,,-0.17375052,1.5606117499999999,3.8053851244155275,0,21.392857142857142,0,0,2,0,1.6,2.6798212781902984,0.026159089289909763,28,0.0003,208,0,,
,,,657,,,,,,0.23039609,1.6464496875,-0.9014251217724019,0,20.53125,0,0,2,0,1.6,2.1622245024220876,2.1622245024220876,32,0.0003,218,0,,
,,,757,,,,,,-0.39876452,2.020726027777778,2.768495763309604,0,21.02777777777778,0,0,3,1,2.0,2.6165890770307056,-2.2209895763744716,36,0.0003,237,0,,
,,,834,,,,,,0.0082774665,2.10933105,2.0413464486214283,0,20.85,0,0,3,1,2.1,0.9825677850069849,-0.9529528230566477,40,0.0003,249,0,,
,,,896,,,,,,0.26660874,2.099817522727273,0.35191748945605233,0,20.363636363636363,0,0,3,1,2.1,0.34680216601739566,0.24865225403557537,44,0.0003,262,0,,
,,,981,,,,,,-0.26950517,2.3623993125,9.89097931728505,0,20.4375,0,0,3,1,2.4,8.951265452076267,-8.951265452076267,48,0.0003,272,0,,
,,,1078,,,,,,-0.095983855,2.268821173076923,-1.1224624089693835,0,20.73076923076923,0,0,3,1,2.3,1.9697877068296514,1.9697877068296514,52,0.0003,283,0,,
,,,1147,,,,,,-0.15754782,2.1311439107142855,1.3132821745295418,0,20.482142857142858,0,0,3,1,2.1,2.0106567210515425,-2.0106567210515425,56,0.0003,287,0,,
,,,1235,,,,,,-0.5018424,2.296377316666667,4.350284089567941,1,20.583333333333332,0,0,4,1,2.3,4.954502680692835,-4.954502680692835,60,0.0003,294,0,,
,,,1306,,,,,,-0.09118851,1.9536133749999998,0.6959807331543763,1,20.40625,0,0,4,1,2.0,4.398998873753689,4.117263830688005,64,0.0003,296,0,,
,,,1407,,,,,,-0.3385369,2.211844779411765,1.8554130316381412,1,20.691176470588236,0,0,4,1,2.2,1.6848688753808125,-0.010165724742538611,68,0.0003,303,0,,
,,,1464,,,,,,-0.017668752,2.009450361111111,-1.1479762958801596,1,20.333333333333332,0,0,4,1,2.0,2.472255091040397,2.472255091040397,72,0.0003,310,0,,
,,,1541,,,,,,-0.106544934,2.0050096842105263,3.03734057232023,1,20.276315789473685,0,0,4,1,2.0,2.013018752127491,-0.5942011839435456,76,0.0003,310,0,,
,,,1632,,,,,,-0.09348734,2.0532601125,-1.1968795928194997,1,20.4,0,0,5,1,2.1,3.20525723007917,3.20525723007917,80,0.0003,306,0,,
,,,1694,,,,,,-0.11497044,2.010149119047619,1.115067149893699,1,20.166666666666668,0,0,5,1,2.0,1.224210599325889,0.59642908690192,84,0.0003,310,0,,
,,,1768,,,,,,-0.33088392,1.8673863863636364,-1.997041646071903,1,20.09090909090909,0,0,5,2,1.9,2.7072134108958132,2.7072134108958132,88,0.0003,304,0,,
,,,1825,,,,,,-0.19638045,1.77255325,1.3068553529367888,2,19.83695652173913,0,0,6,2,1.8,0.7805379522805866,0.05149840500156863,92,0.0003,296,0,,
,,,1889,,,,,,-0.031092018,1.6003627812499996,0.12917253610921217,2,19.677083333333332,0,0,6,2,1.6,1.2684642022448016,1.100870253618264,96,0.0003,300,0,,
,,,1957,,,,,,0.17167369,1.5256170999999998,-2.7193307337398553,2,19.57,0,0,6,2,1.5,4.769574493068361,4.769574493068361,100,0.0003,293,0,,
,,,2031,,,,,,0.23152861,1.5631862499999998,-0.4977872108599409,2,19.55,0,0,6,2,1.6,1.8522393102372205,1.8522393102372205,104,0.0003,291,0,,
,,,2089,,,,,,0.010324051,1.4205246,-0.09321198621752813,2,19.32,0,0,7,2,1.4,1.9179020755118052,1.86876230819799,108,0.0003,297,0,,
,,,2168,,,,,,-0.0059102615,1.3502552399999999,1.5005768410327744,2,19.06,0,0,7,2,1.4,0.9159242562300935,-0.6630321892979935,112,0.0003,296,0,,
,,,2249,,,,,,-0.22530359,1.2920450300000001,-0.34449420723490387,2,19.0,0,0,7,2,1.3,1.7487249243035885,1.683130450266399,116,0.0003,295,0,,
,,,2333,,,,,,-0.4389504,1.3365171400000002,-5.446850512698989,3,19.13,0,0,7,2,1.3,8.53847962718696,8.53847962718696,120,0.0003,294,0,,
,,,2437,,,,,,-0.22798339,1.4209555299999999,0.8943852521722568,3,19.26,0,0,8,2,1.4,4.982741052944033,4.729868019651741,124,0.0003,295,0,,
,,,2514,,,,,,-0.22575349,1.31361499,-1.4247660661539991,3,19.15,0,0,8,2,1.3,3.796188374760877,3.794239897393688,128,0.0003,293,0,,
,,,2573,,,,,,-0.024343103,1.19337183,-1.5647664301477011,3,19.16,0,0,8,2,1.2,2.399542119925625,2.399542119925625,132,0.0003,297,0,,
,,,2702,,,,,,-0.07834619,1.0921457100000003,-1.6675505902053567,4,19.45,0,0,9,2,1.1,4.770871080877824,4.770871080877824,136,0.0003,291,0,,
,,,2766,,,,,,0.11131229,1.0469319,2.821175413376521,4,19.32,0,0,9,3,1.0,2.0691019081988506,-0.6276784513395911,140,0.0003,296,0,,
,,,2825,,,,,,0.0020531805,0.9387179499999999,1.9507324756833175,4,19.29,0,0,9,3,0.9,0.9338270415848509,0.23178516384895503,144,0.0003,292,0,,
,,,2900,,,,,,-0.3373951,0.6973075699999999,-3.5643992718705957,4,19.19,0,0,9,3,0.7,5.0383465306619195,5.0383465306619195,148,0.0003,290,0,,
