eval_qs_difference,eval_eplenmean,eval_ep_rewmean,total timesteps,eval mean 100 episode reward,eval_abs_qs_difference,eval_qs,eval_discount_q,eval_time_elapsed,time_elapsed,qs_mean,discount_q,fps,qs_abs_difference,mean 100 episode reward,episodes,n_updates,env_time,qs_difference,current_lr,update_time,train_time,eplenmean,act_time,ep_rewmean,qfs_loss,q_grad_norm
-1.1685492693394517,23.545454545454547,3.8380606363636365,1,3.8,2.4192817,-0.7634764,3.8341776903913556,0,,,,,,,,,,,,,,,,,,
,,,137,,,,,,1,0.09867182,0.47510287187364375,107,0.4866990573522539,3.7,4,0,0,-0.005429487306461811,0.0003,0,0,34.25,0,3.70864775,,
,,,211,,,,,,1,0.18999091,-0.10500646065259367,151,1.7089491652261297,0.7,8,0,0,1.6968108844322773,0.0003,0,0,26.375,0,0.7094126249999999,,
,,,299,,,,,,1,0.10474811,-0.004001411843444966,200,1.21125136427847,2.5,12,0,0,1.1326134831276948,0.0003,0,0,24.916666666666668,0,2.4719644166666663,,
,,,372,,,,,,1,0.09339724,-1.0707897518786609,233,2.8746642019302464,2.1,16,0,0,2.8746642019302464,0.0003,0,0,23.25,0,2.0808871874999997,,
,,,508,,,,,,1,0.15881784,-1.0042761396006492,278,3.9853949213803315,2.4,20,0,0,3.97576149973628,0.0003,0,0,25.4,0,2.43985555,,
,,,620,,,,,,1,0.14846058,-1.1240651111854008,311,3.3530453891465295,2.0,24,0,0,3.3530453891465295,0.0003,0,0,25.833333333333332,0,2.0021360416666663,,
,,,709,,,,,,2,0.11432758,1.9734619661360724,320,1.6517637088496184,2.0,28,0,0,0.667450481680887,0.0003,0,0,25.321428571428573,0,2.0080884642857137,,
,,,781,,,,,,2,0.05048,1.088452996920873,336,2.2897706814983176,1.7,32,0,0,2.0594605899280056,0.0003,0,0,24.40625,0,1.7296106875,,
,,,862,,,,,,2,0.03021081,-0.582923057822449,340,5.06614308558815,1.4,36,0,1,5.06614308558815,0.0003,0,0,23.944444444444443,0,1.4377287777777776,,
,,,929,,,,,,2,0.20426011,-2.037956975462308,340,1.7154688719804454,1.5,40,0,1,1.6672682605469542,0.0003,0,0,23.225,0,1.5199543249999998,,
,,,1002,,,,,,2,0.035382904,4.656236671856986,337,2.592713540398992,1.6,44,0,1,-1.546052091099766,0.0003,0,0,22.772727272727273,0,1.5966850227272724,,
,,,1097,,,,,,3,0.13536203,2.038608033266775,348,1.603913869183032,1.6,48,0,1,-1.603913869183032,0.0003,0,0,22.854166666666668,0,1.5915315416666662,,
,,,1151,,,,,,3,0.31660634,-0.5179877016061987,338,1.1231171209063915,1.3,52,0,1,1.0546952601322224,0.0003,0,0,22.134615384615383,0,1.346836057692307,,
,,,1238,,,,,,3,-0.0099211745,-0.5842930759384956,333,2.3460099298607413,1.4,56,0,1,2.339749695690407,0.0003,1,0,22.107142857142858,0,1.4224475535714283,,
,,,1301,,,,,,3,0.08271508,-1.348235925571268,331,2.3539221897060387,1.4,60,0,1,2.3226478882877912,0.0003,1,0,21.683333333333334,0,1.4201638833333332,,
,,,1372,,,,,,3,0.085617684,1.3116262432708128,343,2.8960375872730886,1.4,64,0,1,2.216385554053873,0.0003,1,0,21.4375,0,1.3751944687499997,,
,,,1437,,,,,,4,0.19294578,-1.249226938423052,344,2.7413034593603793,1.3,68,0,1,2.7413034593603793,0.0003,1,0,21.13235294117647,0,1.331565294117647,,
,,,1540,,,,,,4,0.06028957,-0.556086022434539,350,2.2593005030461395,1.4,72,0,1,2.2593005030461395,0.0003,1,0,21.38888888888889,0,1.410474236111111,,
,,,1612,,,,,,4,0.08824894,7.623679200758965,348,4.169057143799382,1.3,76,0,1,-4.166768736270858,0.0003,1,0,21.210526315789473,0,1.320776381578947,,
,,,1670,,,,,,4,0.097073935,-2.240225229296017,354,4.469180110619866,1.2,80,0,1,4.469180110619866,0.0003,1,0,20.875,0,1.1682779625,,
,,,1767,,,,,,5,-0.0026947374,-0.15974266826324676,352,2.374082154552033,1.3,84,0,1,2.344930842150008,0.0003,1,0,21.035714285714285,0,1.304916476190476,,
,,,1850,,,,,,5,0.07488302,5.318655101137244,350,6.760371924080716,1.3,88,0,2,-6.760371924080716,0.0003,1,0,21.022727272727273,0,1.3000742045454543,,
,,,1934,,,,,,5,0.22416168,-2.4181239733951396,349,5.011988446310541,1.2,92,0,2,5.011988446310541,0.0003,2,0,21.02173913043478,0,1.1714902499999997,,
,,,2005,,,,,,5,0.19096063,-4.183219106561092,346,7.721176217437194,1.1,96,0,2,7.721176217437194,0.0003,2,0,20.885416666666668,0,1.0866523854166665,,
,,,2056,,,,,,5,0.042251654,0.15401639693337532,352,2.2308313680570735,1.0,100,0,2,2.200654967903275,0.0003,2,0,20.56,0,1.00170068,,
,,,2133,,,,,,6,0.08678166,0.6831524090884344,350,2.009047247194369,0.9,104,0,2,1.7940941360720244,0.0003,2,0,19.96,0,0.90454476,,
,,,2202,,,,,,6,0.004283858,2.427234811132242,346,1.010323637153202,1.0,108,0,2,-0.23453618537867346,0.0003,2,0,19.91,0,1.0118844900000001,,
,,,2311,,,,,,6,0.08872108,0.14030895074218042,346,0.38624147484891364,1.3,112,0,2,-0.14126510973731954,0.0003,2,0,20.12,0,1.3230299100000003,,
,,,2371,,,,,,6,0.1044074,-1.1220048892037988,351,2.4474509794212422,1.2,116,0,2,2.4474509794212422,0.0003,2,0,19.99,0,1.1627754499999998,,
,,,2428,,,,,,7,0.18112545,-2.407544445327487,346,3.4491219284154284,0.9,120,0,2,3.4349956005072473,0.0003,3,0,19.2,0,0.89304402,,
,,,2494,,,,,,7,0.18876204,-4.496380649985497,350,5.957090716803524,0.9,124,0,2,5.957090716803524,0.0003,3,0,18.74,0,0.8610834500000002,,
,,,2564,,,,,,7,0.11311707,-0.8950423652140367,341,4.497192812607588,0.8,128,0,2,4.497192812607588,0.0003,3,0,18.55,0,0.8276092900000002,,
,,,2650,,,,,,8,0.1731931,0.5309545792037963,329,0.7059690402761423,1.0,132,0,2,0.3164919946383854,0.0003,3,0,18.69,0,1.02271897,,
,,,2737,,,,,,8,0.07385871,0.31689438387385865,323,0.6376707337395223,1.0,136,0,2,0.3452199491818474,0.0003,3,0,18.75,0,0.99517354,,
,,,2817,,,,,,8,-0.07579547,4.960971647144926,315,2.7467277854254495,1.1,140,0,3,-0.7907360970653672,0.0003,4,0,18.88,0,1.08437688,,
,,,2894,,,,,,9,0.011528015,-0.506497794382658,318,1.3689230961171968,0.9,144,0,3,1.0298340783001805,0.0003,4,0,18.92,0,0.9142731199999998,,
,,,2978,,,,,,9,0.17315985,0.815110803939981,312,0.5797345418646648,0.9,148,0,3,-0.5467580901124688,0.0003,4,0,18.81,0,0.85748281,,
,,,3025,,,,,,9,0.24574828,-1.7744500336935582,308,3.1505084708939513,0.9,152,0,3,3.1505084708939513,0.0003,4,0,18.74,0,0.8709970400000002,,
,,,3098,,,,,,9,0.10499874,0.2730537342475483,312,1.7906632345848976,0.9,156,0,3,1.7071741600005272,0.0003,4,0,18.6,0,0.8664363500000001,,
,,,3166,,,,,,10,-0.02075809,0.01671421194687217,308,0.9699047968657898,0.7,160,0,3,0.8815143920140865,0.0003,5,0,18.65,0,0.71872966,,
,,,3236,,,,,,10,-0.0347876,2.950597579745126,305,1.2849389752731286,0.7,164,0,3,-1.2618692567781515,0.0003,5,0,18.64,0,0.7413481300000002,,
,,,3314,,,,,,10,0.1437433,0.3467285095691369,303,0.5861518619152113,0.8,168,0,3,-0.23480812135711351,0.0003,5,0,18.77,0,0.77536467,,
,,,3402,,,,,,11,0.028399896,5.005936117553132,300,3.697293980290801,0.8,172,0,3,-1.11985845918909,0.0003,5,0,18.62,0,0.7925025699999999,,
,,,3463,,,,,,11,0.24341182,-0.7016256549248081,304,1.494845547244846,0.8,176,0,3,1.494845547244846,0.0003,5,0,18.51,0,0.7882766199999999,,
,,,3518,,,,,,11,0.06869403,0.38548851170780435,299,3.312133444349189,0.8,180,0,3,3.2500047056117576,0.0003,6,0,18.48,0,0.8490370499999998,,
,,,3602,,,,,,12,0.14344662,-1.5933675168536294,296,4.527350155300543,0.7,184,0,3,4.527350155300543,0.0003,6,0,18.35,0,0.7225516699999999,,
,,,3664,,,,,,12,0.22821203,1.1334936406166476,299,1.8580269490740433,0.7,188,0,3,1.430034508726339,0.0003,6,0,18.14,0,0.68472431,,
,,,3732,,,,,,12,-0.01230716,-0.6082312780411085,293,2.6428020255993854,0.7,192,0,3,2.6257125579138205,0.0003,6,0,17.98,0,0.67429456,,
,,,3797,,,,,,12,0.17662938,0.27866299189002547,297,0.49740397548745086,0.7,196,0,3,0.07648750003870672,0.0003,6,0,17.92,0,0.6708916700000002,,
,,,3856,,,,,,13,0.1812715,0.8890353385050191,293,2.1427584355402107,0.7,200,0,3,1.985379351251969,0.0003,7,0,18.0,0,0.7460544200000002,,
,,,3939,,,,,,13,-0.032187693,1.912576098809235,288,1.7897228212231118,0.7,204,0,4,-0.7313758464747089,0.0003,7,0,18.06,0,0.6798398900000002,,
,,,4035,,,,,,14,-0.015774433,-1.071492029958317,282,3.558035618889373,0.7,208,0,4,3.537669980844115,0.0003,8,0,18.33,0,0.7325740199999999,,
,,,4109,,,,,,14,0.04152047,0.4370226925286392,275,2.5393605078151897,0.2,212,0,4,2.408357179172651,0.0003,8,0,17.98,0,0.17614417999999987,,
,,,4178,,,,,,15,0.16910586,1.9563165701176168,277,1.2720872114044421,0.3,216,0,4,0.06142027849264319,0.0003,8,0,18.07,0,0.27408187999999983,,
,,,4290,,,,,,15,0.046751294,1.4901426234653221,276,1.2910401330591401,0.5,220,0,4,-0.20405504243354067,0.0003,8,0,18.62,0,0.5311629099999999,,
,,,4367,,,,,,15,0.008734494,-0.8461725927127868,273,1.9165507305694953,0.5,224,0,4,1.9165507305694953,0.0003,9,0,18.73,0,0.49290602,,
,,,4431,,,,,,16,0.06986235,2.1182613469818072,269,1.0469756159613954,0.4,228,0,4,-0.8059324599981385,0.0003,9,0,18.67,0,0.40125642,,
,,,4539,,,,,,16,0.034326598,0.7667532339366042,268,1.1084922815956817,0.3,232,0,4,0.9086563738054964,0.0003,10,0,18.89,0,0.2863472199999999,,
,,,4607,,,,,,17,0.35963717,-0.16944643253949393,265,0.7560277549389064,0.4,236,0,4,0.43695449578525547,0.0003,10,0,18.7,0,0.42329223,,
,,,4666,,,,,,17,0.050367817,0.34573637095206866,267,2.306451395067688,0.2,240,0,4,2.16301615874574,0.0003,10,0,18.49,0,0.20923638,,
,,,4755,,,,,,17,0.021808151,4.934855222342709,264,2.6214861714581583,0.4,244,0,4,-2.611216012808202,0.0003,10,0,18.61,0,0.39912089000000006,,
,,,4831,,,,,,18,0.05101947,-1.3163686389384075,261,2.9694914382317243,0.5,248,0,4,2.9694914382317243,0.0003,11,0,18.53,0,0.45527402,,
,,,4931,,,,,,18,0.016014276,0.4176129242262829,259,2.498553861092195,0.7,252,0,4,2.3495443571405645,0.0003,11,0,19.06,0,0.6844985100000001,,
,,,5019,,,,,,19,-0.033810545,-2.002954890817483,255,5.482740754233682,0.5,256,0,5,5.482740754233682,0.0003,12,0,19.21,0,0.47069421000000006,,
,,,5123,,,,,,20,0.16299239,5.65478919550974,250,4.1271482935103245,0.8,260,0,5,-4.1271482935103245,0.0003,12,0,19.57,0,0.7885022299999999,,
,,,5197,,,,,,20,0.13770969,3.6201510883872787,252,3.8416266305323434,1.0,264,0,5,-3.8416266305323434,0.0003,12,0,19.61,0,0.9772160099999999,,
,,,5295,,,,,,21,0.09322749,-1.0933220066547868,249,1.8918859921717859,1.1,268,0,5,1.8918859921717859,0.0003,13,0,19.81,0,1.1493681199999999,,
,,,5386,,,,,,21,0.076772735,2.4623678646215,247,1.5557264010797072,1.1,272,0,5,-0.9389128485098759,0.0003,13,0,19.84,0,1.1330180399999998,,
,,,5485,,,,,,22,0.23780136,-1.2391737820583004,245,3.352132157989886,1.2,276,0,5,3.352132157989886,0.0003,14,0,20.22,0,1.17504859,,
,,,5550,,,,,,22,0.20981272,-0.6730659891419813,243,2.333949520151878,1.2,280,0,5,2.333949520151878,0.0003,14,0,20.32,0,1.22066068,,
,,,5625,,,,,,23,0.16077745,-4.64873417093479,240,5.452447258863259,1.0,284,0,5,5.452447258863259,0.0003,15,0,20.23,0,1.02804882,,
